id,attr_time,attr_lat,attr_lng
1,1436795651000,49.44870287,8.89992172
2,1436795664000,49.4486998,8.8999163
3,1436795673000,49.4487132,8.89992824
4,1436795686000,49.44869696,8.89991151
5,1436795692000,49.44869396,8.89990015
6,1436795710000,49.44868315,8.89983674
7,1436795714000,49.44868139,8.89982626
8,1436795726000,49.44868518,8.89980092
9,1436795735000,49.44868212,8.89977933
10,1436795745000,49.44867933,8.89976767
11,1436795756000,49.44866922,8.89976162
12,1436795768000,49.4487619,8.89927697
13,1436795777000,49.44896545,8.89897746
14,1436795786000,49.44899767,8.89895146
15,1436795798000,49.44899196,8.89887681
16,1436795806000,49.44896967,8.89881764
17,1436795816000,49.44886432,8.89875596
18,1436795826000,49.44871582,8.89834178
19,1436795837000,49.44862388,8.89817905
20,1436795850000,49.44861641,8.8983358
21,1436795869000,49.44883418,8.89847921
22,1436795880000,49.44903249,8.89832891
23,1436795901000,49.44928271,8.89828902
24,1436795911000,49.44925975,8.89829806
25,1436795921000,49.44940655,8.89821383
26,1436795930000,49.44943365,8.89824474
27,1436795942000,49.44960161,8.89822007
28,1436795952000,49.44965266,8.89828883
29,1436795964000,49.44975649,8.89841675
30,1436795972000,49.44974901,8.89838955
31,1436796013000,49.44994021,8.89824708
32,1436796030000,49.44984033,8.89827553
33,1436796060000,49.4498487,8.89831644
34,1436796065000,49.44984884,8.89831679
35,1436796074000,49.44982986,8.89830183
36,1436796085000,49.44983605,8.89830177
