id,attr_time,attr_lat,attr_lng
1,1436795652000,49.44884702,8.90030106
2,1436795657000,49.44884704,8.90030112
3,1436795673000,49.44884607,8.90020775
4,1436795677000,49.44884733,8.90019376
5,1436795691000,49.44887734,8.90018498
6,1436795700000,49.44889206,8.90015335
7,1436795713000,49.44892196,8.90004031
8,1436795718000,49.44892535,8.90002783
9,1436795731000,49.44892889,8.90001867
10,1436795740000,49.4489336,8.9000057
11,1436795748000,49.44895028,8.89997344
12,1436795759000,49.44896802,8.89994072
13,1436795779000,49.44897332,8.89993535
14,1436795784000,49.44899772,8.8998998
15,1436795795000,49.44894391,8.8997384
16,1436795804000,49.4488546,8.89928447
17,1436795814000,49.44878445,8.89919596
18,1436795825000,49.44885978,8.89838966
19,1436795836000,49.44878226,8.89803873
20,1436795847000,49.44922854,8.89796915
21,1436795870000,49.44928549,8.89816035
22,1436795890000,49.44931285,8.89834586
23,1436795910000,49.44929844,8.89857076
24,1436795930000,49.44928647,8.89825605
25,1436795951000,49.44962171,8.89829086
26,1436795973000,49.44979555,8.89844527
27,1436796032000,49.44978755,8.89842293
28,1436796073000,49.45002159,8.89869485
