id,attr_time,attr_light
1,1436802576469,25.0
2,1436802576470,25.0
3,1436802576471,25.0
4,1436802576472,25.0
5,1436802576473,25.0
6,1436802576474,25.0
7,1436802576475,25.0
8,1436802576476,25.0
9,1436802576477,25.0
10,1436802576478,25.0
11,1436802576479,25.0
12,1436802576480,25.0
13,1436802576481,25.0
14,1436802576482,25.0
15,1436802576483,25.0
16,1436802576484,25.0
17,1436802576485,25.0
18,1436802576486,25.0
19,1436802576487,25.0
20,1436802576488,25.0
21,1436802576489,25.0
22,1436802576490,25.0
23,1436802576491,25.0
24,1436802576492,25.0
25,1436802576493,25.0
26,1436802576494,25.0
27,1436802576495,25.0
28,1436802576496,25.0
29,1436802576497,25.0
30,1436802576498,25.0
31,1436802576499,25.0
32,1436802576500,25.0
33,1436802576501,26.0
34,1436802576502,26.0
35,1436802576503,26.0
36,1436802576504,26.0
37,1436802576505,26.0
38,1436802576506,26.0
39,1436802576507,26.0
40,1436802576508,25.0
41,1436802576509,25.0
42,1436802576510,26.0
43,1436802576511,26.0
44,1436802576512,26.0
45,1436802576513,26.0
46,1436802576514,26.0
47,1436802576515,26.0
48,1436802576516,26.0
49,1436802576517,26.0
50,1436802576518,26.0
51,1436802576519,26.0
52,1436802576520,26.0
53,1436802576521,26.0
54,1436802576522,26.0
55,1436802576523,26.0
56,1436802576524,26.0
57,1436802576525,26.0
58,1436802576526,26.0
59,1436802576527,26.0
60,1436802576528,26.0
61,1436802576529,26.0
62,1436802576530,26.0
63,1436802576531,26.0
64,1436802576532,26.0
65,1436802576533,26.0
66,1436802576540,26.0
67,1436802576557,26.0
68,1436802576578,26.0
69,1436802576601,25.0
70,1436802576621,25.0
71,1436802576641,25.0
72,1436802576659,25.0
73,1436802576682,25.0
74,1436802576700,25.0
75,1436802576720,25.0
76,1436802576740,25.0
77,1436802576759,25.0
78,1436802576781,25.0
79,1436802576800,25.0
80,1436802576818,25.0
81,1436802576837,25.0
82,1436802576857,25.0
83,1436802576877,25.0
84,1436802576898,26.0
85,1436802576918,26.0
86,1436802576942,26.0
87,1436802576957,26.0
88,1436802576978,26.0
89,1436802577002,26.0
90,1436802577023,26.0
91,1436802577038,26.0
92,1436802577060,26.0
93,1436802577081,26.0
94,1436802577101,26.0
95,1436802577119,26.0
96,1436802577139,26.0
97,1436802577160,26.0
98,1436802577187,26.0
99,1436802577200,26.0
100,1436802577220,26.0
101,1436802577245,26.0
102,1436802577292,26.0
103,1436802577293,26.0
104,1436802577309,26.0
105,1436802577339,26.0
106,1436802577340,26.0
107,1436802577359,26.0
108,1436802577379,26.0
109,1436802577400,26.0
110,1436802577419,26.0
111,1436802577439,26.0
112,1436802577462,26.0
113,1436802577479,26.0
114,1436802577500,26.0
115,1436802577519,26.0
116,1436802577539,26.0
117,1436802577560,26.0
118,1436802577581,26.0
119,1436802577606,26.0
120,1436802577619,26.0
121,1436802577642,26.0
122,1436802577661,26.0
123,1436802577680,26.0
124,1436802577700,26.0
125,1436802577720,26.0
126,1436802577742,26.0
127,1436802577801,26.0
128,1436802577802,26.0
129,1436802577803,26.0
130,1436802577827,26.0
131,1436802577869,26.0
132,1436802577870,26.0
133,1436802577879,26.0
134,1436802577902,26.0
135,1436802577920,26.0
136,1436802577940,26.0
137,1436802577961,26.0
138,1436802577982,26.0
139,1436802578002,26.0
140,1436802578022,26.0
141,1436802578041,26.0
142,1436802578061,26.0
143,1436802578085,26.0
144,1436802578105,26.0
145,1436802578122,26.0
146,1436802578140,26.0
147,1436802578160,26.0
148,1436802578180,26.0
149,1436802578208,26.0
150,1436802578269,26.0
151,1436802578270,26.0
152,1436802578271,26.0
153,1436802578290,26.0
154,1436802578301,26.0
155,1436802578319,26.0
156,1436802578345,26.0
157,1436802578361,26.0
158,1436802578381,25.0
159,1436802578402,25.0
160,1436802578423,25.0
161,1436802578443,25.0
162,1436802578460,25.0
163,1436802578482,25.0
164,1436802578500,25.0
165,1436802578523,25.0
166,1436802578543,25.0
167,1436802578563,25.0
168,1436802578583,25.0
169,1436802578602,25.0
170,1436802578621,25.0
171,1436802578642,25.0
172,1436802578671,25.0
173,1436802578734,25.0
174,1436802578735,25.0
175,1436802578736,25.0
176,1436802578740,25.0
177,1436802578765,25.0
178,1436802578782,25.0
179,1436802578809,25.0
180,1436802578820,25.0
181,1436802578843,26.0
182,1436802578861,26.0
183,1436802578882,26.0
184,1436802578901,26.0
185,1436802578923,26.0
186,1436802578943,25.0
187,1436802578962,25.0
188,1436802578982,25.0
189,1436802579005,25.0
190,1436802579027,25.0
191,1436802579045,25.0
192,1436802579061,25.0
193,1436802579083,25.0
194,1436802579106,25.0
195,1436802579124,25.0
196,1436802579142,25.0
197,1436802579218,25.0
198,1436802579220,26.0
199,1436802579221,26.0
200,1436802579222,26.0
201,1436802579247,26.0
202,1436802579263,26.0
203,1436802579291,26.0
204,1436802579301,26.0
205,1436802579323,26.0
206,1436802579342,26.0
207,1436802579367,26.0
208,1436802579381,26.0
209,1436802579404,26.0
210,1436802579424,26.0
211,1436802579441,26.0
212,1436802579464,26.0
213,1436802579483,26.0
214,1436802579503,26.0
215,1436802579523,26.0
216,1436802579541,26.0
217,1436802579561,26.0
218,1436802579581,26.0
219,1436802579601,26.0
220,1436802579621,26.0
221,1436802579647,26.0
222,1436802579730,26.0
223,1436802579731,26.0
224,1436802579732,26.0
225,1436802579733,26.0
226,1436802579760,26.0
227,1436802579761,26.0
228,1436802579781,26.0
229,1436802579803,26.0
230,1436802579824,26.0
231,1436802579848,26.0
232,1436802579864,26.0
233,1436802579895,26.0
234,1436802579901,26.0
235,1436802579921,26.0
236,1436802579941,26.0
237,1436802579961,26.0
238,1436802579986,26.0
239,1436802580007,26.0
240,1436802580033,26.0
241,1436802580043,26.0
242,1436802580061,26.0
243,1436802580083,26.0
244,1436802580104,26.0
245,1436802580128,25.0
246,1436802580158,25.0
247,1436802580161,25.0
248,1436802580183,25.0
249,1436802580200,25.0
250,1436802580222,25.0
251,1436802580243,25.0
252,1436802580265,25.0
253,1436802580281,25.0
254,1436802580301,25.0
