id,attr_time,attr_light
1,1436801602121,36.0
2,1436801602122,36.0
3,1436801602123,36.0
4,1436801602139,36.0
5,1436801602148,36.0
6,1436801602174,36.0
7,1436801602190,36.0
8,1436801602211,36.0
9,1436801602230,36.0
10,1436801602249,36.0
11,1436801602272,36.0
12,1436801602291,36.0
13,1436801602310,36.0
14,1436801602331,36.0
15,1436801602351,36.0
16,1436801602372,36.0
17,1436801602392,36.0
18,1436801602412,36.0
19,1436801602432,36.0
20,1436801602452,36.0
21,1436801602472,36.0
22,1436801602492,36.0
23,1436801602512,35.0
24,1436801602530,35.0
25,1436801602552,36.0
26,1436801602570,36.0
27,1436801602591,35.0
28,1436801602612,35.0
29,1436801602631,35.0
30,1436801602652,35.0
31,1436801602672,35.0
32,1436801602692,35.0
33,1436801602712,35.0
34,1436801602732,35.0
35,1436801602750,35.0
36,1436801602770,35.0
37,1436801602789,35.0
38,1436801602861,35.0
39,1436801602862,35.0
40,1436801602863,35.0
41,1436801602877,35.0
42,1436801602889,35.0
43,1436801602914,35.0
44,1436801602949,35.0
45,1436801602950,35.0
46,1436801602969,35.0
47,1436801602991,35.0
48,1436801603018,35.0
49,1436801603031,35.0
50,1436801603050,35.0
51,1436801603072,35.0
52,1436801603093,35.0
53,1436801603113,35.0
54,1436801603133,35.0
55,1436801603153,35.0
56,1436801603173,35.0
57,1436801603193,35.0
58,1436801603213,35.0
59,1436801603233,35.0
60,1436801603250,34.0
61,1436801603273,34.0
62,1436801603296,34.0
63,1436801603311,34.0
64,1436801603336,34.0
65,1436801603353,34.0
66,1436801603370,34.0
67,1436801603390,33.0
68,1436801603410,33.0
69,1436801603436,33.0
70,1436801603451,33.0
71,1436801603471,32.0
72,1436801603491,31.0
73,1436801603518,31.0
74,1436801603584,30.0
75,1436801603585,30.0
76,1436801603586,30.0
77,1436801603591,30.0
78,1436801603614,30.0
79,1436801603630,30.0
80,1436801603650,31.0
81,1436801603674,31.0
82,1436801603690,32.0
83,1436801603712,33.0
84,1436801603735,33.0
85,1436801603750,36.0
86,1436801603771,36.0
87,1436801603791,35.0
88,1436801603813,35.0
89,1436801603833,34.0
90,1436801603853,34.0
91,1436801603873,34.0
92,1436801603893,34.0
93,1436801603913,33.0
94,1436801603934,31.0
95,1436801603953,31.0
96,1436801603976,28.0
97,1436801603991,28.0
98,1436801604010,29.0
99,1436801604030,29.0
100,1436801604050,29.0
101,1436801604072,29.0
102,1436801604091,29.0
103,1436801604111,29.0
104,1436801604131,28.0
105,1436801604154,29.0
106,1436801604171,29.0
107,1436801604191,32.0
108,1436801604212,32.0
109,1436801604236,34.0
110,1436801604331,34.0
111,1436801604332,34.0
112,1436801604333,34.0
113,1436801604334,33.0
114,1436801604335,33.0
115,1436801604351,32.0
116,1436801604396,30.0
117,1436801604397,30.0
118,1436801604411,28.0
119,1436801604441,28.0
120,1436801604467,27.0
121,1436801604471,27.0
122,1436801604491,28.0
123,1436801604511,28.0
124,1436801604532,28.0
125,1436801604553,28.0
126,1436801604573,28.0
127,1436801604593,28.0
128,1436801604613,28.0
129,1436801604633,30.0
130,1436801604653,30.0
131,1436801604673,32.0
132,1436801604693,32.0
133,1436801604712,33.0
134,1436801604733,33.0
135,1436801604755,32.0
136,1436801604773,32.0
137,1436801604793,32.0
138,1436801604812,32.0
139,1436801604832,32.0
140,1436801604854,31.0
141,1436801604872,31.0
142,1436801604894,29.0
143,1436801604915,29.0
144,1436801604934,29.0
145,1436801604952,29.0
146,1436801604971,30.0
147,1436801605016,30.0
148,1436801605017,30.0
149,1436801605040,29.0
150,1436801605051,29.0
151,1436801605075,30.0
152,1436801605094,30.0
153,1436801605114,33.0
154,1436801605134,33.0
155,1436801605152,35.0
156,1436801605177,35.0
157,1436801605192,34.0
158,1436801605215,34.0
159,1436801605232,33.0
160,1436801605254,33.0
161,1436801605275,33.0
162,1436801605293,32.0
163,1436801605315,32.0
164,1436801605336,31.0
165,1436801605354,31.0
166,1436801605375,29.0
167,1436801605396,29.0
168,1436801605414,30.0
169,1436801605437,30.0
170,1436801605456,30.0
171,1436801605474,30.0
172,1436801605495,30.0
173,1436801605518,29.0
174,1436801605534,29.0
175,1436801605553,32.0
176,1436801605573,32.0
177,1436801605594,35.0
178,1436801605619,35.0
179,1436801605634,34.0
180,1436801605654,34.0
181,1436801605675,33.0
182,1436801605702,33.0
183,1436801605761,33.0
184,1436801605762,32.0
185,1436801605763,32.0
186,1436801605772,31.0
187,1436801605792,31.0
188,1436801605814,29.0
189,1436801605832,29.0
190,1436801605852,29.0
