id,attr_time,attr_light
1,1436801602132,0.0
2,1436801602153,0.0
3,1436801602173,0.0
4,1436801602195,0.0
5,1436801602214,0.0
6,1436801602235,0.0
7,1436801602255,0.0
8,1436801602276,0.0
9,1436801602296,0.0
10,1436801602316,0.0
11,1436801602335,0.0
12,1436801602354,0.0
13,1436801602376,0.0
14,1436801602396,1.0
15,1436801602414,1.0
16,1436801602436,0.0
17,1436801602454,0.0
18,1436801602475,0.0
19,1436801602494,0.0
20,1436801602515,0.0
21,1436801602536,0.0
22,1436801602555,0.0
23,1436801602576,0.0
24,1436801602596,0.0
25,1436801602617,0.0
26,1436801602638,0.0
27,1436801602655,0.0
28,1436801602675,0.0
29,1436801602695,0.0
30,1436801602715,0.0
31,1436801602733,0.0
32,1436801602786,0.0
33,1436801602787,0.0
34,1436801602793,0.0
35,1436801602813,0.0
36,1436801602834,0.0
37,1436801602855,0.0
38,1436801602873,0.0
39,1436801602896,0.0
40,1436801602914,0.0
41,1436801602935,0.0
42,1436801602954,0.0
43,1436801602975,0.0
44,1436801602993,0.0
45,1436801603016,0.0
46,1436801603037,0.0
47,1436801603055,0.0
48,1436801603075,0.0
49,1436801603097,0.0
50,1436801603115,0.0
51,1436801603137,0.0
52,1436801603157,0.0
53,1436801603175,0.0
54,1436801603200,0.0
55,1436801603218,0.0
56,1436801603236,0.0
57,1436801603257,0.0
58,1436801603275,0.0
59,1436801603296,0.0
60,1436801603315,1.0
61,1436801603336,1.0
62,1436801603356,0.0
63,1436801603376,0.0
64,1436801603396,0.0
65,1436801603416,0.0
66,1436801603435,0.0
67,1436801603463,0.0
68,1436801603615,0.0
69,1436801603616,0.0
70,1436801603617,0.0
71,1436801603618,0.0
72,1436801603619,0.0
73,1436801603620,0.0
74,1436801603621,0.0
75,1436801603622,0.0
76,1436801603634,0.0
77,1436801603655,0.0
78,1436801603688,0.0
79,1436801603695,0.0
80,1436801603715,1.0
81,1436801603736,1.0
82,1436801603755,1.0
83,1436801603777,1.0
84,1436801603796,1.0
85,1436801603817,1.0
86,1436801603838,1.0
87,1436801603856,0.0
88,1436801603878,0.0
89,1436801603896,0.0
90,1436801603917,0.0
91,1436801603938,0.0
92,1436801603957,0.0
93,1436801603983,0.0
94,1436801603998,0.0
95,1436801604017,0.0
96,1436801604038,0.0
97,1436801604058,0.0
98,1436801604078,0.0
99,1436801604098,0.0
100,1436801604117,0.0
101,1436801604143,0.0
102,1436801604222,0.0
103,1436801604223,1.0
104,1436801604224,1.0
105,1436801604225,1.0
106,1436801604239,1.0
107,1436801604258,0.0
108,1436801604279,0.0
109,1436801604336,0.0
110,1436801604337,0.0
111,1436801604338,0.0
112,1436801604360,0.0
113,1436801604376,0.0
114,1436801604398,0.0
115,1436801604416,0.0
116,1436801604435,0.0
117,1436801604456,0.0
118,1436801604476,0.0
119,1436801604497,0.0
120,1436801604517,0.0
121,1436801604538,0.0
122,1436801604555,0.0
123,1436801604578,0.0
124,1436801604599,0.0
125,1436801604619,0.0
126,1436801604638,0.0
127,1436801604658,0.0
128,1436801604675,1.0
129,1436801604697,1.0
