id,attr_time,attr_x,attr_y,attr_z
1,1436802576021,7.629,-45.715,21.835
2,1436802576043,7.629,-45.715,21.528
3,1436802576062,7.629,-45.715,21.528
4,1436802576083,7.629,-45.715,21.528
5,1436802576102,7.629,-45.715,21.528
6,1436802576122,7.629,-45.715,21.528
7,1436802576144,7.629,-45.715,21.528
8,1436802576171,7.629,-45.715,21.528
9,1436802576191,7.629,-45.715,21.528
10,1436802576205,7.629,-45.715,21.528
11,1436802576224,7.629,-45.715,21.528
12,1436802576241,7.629,-45.715,21.528
13,1436802576262,7.629,-45.715,21.528
14,1436802576282,7.629,-45.715,21.528
15,1436802576302,7.629,-45.715,21.528
16,1436802576322,7.629,-45.715,21.528
17,1436802576342,7.629,-45.715,21.528
18,1436802576361,7.629,-45.715,21.528
19,1436802576381,7.629,-45.715,21.528
20,1436802576403,7.629,-45.715,21.528
21,1436802576431,7.629,-45.715,21.528
22,1436802576512,7.629,-45.715,21.528
23,1436802576513,7.629,-45.715,21.528
24,1436802576514,7.629,-45.715,21.528
25,1436802576515,7.629,-45.715,21.528
26,1436802576523,7.629,-45.715,21.528
27,1436802576546,7.629,-45.715,21.528
28,1436802576563,7.629,-45.715,21.528
29,1436802576581,7.629,-45.715,21.528
30,1436802576601,7.629,-45.715,21.528
31,1436802576621,7.629,-45.715,21.528
32,1436802576646,7.629,-45.715,21.528
33,1436802576662,7.629,-45.715,21.528
34,1436802576682,7.629,-45.715,21.528
35,1436802576701,7.629,-45.715,21.528
36,1436802576723,7.629,-45.715,21.528
37,1436802576743,7.629,-45.715,21.842
38,1436802576762,7.629,-45.715,21.842
39,1436802576782,7.629,-45.715,21.842
40,1436802576803,7.629,-45.715,21.842
41,1436802576825,7.629,-45.715,21.842
42,1436802576844,7.629,-45.715,21.842
43,1436802576863,7.629,-45.715,21.842
44,1436802576884,7.629,-45.715,21.842
45,1436802576909,7.629,-45.715,21.842
46,1436802576924,7.629,-45.715,21.842
47,1436802576943,7.629,-45.715,21.842
48,1436802576962,7.629,-45.715,21.842
49,1436802576982,7.629,-45.715,21.842
50,1436802577004,7.629,-45.715,21.842
51,1436802577024,7.629,-45.715,21.842
52,1436802577043,7.629,-45.715,21.842
53,1436802577064,7.629,-45.715,21.842
54,1436802577093,7.629,-45.715,21.842
55,1436802577106,7.629,-45.715,21.842
56,1436802577124,7.629,-45.715,21.842
57,1436802577147,7.629,-45.715,21.842
58,1436802577270,7.629,-45.715,21.842
59,1436802577271,7.629,-45.715,21.842
60,1436802577272,7.629,-45.715,21.842
61,1436802577273,7.629,-45.715,21.842
62,1436802577274,7.629,-45.715,21.842
63,1436802577275,7.629,-45.715,21.842
64,1436802577295,7.629,-45.715,21.842
65,1436802577302,7.629,-45.715,21.842
66,1436802577323,7.629,-45.715,21.842
67,1436802577342,7.629,-45.715,21.842
68,1436802577362,7.629,-45.715,21.842
69,1436802577383,7.629,-45.715,21.842
70,1436802577403,7.629,-45.715,21.842
71,1436802577423,7.629,-45.715,21.842
72,1436802577444,7.629,-45.715,21.842
73,1436802577465,7.629,-45.715,21.842
74,1436802577486,7.629,-45.715,21.842
75,1436802577504,7.629,-45.715,21.842
76,1436802577522,7.629,-45.715,21.842
77,1436802577543,7.629,-45.715,21.842
78,1436802577563,7.629,-45.715,21.842
79,1436802577585,7.629,-45.715,21.842
80,1436802577605,7.629,-45.715,21.842
81,1436802577625,7.629,-45.715,21.842
82,1436802577646,7.629,-45.715,21.842
83,1436802577665,7.629,-45.715,21.842
84,1436802577687,7.629,-45.715,21.842
85,1436802577705,7.629,-45.715,21.842
86,1436802577724,7.629,-45.715,21.842
87,1436802577743,7.629,-45.715,21.842
88,1436802577763,7.629,-45.715,21.842
89,1436802577786,7.629,-45.715,21.842
90,1436802577807,7.629,-45.715,21.842
91,1436802577827,7.629,-45.715,21.842
92,1436802577845,7.629,-45.715,21.842
93,1436802577865,7.629,-45.715,21.842
94,1436802577885,7.629,-45.715,21.842
95,1436802577903,7.629,-45.715,21.842
96,1436802577923,7.629,-45.715,21.842
97,1436802578010,7.629,-45.715,21.842
98,1436802578011,7.629,-45.715,21.842
99,1436802578012,7.629,-45.715,21.842
100,1436802578013,7.629,-45.715,21.842
101,1436802578024,7.629,-45.715,21.842
102,1436802578043,7.629,-45.715,21.842
103,1436802578063,7.629,-45.715,21.842
104,1436802578083,7.629,-45.715,21.842
105,1436802578103,7.629,-45.715,22.155
106,1436802578124,7.629,-45.715,22.155
107,1436802578145,7.629,-45.715,22.155
108,1436802578165,7.629,-45.715,22.155
109,1436802578192,7.629,-45.715,22.155
110,1436802578212,7.629,-45.715,22.155
111,1436802578227,7.629,-45.715,22.155
112,1436802578244,7.629,-45.715,22.155
113,1436802578263,7.629,-45.715,22.155
114,1436802578283,7.629,-45.715,22.155
115,1436802578305,7.629,-45.715,22.155
116,1436802578324,7.629,-45.715,22.155
117,1436802578344,7.629,-45.715,22.155
118,1436802578364,7.629,-45.715,22.155
119,1436802578440,7.629,-45.715,22.155
120,1436802578441,7.629,-45.715,22.155
121,1436802578442,7.629,-45.715,22.155
122,1436802578445,7.629,-45.715,22.155
123,1436802578463,7.629,-45.715,22.155
124,1436802578496,7.629,-45.715,22.155
125,1436802578505,7.629,-45.715,22.155
126,1436802578535,7.629,-45.715,22.155
127,1436802578544,7.629,-45.715,22.155
128,1436802578563,7.629,-45.715,22.155
129,1436802578583,7.629,-45.715,22.155
130,1436802578603,7.629,-45.715,22.155
131,1436802578623,7.629,-45.715,22.155
132,1436802578645,7.629,-45.715,22.155
133,1436802578664,7.319,-45.715,22.155
134,1436802578688,7.319,-45.715,22.155
135,1436802578713,7.319,-45.715,22.155
136,1436802578726,7.319,-45.715,22.155
137,1436802578743,7.319,-45.715,22.155
138,1436802578762,7.319,-45.715,22.155
139,1436802578784,7.319,-45.715,22.155
140,1436802578803,7.319,-45.715,22.155
141,1436802578825,7.319,-45.715,22.155
142,1436802578844,7.319,-45.715,22.155
143,1436802578866,7.319,-45.715,22.155
144,1436802578886,7.319,-45.715,22.155
145,1436802578905,7.319,-45.715,21.849
146,1436802578922,7.319,-45.715,21.849
147,1436802578946,7.319,-45.715,21.849
148,1436802578967,7.319,-45.715,21.849
149,1436802578986,7.319,-45.715,21.849
150,1436802579007,7.319,-45.715,21.849
151,1436802579024,7.319,-45.715,21.849
152,1436802579044,7.319,-45.715,21.546
153,1436802579063,7.319,-45.715,21.546
154,1436802579086,7.319,-45.715,21.546
155,1436802579106,7.319,-45.715,21.546
156,1436802579127,7.319,-45.715,21.546
157,1436802579147,7.319,-45.715,21.546
158,1436802579167,7.319,-45.715,21.546
159,1436802579187,7.319,-45.715,21.546
160,1436802579205,7.319,-45.715,21.546
161,1436802579224,7.319,-45.715,21.546
162,1436802579246,7.627,-45.715,21.546
163,1436802579267,7.627,-45.715,21.546
164,1436802579288,7.627,-45.715,21.546
165,1436802579306,7.627,-45.715,21.546
166,1436802579326,7.627,-45.715,21.546
167,1436802579381,7.627,-45.715,21.546
168,1436802579382,7.627,-45.715,21.546
169,1436802579384,7.627,-45.715,21.546
170,1436802579416,7.627,-45.715,21.546
171,1436802579424,7.627,-45.715,21.546
172,1436802579446,7.627,-45.715,21.546
173,1436802579465,7.627,-45.715,21.546
174,1436802579487,7.627,-45.715,21.546
175,1436802579505,7.627,-45.715,21.546
176,1436802579524,7.627,-45.715,21.546
177,1436802579547,7.627,-45.715,21.546
178,1436802579565,7.627,-45.715,21.546
179,1436802579588,7.627,-45.715,21.546
180,1436802579606,7.627,-45.715,21.85
181,1436802579628,7.627,-45.715,21.85
182,1436802579644,7.627,-45.715,21.85
183,1436802579666,7.627,-45.715,21.85
184,1436802579687,7.627,-45.715,21.85
185,1436802579707,7.627,-45.715,21.85
186,1436802579727,7.627,-45.715,21.85
187,1436802579747,7.627,-45.715,21.85
188,1436802579768,7.627,-45.715,21.85
189,1436802579789,7.627,-45.715,21.85
190,1436802579807,7.627,-45.715,21.85
191,1436802579826,7.627,-45.715,21.85
192,1436802579844,7.627,-45.715,22.189
193,1436802579866,7.627,-45.715,22.189
194,1436802579886,7.627,-45.715,22.189
195,1436802579908,7.627,-45.715,22.189
196,1436802579928,7.627,-45.715,22.189
197,1436802579949,7.627,-45.715,22.189
198,1436802579967,7.627,-45.715,22.189
199,1436802579988,7.627,-45.715,22.189
200,1436802580007,7.627,-45.715,22.189
201,1436802580026,7.627,-45.715,22.189
202,1436802580045,7.627,-45.715,22.189
203,1436802580065,7.627,-45.715,22.189
204,1436802580119,7.627,-45.715,22.189
205,1436802580120,7.627,-45.715,22.502
206,1436802580138,7.627,-45.715,22.502
207,1436802580146,7.627,-45.715,22.502
208,1436802580165,7.627,-45.715,22.502
209,1436802580188,7.627,-45.715,22.502
210,1436802580205,7.627,-45.715,22.502
211,1436802580225,7.627,-45.715,22.502
212,1436802580247,7.627,-45.715,22.502
213,1436802580267,7.627,-45.715,22.502
214,1436802580289,7.627,-45.715,22.502
215,1436802580307,7.627,-45.715,22.502
216,1436802580326,7.627,-45.715,22.502
