id,attr_time,attr_x,attr_y,attr_z
1,1436802576060,47.622,11.512,6.253
2,1436802576071,47.622,11.138,6.253
3,1436802576072,47.622,11.138,6.561
4,1436802576079,47.622,11.138,6.561
5,1436802576101,47.622,11.138,6.561
6,1436802576122,47.622,10.815,6.561
7,1436802576139,47.622,10.815,6.561
8,1436802576161,47.622,10.815,6.898
9,1436802576179,47.622,10.476,6.898
10,1436802576202,47.622,10.476,6.898
11,1436802576224,47.622,10.476,6.898
12,1436802576241,47.622,10.063,6.898
13,1436802576265,47.622,10.063,6.898
14,1436802576282,47.622,10.063,6.898
15,1436802576302,47.622,9.652,7.231
16,1436802576322,47.622,9.652,7.231
17,1436802576343,47.622,9.318,7.231
18,1436802576362,47.622,9.318,7.231
19,1436802576382,47.622,8.998,7.231
20,1436802576402,47.622,8.998,7.231
21,1436802576423,47.622,8.679,7.231
22,1436802576444,47.622,8.679,7.534
23,1436802576459,47.622,8.375,7.534
24,1436802576483,47.622,8.375,7.534
25,1436802576503,47.622,8.375,7.534
26,1436802576522,47.622,8.033,7.534
27,1436802576543,47.622,8.033,7.534
28,1436802576562,47.622,8.033,7.534
29,1436802576583,47.622,7.716,7.534
30,1436802576601,47.622,7.716,7.534
31,1436802576622,47.622,7.716,7.534
32,1436802576642,47.622,7.716,7.534
33,1436802576663,47.622,7.716,7.534
34,1436802576683,47.622,7.716,7.534
35,1436802576700,47.622,7.373,7.534
36,1436802576722,47.622,7.373,7.534
37,1436802576777,47.622,7.373,7.534
38,1436802576779,47.622,7.373,7.534
39,1436802576780,47.622,7.373,7.534
40,1436802576800,47.622,7.373,7.534
41,1436802576821,47.622,7.373,7.534
42,1436802576842,47.622,7.373,7.534
43,1436802576861,47.622,7.373,7.534
44,1436802576885,47.622,7.373,7.534
45,1436802576903,47.622,7.373,7.534
46,1436802576921,47.622,7.373,7.231
47,1436802576941,47.622,7.373,7.231
48,1436802576962,47.622,7.704,7.231
49,1436802576984,47.622,7.704,7.231
50,1436802577004,47.622,7.704,7.231
51,1436802577023,47.315,8.018,7.231
52,1436802577043,47.315,8.018,7.231
53,1436802577063,47.315,8.018,7.231
54,1436802577083,47.315,8.323,7.231
55,1436802577104,46.948,8.323,7.231
56,1436802577123,46.948,8.323,7.231
57,1436802577143,46.948,8.323,7.231
58,1436802577163,46.948,8.323,7.231
59,1436802577182,46.948,8.323,7.231
60,1436802577203,46.948,8.323,7.231
61,1436802577223,46.948,8.631,6.903
62,1436802577242,46.948,8.631,6.903
63,1436802577262,46.948,8.631,6.903
64,1436802577282,46.948,8.631,6.903
65,1436802577304,46.948,8.631,6.903
66,1436802577325,46.948,8.631,6.903
67,1436802577345,46.948,8.631,6.903
68,1436802577363,46.948,8.631,6.903
69,1436802577382,47.251,8.631,6.903
70,1436802577401,47.251,8.95,6.903
71,1436802577422,47.251,8.95,6.903
72,1436802577442,47.251,8.95,6.903
73,1436802577462,47.251,8.95,6.903
74,1436802577535,47.615,8.95,6.903
75,1436802577536,47.615,8.95,6.903
76,1436802577537,47.615,9.318,6.903
77,1436802577543,47.615,9.318,6.903
78,1436802577563,47.615,9.318,6.903
79,1436802577585,47.615,9.69,6.903
80,1436802577601,47.615,9.69,6.903
81,1436802577621,47.615,9.69,6.903
82,1436802577654,47.615,10.072,6.903
83,1436802577664,47.615,10.072,6.903
84,1436802577703,47.615,10.072,6.903
85,1436802577704,47.615,10.49,6.903
86,1436802577726,47.615,10.49,6.903
87,1436802577741,47.615,10.816,6.903
88,1436802577761,47.288,10.816,6.903
89,1436802577781,47.288,10.816,6.903
90,1436802577801,47.288,11.235,6.903
91,1436802577821,46.856,11.235,6.591
92,1436802577841,46.334,11.563,6.591
93,1436802577861,46.334,11.563,6.591
94,1436802577881,46.334,11.563,6.591
95,1436802577901,46.334,11.894,6.591
96,1436802577921,46.334,11.894,6.591
97,1436802577944,46.334,11.894,6.591
98,1436802577962,46.334,11.894,6.591
99,1436802577980,46.334,11.894,6.591
100,1436802578001,46.334,12.226,6.591
101,1436802578025,46.334,12.226,6.591
102,1436802578041,46.334,12.226,6.591
103,1436802578061,46.334,12.226,6.271
104,1436802578080,46.334,12.226,6.271
105,1436802578101,46.334,12.226,6.271
106,1436802578125,46.334,12.226,6.271
107,1436802578145,46.334,12.226,6.271
108,1436802578165,46.334,12.226,6.271
109,1436802578182,46.334,12.226,6.271
110,1436802578200,46.771,12.226,6.271
111,1436802578220,46.771,12.226,6.271
112,1436802578241,46.771,12.226,6.271
113,1436802578260,47.158,12.226,6.271
114,1436802578280,47.158,12.226,6.271
115,1436802578302,47.158,12.226,6.271
116,1436802578321,47.158,12.226,6.271
117,1436802578340,47.158,12.226,6.271
118,1436802578365,47.158,12.226,6.271
119,1436802578383,47.158,12.226,6.271
120,1436802578405,47.158,12.226,6.271
121,1436802578424,47.158,12.226,6.271
122,1436802578445,47.158,12.226,6.271
123,1436802578465,47.158,12.226,6.271
124,1436802578482,47.158,12.226,6.271
125,1436802578504,47.158,12.226,6.271
126,1436802578524,47.158,12.226,6.271
127,1436802578542,47.158,12.226,6.271
128,1436802578562,47.158,12.535,6.271
129,1436802578581,47.158,12.535,6.271
130,1436802578601,47.158,12.535,6.271
131,1436802578624,47.158,12.535,6.271
132,1436802578643,47.158,12.535,6.271
133,1436802578664,47.158,12.535,6.271
134,1436802578684,47.158,12.535,6.271
135,1436802578705,47.158,12.535,6.271
136,1436802578724,47.158,12.535,6.271
137,1436802578742,47.158,12.535,6.271
138,1436802578763,47.158,12.535,6.271
139,1436802578783,47.158,12.535,6.271
140,1436802578802,47.158,12.535,6.271
141,1436802578828,47.158,12.535,6.271
142,1436802578902,47.158,12.535,6.271
143,1436802578903,47.158,12.535,6.271
144,1436802578904,47.158,12.535,6.271
145,1436802578905,47.158,12.535,6.271
146,1436802578921,47.158,12.535,6.271
147,1436802578944,47.158,12.535,6.271
148,1436802578966,47.158,12.535,6.271
149,1436802578984,47.158,12.535,6.271
150,1436802579002,47.158,12.535,6.271
151,1436802579024,47.158,12.535,6.271
152,1436802579043,47.158,12.535,6.271
153,1436802579064,47.158,12.535,6.271
154,1436802579085,47.158,12.535,6.271
155,1436802579104,47.158,12.535,6.271
156,1436802579124,47.158,12.535,6.271
157,1436802579144,47.158,12.535,6.271
158,1436802579164,47.158,12.535,6.271
159,1436802579186,47.158,12.535,6.271
160,1436802579205,47.158,12.535,6.271
161,1436802579225,47.158,12.535,6.271
162,1436802579245,47.158,12.535,6.271
163,1436802579303,47.477,12.535,6.271
164,1436802579304,47.477,12.191,6.271
165,1436802579305,47.477,12.191,6.271
166,1436802579324,47.477,11.872,6.271
167,1436802579344,47.477,11.872,6.271
168,1436802579364,47.865,10.839,6.271
169,1436802579385,47.865,10.049,6.271
170,1436802579405,47.865,8.996,6.271
171,1436802579425,47.865,8.996,6.271
172,1436802579445,47.865,8.338,6.271
173,1436802579466,47.865,7.867,6.271
174,1436802579486,47.865,7.867,6.271
175,1436802579505,47.865,7.192,6.271
176,1436802579524,47.865,6.771,6.271
177,1436802579633,47.865,6.271,6.271
178,1436802579634,47.865,5.54,6.271
179,1436802579635,47.865,5.54,6.271
180,1436802579636,47.865,5.54,6.271
181,1436802579637,47.865,4.399,6.271
182,1436802579656,47.865,4.399,6.271
183,1436802579665,47.865,4.095,6.271
184,1436802579687,47.865,3.767,6.271
