id,attr_time,attr_x,attr_y,attr_z
1,1436795630050,43.5547,-14.0793,-14.1663
2,1436795630069,43.0283,-12.8479,-14.6698
3,1436795630090,43.0283,-12.8479,-14.6698
4,1436795630109,44.7815,-14.9582,-14.3341
5,1436795630127,42.1524,-13.0249,-12.1475
6,1436795630149,42.1524,-13.0249,-12.1475
7,1436795630168,43.9056,-14.0793,-14.8392
8,1436795630190,44.606,-12.6724,-14.502
9,1436795630208,44.606,-12.6724,-14.502
10,1436795630226,43.3792,-13.5513,-12.3169
11,1436795630248,44.4305,-13.9038,-14.6698
12,1436795630267,44.4305,-13.9038,-14.6698
13,1436795630286,43.3792,-13.5513,-14.3341
14,1436795630307,43.9056,-12.6724,-14.1663
15,1436795630326,43.9056,-12.6724,-14.1663
16,1436795630346,44.606,-13.3759,-13.4933
17,1436795630366,42.6788,-15.3091,-13.6612
18,1436795630386,42.6788,-15.3091,-13.6612
19,1436795630404,43.5547,-14.7827,-13.1577
20,1436795630426,43.9056,-14.0793,-14.1663
21,1436795630443,43.9056,-14.0793,-14.1663
22,1436795630465,44.7815,-15.6616,-14.6698
23,1436795630485,43.9056,-12.3215,-13.1577
24,1436795630505,43.9056,-12.3215,-13.1577
25,1436795630525,43.9056,-14.7827,-13.1577
26,1436795630543,45.1309,-13.9038,-13.9984
27,1436795630564,45.1309,-13.9038,-13.9984
28,1436795630584,44.4305,-13.9038,-14.3341
29,1436795630604,43.0283,-13.2004,-14.3341
30,1436795630622,43.0283,-13.2004,-14.3341
31,1436795630647,43.5547,-14.0793,-13.1577
32,1436795630663,44.2551,-12.6724,-14.1663
33,1436795630683,44.2551,-12.6724,-14.1663
34,1436795630703,45.1309,-14.2548,-15.3427
35,1436795630721,44.7815,-14.2548,-14.3341
36,1436795630742,44.7815,-14.2548,-14.3341
37,1436795630761,43.3792,-14.9582,-13.9984
38,1436795630782,43.0283,-12.8479,-14.3341
39,1436795630801,43.0283,-12.8479,-14.3341
40,1436795630822,44.0796,-13.9038,-13.9984
41,1436795630841,43.3792,-13.5513,-13.6612
42,1436795630860,43.3792,-13.5513,-13.6612
43,1436795630881,43.0283,-13.2004,-15.007
44,1436795630900,44.606,-11.969,-13.1577
45,1436795630923,44.606,-11.969,-13.1577
46,1436795630940,43.7302,-14.9582,-14.6698
47,1436795630960,46.1823,-13.2004,-13.3255
48,1436795630980,46.1823,-13.2004,-13.3255
49,1436795631000,44.2551,-14.7827,-13.4933
50,1436795631022,44.4305,-13.9038,-13.6612
51,1436795631039,44.4305,-13.9038,-13.6612
52,1436795631059,44.606,-15.1337,-14.8392
53,1436795631078,44.0796,-12.4969,-14.3341
54,1436795631099,44.0796,-12.4969,-14.3341
55,1436795631121,43.5547,-12.3215,-14.8392
56,1436795631138,43.3792,-11.7935,-13.9984
57,1436795631158,43.3792,-11.7935,-13.9984
58,1436795631177,43.5547,-12.6724,-15.1749
59,1436795631198,43.9056,-12.6724,-13.4933
60,1436795631219,43.9056,-12.6724,-13.4933
61,1436795631237,43.9056,-12.6724,-15.5106
62,1436795631257,43.7302,-11.4426,-13.6612
63,1436795631277,43.7302,-11.4426,-13.6612
64,1436795631297,44.9554,-13.0249,-14.1663
65,1436795631319,43.7302,-12.4969,-14.3341
66,1436795631336,43.7302,-12.4969,-14.3341
67,1436795631356,42.8543,-14.0793,-15.1749
68,1436795631376,44.2551,-11.969,-14.1663
69,1436795631395,44.2551,-11.969,-14.1663
70,1436795631416,43.5547,-14.4302,-14.502
71,1436795631435,44.4305,-13.5513,-13.6612
72,1436795631455,44.4305,-13.5513,-13.6612
73,1436795631475,44.2551,-14.4302,-12.1475
74,1436795631493,44.606,-14.4302,-14.502
75,1436795631515,44.606,-14.4302,-14.502
76,1436795631533,43.9056,-12.6724,-14.1663
77,1436795631555,43.5547,-13.0249,-13.829
78,1436795631574,43.5547,-13.0249,-13.829
79,1436795631594,43.7302,-14.2548,-13.9984
80,1436795631613,44.2551,-13.3759,-13.829
81,1436795631633,44.2551,-13.3759,-13.829
82,1436795631655,44.0796,-14.6057,-13.9984
83,1436795631673,43.0283,-12.8479,-15.007
84,1436795631693,43.0283,-12.8479,-15.007
85,1436795631712,43.7302,-14.2548,-13.3255
86,1436795631731,43.5547,-13.0249,-14.8392
87,1436795631753,43.5547,-13.0249,-14.8392
88,1436795631772,43.3792,-14.6057,-15.3427
89,1436795631792,43.3792,-12.146,-14.3341
90,1436795631810,43.3792,-12.146,-14.3341
91,1436795631831,44.2551,-13.7268,-14.502
92,1436795631869,42.5034,-13.7268,-13.1577
93,1436795631870,42.5034,-13.7268,-13.1577
94,1436795631891,42.8543,-13.3759,-13.4933
95,1436795631911,44.0796,-12.8479,-12.9883
96,1436795631930,44.0796,-12.8479,-12.9883
97,1436795631952,43.3792,-15.3091,-14.3341
98,1436795631968,44.7815,-13.5513,-13.9984
99,1436795631989,44.7815,-13.5513,-13.9984
100,1436795632008,44.7815,-14.2548,-14.3341
101,1436795632028,43.2037,-13.3759,-14.502
102,1436795632048,43.2037,-13.3759,-14.502
103,1436795632069,43.5547,-12.3215,-14.1663
104,1436795632088,42.3279,-13.9038,-13.9984
105,1436795632109,42.3279,-13.9038,-13.9984
106,1436795632127,43.3792,-13.2004,-15.007
107,1436795632151,43.5547,-12.6724,-14.502
108,1436795632166,43.5547,-12.6724,-14.502
109,1436795632188,42.5034,-15.1337,-13.4933
110,1436795632207,42.6788,-12.8479,-13.3255
111,1436795632227,42.6788,-12.8479,-13.3255
112,1436795632249,42.5034,-13.3759,-14.1663
113,1436795632266,43.3792,-12.146,-15.6799
114,1436795632287,43.3792,-12.146,-15.6799
115,1436795632307,43.5547,-13.7268,-14.1663
116,1436795632326,42.5034,-14.4302,-15.1749
117,1436795632349,42.5034,-14.4302,-15.1749
118,1436795632366,43.9056,-15.1337,-13.1577
119,1436795632386,44.4305,-12.8479,-15.3427
120,1436795632406,44.4305,-12.8479,-15.3427
121,1436795632425,44.7815,-12.8479,-14.3341
122,1436795632444,43.5547,-14.4302,-15.1749
123,1436795632466,43.5547,-14.4302,-15.1749
124,1436795632484,43.0283,-14.2548,-14.6698
125,1436795632505,42.8543,-12.6724,-15.1749
126,1436795632524,42.8543,-12.6724,-15.1749
127,1436795632545,43.7302,-13.5513,-14.3341
128,1436795632564,43.3792,-13.5513,-15.007
129,1436795632584,43.3792,-13.5513,-15.007
130,1436795632603,43.5547,-14.4302,-14.502
131,1436795632623,44.0796,-13.5513,-14.3341
132,1436795632646,44.0796,-13.5513,-14.3341
133,1436795632663,44.9554,-13.3759,-14.1663
134,1436795632682,44.2551,-13.7268,-14.502
135,1436795632703,44.2551,-13.7268,-14.502
136,1436795632722,43.5547,-15.1337,-14.8392
137,1436795632743,45.4819,-14.2548,-13.9984
138,1436795632760,45.4819,-14.2548,-13.9984
139,1436795632779,44.2551,-14.0793,-14.502
140,1436795632799,44.4305,-11.4426,-14.3341
141,1436795632819,44.4305,-11.4426,-14.3341
142,1436795632839,42.1524,-14.0793,-13.4933
143,1436795632859,42.6788,-11.4426,-12.6526
144,1436795632879,42.6788,-11.4426,-12.6526
145,1436795632898,44.4305,-12.8479,-14.3341
146,1436795632918,41.803,-15.4846,-13.1577
147,1436795632938,41.803,-15.4846,-13.1577
148,1436795632958,43.7302,-14.9582,-13.9984
149,1436795632978,43.3792,-12.4969,-12.6526
150,1436795633000,43.3792,-12.4969,-12.6526
151,1436795633019,42.5034,-14.7827,-15.1749
152,1436795633040,44.7815,-12.4969,-14.3341
153,1436795633059,44.7815,-12.4969,-14.3341
154,1436795633079,43.7302,-12.8479,-13.9984
155,1436795633099,43.2037,-13.3759,-15.1749
156,1436795633117,43.2037,-13.3759,-15.1749
157,1436795633138,44.7815,-13.5513,-13.9984
158,1436795633158,44.2551,-12.6724,-14.1663
159,1436795633178,44.2551,-12.6724,-14.1663
160,1436795633198,43.0283,-13.9038,-13.3255
161,1436795633216,44.9554,-11.969,-13.4933
162,1436795633238,44.9554,-11.969,-13.4933
163,1436795633256,44.7815,-13.5513,-14.6698
164,1436795633276,43.7302,-13.2004,-13.9984
165,1436795633297,43.7302,-13.2004,-13.9984
166,1436795633316,43.3792,-13.9038,-13.9984
167,1436795633337,44.2551,-14.0793,-13.1577
168,1436795633356,44.2551,-14.0793,-13.1577
169,1436795633376,43.3792,-14.2548,-12.9883
170,1436795633394,43.9056,-12.6724,-15.5106
171,1436795633414,43.9056,-12.6724,-15.5106
172,1436795633436,42.8543,-14.7827,-14.1663
173,1436795633455,43.0283,-11.7935,-13.6612
174,1436795633477,43.0283,-11.7935,-13.6612
175,1436795633495,43.3792,-13.2004,-15.3427
176,1436795633514,44.2551,-11.969,-15.5106
177,1436795633533,44.2551,-11.969,-15.5106
178,1436795633554,43.7302,-13.5513,-15.6799
179,1436795633575,44.606,-12.6724,-13.4933
180,1436795633593,44.606,-12.6724,-13.4933
181,1436795633614,44.0796,-13.9038,-14.3341
182,1436795633634,43.7302,-12.8479,-15.6799
183,1436795633653,43.7302,-12.8479,-15.6799
184,1436795633675,44.606,-14.0793,-13.4933
185,1436795633693,44.9554,-13.0249,-13.4933
186,1436795633712,44.9554,-13.0249,-13.4933
187,1436795633733,44.4305,-13.9038,-14.3341
188,1436795633751,43.7302,-13.2004,-15.007
189,1436795633774,43.7302,-13.2004,-15.007
190,1436795633792,44.2551,-14.0793,-14.1663
191,1436795633811,44.606,-12.6724,-15.1749
192,1436795633831,44.606,-12.6724,-15.1749
193,1436795633849,44.4305,-14.2548,-14.6698
194,1436795633871,42.5034,-12.6724,-13.829
195,1436795633890,42.5034,-12.6724,-13.829
196,1436795633913,44.606,-13.7268,-15.1749
197,1436795633930,44.4305,-13.9038,-13.3255
198,1436795633950,44.4305,-13.9038,-13.3255
199,1436795633970,43.0283,-12.8479,-15.007
200,1436795633990,43.9056,-14.4302,-14.8392
201,1436795634012,43.9056,-14.4302,-14.8392
202,1436795634029,43.7302,-13.2004,-14.3341
203,1436795634049,43.9056,-13.0249,-16.5207
204,1436795634068,43.9056,-13.0249,-16.5207
205,1436795634089,43.7302,-13.2004,-14.3341
206,1436795634109,44.0796,-12.146,-13.3255
207,1436795634128,44.0796,-12.146,-13.3255
208,1436795634148,44.2551,-15.1337,-14.8392
209,1436795634166,42.8543,-12.6724,-13.829
210,1436795634188,42.8543,-12.6724,-13.829
211,1436795634209,42.3279,-16.0126,-15.007
212,1436795634227,42.8543,-14.0793,-16.5207
213,1436795634247,42.8543,-14.0793,-16.5207
214,1436795634267,44.2551,-14.4302,-14.502
215,1436795634287,43.3792,-14.2548,-14.6698
216,1436795634309,43.3792,-14.2548,-14.6698
217,1436795634326,42.8543,-13.3759,-16.1835
218,1436795634346,43.0283,-11.7935,-15.3427
219,1436795634366,43.0283,-11.7935,-15.3427
220,1436795634385,42.6788,-16.0126,-15.007
221,1436795634408,42.3279,-12.8479,-12.9883
222,1436795634425,42.3279,-12.8479,-12.9883
223,1436795634444,44.606,-15.1337,-13.1577
224,1436795634465,42.6788,-14.2548,-13.3255
225,1436795634484,42.6788,-14.2548,-13.3255
226,1436795634507,44.0796,-13.5513,-14.3341
227,1436795634524,43.3792,-13.5513,-13.9984
228,1436795634544,43.3792,-13.5513,-13.9984
229,1436795634564,44.606,-13.7268,-15.5106
230,1436795634584,42.6788,-14.6057,-13.9984
231,1436795634603,42.6788,-14.6057,-13.9984
232,1436795634624,43.9056,-13.3759,-14.8392
233,1436795634643,43.3792,-12.8479,-14.6698
234,1436795634663,43.3792,-12.8479,-14.6698
235,1436795634683,43.9056,-13.3759,-15.1749
236,1436795634705,43.9056,-13.0249,-14.502
237,1436795634722,43.9056,-13.0249,-14.502
238,1436795634742,42.8543,-12.3215,-14.8392
239,1436795634758,42.8543,-12.3215,-13.829
240,1436795634780,42.8543,-12.3215,-13.829
