id,attr_time,attr_x,attr_y,attr_z
1,1436795630041,40.245,-11.444,-25.849
2,1436795630055,40.245,-11.444,-25.849
3,1436795630078,40.245,-11.444,-25.849
4,1436795630096,40.245,-11.444,-25.849
5,1436795630115,40.245,-11.444,-25.849
6,1436795630137,40.245,-11.444,-25.849
7,1436795630155,40.245,-11.444,-25.849
8,1436795630176,40.245,-11.444,-25.849
9,1436795630198,40.245,-11.132,-25.849
10,1436795630216,40.245,-11.132,-25.849
11,1436795630236,39.923,-11.132,-25.849
12,1436795630256,39.923,-11.132,-25.849
13,1436795630278,39.923,-11.132,-25.849
14,1436795630298,39.593,-10.774,-25.849
15,1436795630318,39.593,-10.774,-25.849
16,1436795630338,39.593,-10.774,-25.849
17,1436795630355,39.27,-10.774,-25.849
18,1436795630376,39.27,-10.774,-25.849
19,1436795630398,39.27,-10.432,-25.849
20,1436795630418,39.27,-10.432,-25.849
21,1436795630441,39.27,-10.432,-25.849
22,1436795630457,38.966,-10.432,-25.849
23,1436795630475,38.966,-10.432,-25.849
24,1436795630496,38.966,-10.432,-25.849
25,1436795630521,38.966,-10.432,-25.849
26,1436795630536,38.966,-10.432,-25.849
27,1436795630556,38.966,-10.432,-25.849
28,1436795630576,38.966,-10.432,-25.849
29,1436795630596,38.966,-10.432,-25.849
30,1436795630622,39.32,-10.432,-25.849
31,1436795630636,39.32,-10.432,-25.546
32,1436795630656,39.32,-10.432,-25.546
33,1436795630676,39.32,-10.432,-25.546
34,1436795630701,39.7,-10.432,-25.546
35,1436795630777,39.7,-10.771,-25.546
36,1436795630778,39.7,-10.771,-25.546
37,1436795630779,39.7,-10.771,-25.546
38,1436795630780,40.025,-10.771,-25.546
39,1436795630796,40.025,-10.771,-25.546
40,1436795630818,40.025,-10.771,-25.546
41,1436795630835,40.025,-10.771,-25.546
42,1436795630856,40.025,-10.771,-25.546
43,1436795630876,40.025,-10.771,-25.546
44,1436795630897,40.025,-10.771,-25.546
45,1436795630918,40.025,-10.771,-25.546
46,1436795630938,40.025,-10.771,-25.546
47,1436795630957,40.025,-10.771,-25.546
48,1436795630992,40.025,-11.076,-25.546
49,1436795631019,40.025,-11.076,-25.546
50,1436795631020,40.025,-11.076,-25.546
51,1436795631036,40.025,-11.076,-25.546
52,1436795631056,40.025,-11.076,-25.546
53,1436795631076,40.025,-11.076,-25.546
54,1436795631096,40.025,-11.076,-25.546
55,1436795631116,40.025,-11.076,-25.546
56,1436795631136,40.025,-11.076,-25.546
57,1436795631156,40.025,-11.076,-25.546
58,1436795631176,40.025,-11.076,-25.546
59,1436795631196,40.025,-11.076,-25.546
60,1436795631216,40.025,-11.383,-25.546
61,1436795631236,40.025,-11.383,-25.546
62,1436795631256,40.025,-11.383,-25.546
63,1436795631276,40.025,-11.383,-25.546
64,1436795631296,40.025,-11.383,-25.546
65,1436795631316,40.025,-11.383,-25.546
66,1436795631336,40.025,-11.383,-25.546
67,1436795631356,40.025,-11.383,-25.546
68,1436795631377,40.025,-11.383,-25.546
69,1436795631397,40.025,-11.383,-25.546
70,1436795631416,40.025,-11.383,-25.546
71,1436795631442,40.025,-11.383,-25.546
72,1436795631456,40.025,-11.383,-25.546
73,1436795631475,40.025,-11.383,-25.546
74,1436795631495,40.025,-11.383,-25.546
75,1436795631519,40.025,-11.383,-25.546
76,1436795631537,40.025,-11.383,-25.546
77,1436795631556,40.025,-11.383,-25.546
78,1436795631577,40.025,-11.724,-25.546
79,1436795631598,40.025,-11.724,-25.546
80,1436795631618,40.025,-11.724,-25.546
81,1436795631638,40.025,-11.724,-25.546
82,1436795631655,40.025,-11.724,-25.546
83,1436795631676,40.025,-11.724,-25.546
84,1436795631696,40.025,-11.724,-25.546
85,1436795631719,40.025,-11.724,-25.546
86,1436795631739,40.025,-12.069,-25.546
87,1436795631760,40.025,-12.069,-25.546
88,1436795631779,40.025,-12.069,-25.546
89,1436795631797,40.025,-12.069,-25.546
90,1436795631820,40.025,-12.069,-25.546
91,1436795631837,40.025,-12.069,-25.546
92,1436795631859,40.025,-12.069,-25.546
93,1436795631878,40.025,-12.069,-25.546
94,1436795631899,40.025,-12.069,-25.546
95,1436795631919,40.025,-12.069,-25.546
96,1436795631939,40.025,-12.069,-25.546
97,1436795631962,40.025,-12.069,-25.546
98,1436795631980,40.025,-12.069,-25.546
99,1436795631997,40.025,-12.069,-25.546
100,1436795632017,40.025,-12.069,-25.546
101,1436795632037,40.025,-12.069,-25.546
102,1436795632059,40.025,-12.069,-25.846
103,1436795632078,40.025,-12.069,-25.846
104,1436795632152,40.025,-12.069,-25.846
105,1436795632153,39.709,-12.069,-25.846
106,1436795632157,39.709,-12.069,-25.846
107,1436795632158,39.709,-12.069,-25.846
108,1436795632180,39.709,-12.069,-25.846
109,1436795632202,39.709,-12.069,-25.846
110,1436795632217,39.709,-12.069,-25.846
111,1436795632237,39.709,-12.069,-25.846
112,1436795632259,39.709,-12.069,-25.846
113,1436795632309,39.709,-12.069,-25.846
114,1436795632310,39.709,-12.069,-25.846
115,1436795632318,39.709,-12.069,-25.846
116,1436795632337,39.709,-12.069,-25.846
117,1436795632362,39.709,-12.069,-25.846
118,1436795632380,39.709,-12.069,-25.846
119,1436795632400,39.709,-12.069,-25.846
120,1436795632419,39.709,-12.069,-25.846
121,1436795632439,39.404,-12.069,-25.846
122,1436795632460,39.404,-12.069,-25.846
123,1436795632480,39.404,-11.758,-25.846
124,1436795632500,39.404,-11.758,-25.846
125,1436795632519,39.404,-11.758,-25.846
126,1436795632543,39.404,-11.758,-25.846
127,1436795632561,39.404,-11.758,-25.846
128,1436795632577,39.404,-11.758,-25.846
129,1436795632597,39.404,-11.758,-25.846
130,1436795632620,39.404,-11.758,-25.846
131,1436795632641,39.404,-11.758,-25.846
132,1436795632657,39.404,-11.758,-25.846
133,1436795632677,39.404,-11.758,-25.846
134,1436795632697,39.404,-11.758,-25.846
135,1436795632723,39.404,-11.758,-25.846
136,1436795632743,39.404,-11.758,-25.846
