id,attr_time,attr_x,attr_y,attr_z
1,1436795630042,0.814,-40.193,-18.211
2,1436795630043,0.814,-40.193,-18.211
3,1436795630052,0.814,-40.193,-18.211
4,1436795630073,0.814,-40.193,-18.211
5,1436795630094,0.814,-40.193,-18.211
6,1436795630112,0.814,-40.193,-18.211
7,1436795630131,0.814,-40.193,-18.211
8,1436795630153,0.814,-40.193,-18.211
9,1436795630173,0.814,-40.193,-18.211
10,1436795630194,0.814,-40.193,-18.211
11,1436795630211,0.814,-40.193,-18.211
12,1436795630230,0.814,-40.193,-18.211
13,1436795630251,0.814,-40.193,-18.211
14,1436795630272,0.814,-40.193,-18.211
15,1436795630377,0.814,-40.193,-18.211
16,1436795630378,0.814,-40.193,-18.211
17,1436795630379,0.814,-40.193,-18.211
18,1436795630380,0.814,-40.193,-18.211
19,1436795630381,0.814,-40.193,-18.211
20,1436795630435,0.814,-40.193,-18.211
21,1436795630436,0.814,-40.193,-18.211
22,1436795630437,0.814,-40.193,-18.211
23,1436795630463,0.814,-40.193,-18.211
24,1436795630470,0.814,-40.193,-18.211
25,1436795630494,0.814,-40.193,-18.211
26,1436795630523,0.814,-40.193,-18.211
27,1436795630541,0.814,-40.193,-18.211
28,1436795630550,0.814,-40.193,-18.211
29,1436795630573,0.814,-40.193,-18.211
30,1436795630590,0.814,-40.193,-18.211
31,1436795630610,0.814,-40.193,-18.211
32,1436795630631,0.814,-40.193,-18.211
33,1436795630651,0.814,-40.193,-18.211
34,1436795630670,0.814,-40.193,-18.211
35,1436795630690,0.814,-40.193,-18.211
36,1436795630711,0.814,-40.193,-18.211
37,1436795630731,0.814,-40.193,-18.211
38,1436795630751,0.814,-40.193,-18.211
39,1436795630771,0.814,-40.193,-18.211
40,1436795630791,0.814,-40.193,-18.211
41,1436795630810,0.814,-40.193,-18.211
42,1436795630832,0.814,-40.193,-18.211
43,1436795630850,0.814,-40.193,-18.211
44,1436795630872,0.814,-40.193,-18.211
45,1436795630891,0.814,-40.193,-18.211
46,1436795630911,0.814,-40.193,-18.211
47,1436795630932,0.814,-40.193,-18.211
48,1436795630950,0.814,-40.193,-18.211
49,1436795630970,0.814,-40.193,-18.211
50,1436795630992,0.814,-40.193,-18.211
51,1436795631015,0.814,-40.193,-18.211
52,1436795631031,0.814,-40.193,-18.211
53,1436795631051,0.814,-40.193,-18.211
54,1436795631073,0.814,-40.193,-18.211
55,1436795631092,0.814,-40.193,-18.211
56,1436795631110,0.814,-40.193,-18.211
57,1436795631130,0.814,-40.193,-18.211
58,1436795631153,0.814,-40.193,-18.211
59,1436795631171,0.814,-40.193,-18.211
60,1436795631191,0.814,-40.193,-18.211
61,1436795631212,0.814,-40.193,-18.211
62,1436795631232,0.814,-40.193,-18.211
63,1436795631255,0.814,-40.193,-18.211
64,1436795631272,0.814,-40.193,-18.211
65,1436795631295,0.814,-40.193,-18.211
66,1436795631315,0.814,-40.193,-18.211
67,1436795631335,0.814,-40.193,-18.211
68,1436795631356,0.814,-40.193,-18.211
69,1436795631373,0.814,-40.193,-18.211
70,1436795631395,0.814,-40.193,-18.211
71,1436795631414,0.814,-40.193,-18.211
72,1436795631434,0.814,-40.193,-18.211
73,1436795631458,0.814,-40.193,-18.211
74,1436795631473,0.814,-40.193,-18.211
75,1436795631497,0.814,-40.193,-18.211
76,1436795631515,0.814,-40.193,-18.211
77,1436795631531,0.814,-40.193,-18.211
78,1436795631554,0.814,-40.193,-18.211
79,1436795631572,0.814,-40.193,-18.211
80,1436795631603,0.814,-40.193,-18.211
81,1436795631618,0.814,-40.193,-18.211
82,1436795631638,0.814,-40.193,-18.211
83,1436795631653,0.814,-40.193,-18.211
84,1436795631675,0.814,-40.193,-18.211
85,1436795631744,0.814,-40.193,-18.211
86,1436795631745,0.814,-40.193,-18.211
87,1436795631746,0.814,-40.193,-18.211
88,1436795631753,0.814,-40.193,-18.211
89,1436795631778,0.814,-40.193,-18.211
90,1436795631793,0.814,-40.193,-18.211
91,1436795631825,0.814,-40.193,-18.211
92,1436795631831,0.814,-40.193,-18.211
93,1436795631853,0.814,-40.193,-18.211
94,1436795631879,0.814,-40.193,-18.211
95,1436795631892,0.814,-40.193,-18.211
96,1436795631913,0.814,-40.193,-18.211
97,1436795631932,0.814,-40.193,-18.211
98,1436795631952,0.814,-40.193,-18.211
99,1436795631972,0.814,-40.193,-18.211
100,1436795632007,0.814,-40.193,-18.211
101,1436795632012,0.814,-40.193,-18.211
102,1436795632032,0.814,-40.193,-18.211
103,1436795632052,0.814,-40.193,-18.211
104,1436795632072,0.814,-40.193,-18.211
105,1436795632092,0.814,-40.193,-18.211
106,1436795632112,0.814,-40.193,-18.211
107,1436795632132,0.814,-40.193,-18.211
108,1436795632152,0.814,-40.193,-18.211
109,1436795632172,0.814,-40.193,-18.211
110,1436795632192,0.814,-40.193,-18.211
111,1436795632212,0.814,-40.193,-18.211
112,1436795632232,0.814,-40.193,-18.211
113,1436795632256,0.814,-40.193,-18.211
114,1436795632276,0.814,-40.193,-18.211
115,1436795632295,0.814,-40.193,-18.211
116,1436795632315,0.814,-40.193,-18.211
117,1436795632336,0.814,-40.193,-18.211
118,1436795632355,0.814,-40.193,-18.211
119,1436795632375,0.814,-40.193,-18.211
120,1436795632392,0.814,-40.193,-18.211
121,1436795632420,0.814,-40.193,-18.211
122,1436795632437,0.814,-40.193,-18.211
123,1436795632454,0.814,-40.193,-18.211
124,1436795632471,0.814,-40.193,-18.211
125,1436795632495,0.814,-40.193,-18.211
126,1436795632514,0.814,-40.193,-18.211
127,1436795632532,0.814,-40.193,-18.211
128,1436795632553,0.814,-40.193,-18.211
129,1436795632572,0.814,-40.193,-18.211
130,1436795632596,0.814,-40.193,-18.211
131,1436795632616,0.814,-40.193,-18.211
132,1436795632633,0.814,-40.193,-18.211
133,1436795632653,0.814,-40.193,-18.211
134,1436795632674,0.814,-40.193,-18.211
135,1436795632695,0.814,-40.193,-18.211
136,1436795632716,0.814,-40.193,-18.211
137,1436795632736,0.814,-40.193,-18.211
138,1436795632756,0.814,-40.193,-18.211
139,1436795632773,0.814,-40.193,-18.211
140,1436795632796,0.814,-40.193,-18.211
141,1436795632816,0.814,-40.193,-18.211
142,1436795632835,0.814,-40.193,-18.211
143,1436795632855,0.814,-40.193,-18.211
144,1436795632876,0.814,-40.193,-18.211
145,1436795632898,0.814,-40.193,-18.211
146,1436795632917,0.814,-40.193,-18.211
147,1436795632937,1.121,-40.193,-18.211
148,1436795632956,1.121,-40.193,-18.211
149,1436795632976,1.121,-40.193,-18.211
150,1436795632993,1.121,-40.193,-18.211
151,1436795633013,1.121,-40.193,-18.211
152,1436795633037,1.121,-40.193,-18.211
153,1436795633053,1.121,-40.193,-18.211
154,1436795633126,1.121,-40.193,-18.211
155,1436795633127,1.121,-40.193,-18.211
156,1436795633128,1.121,-40.193,-18.211
157,1436795633136,1.121,-40.193,-18.211
158,1436795633156,1.121,-40.193,-18.211
159,1436795633174,1.121,-40.193,-18.522
160,1436795633193,1.121,-40.193,-18.522
161,1436795633213,1.121,-40.193,-18.522
162,1436795633236,1.121,-40.193,-18.522
163,1436795633255,1.121,-40.193,-18.522
164,1436795633274,1.121,-40.193,-18.522
165,1436795633296,1.121,-40.193,-18.522
166,1436795633313,1.121,-40.193,-18.522
167,1436795633336,1.121,-40.193,-18.522
168,1436795633356,1.121,-40.193,-18.522
169,1436795633376,1.121,-40.193,-18.522
170,1436795633397,1.121,-40.193,-18.522
171,1436795633416,1.121,-40.193,-18.522
172,1436795633436,1.121,-40.193,-18.522
173,1436795633456,1.121,-40.193,-18.522
174,1436795633476,1.121,-40.193,-18.522
175,1436795633498,1.121,-40.193,-18.522
176,1436795633513,1.121,-40.193,-18.522
177,1436795633536,1.121,-40.193,-18.522
178,1436795633558,1.121,-40.193,-18.522
179,1436795633576,1.121,-40.193,-18.522
180,1436795633596,1.121,-40.193,-18.522
181,1436795633613,1.121,-40.193,-18.522
182,1436795633635,1.121,-40.193,-18.191
183,1436795633658,1.121,-40.193,-18.191
184,1436795633674,0.81,-40.193,-18.191
185,1436795633696,0.81,-40.193,-18.191
186,1436795633717,0.81,-40.193,-18.191
187,1436795633737,0.81,-40.193,-18.191
188,1436795633757,0.81,-40.193,-18.191
189,1436795633776,0.81,-40.193,-18.191
190,1436795633854,0.81,-40.193,-18.191
191,1436795633855,0.81,-40.193,-18.191
192,1436795633856,0.81,-40.193,-18.191
193,1436795633857,0.81,-40.193,-18.191
194,1436795633876,0.81,-40.193,-18.191
195,1436795633897,0.81,-40.193,-18.191
196,1436795633914,0.81,-40.193,-18.191
197,1436795633939,0.81,-40.193,-18.191
198,1436795633955,0.81,-40.193,-18.191
199,1436795633975,0.81,-40.193,-18.191
200,1436795634004,0.81,-40.193,-18.191
201,1436795634037,0.81,-40.193,-18.191
202,1436795634038,0.81,-40.193,-18.191
203,1436795634054,0.81,-40.193,-18.191
204,1436795634074,0.81,-40.193,-18.191
205,1436795634096,0.81,-40.193,-18.191
206,1436795634117,0.81,-40.193,-18.191
207,1436795634136,0.81,-40.193,-18.191
208,1436795634157,0.81,-40.193,-18.191
209,1436795634177,0.81,-40.193,-18.191
210,1436795634195,0.81,-40.193,-18.505
211,1436795634217,0.81,-40.193,-18.505
212,1436795634241,0.81,-40.193,-18.505
213,1436795634255,0.81,-40.193,-18.505
214,1436795634277,0.81,-40.193,-18.505
215,1436795634298,0.81,-40.193,-18.505
216,1436795634318,0.81,-40.193,-18.878
217,1436795634339,0.81,-40.193,-18.878
218,1436795634357,0.81,-40.193,-18.878
219,1436795634376,0.81,-39.865,-18.878
220,1436795634395,0.81,-39.865,-19.236
221,1436795634417,0.81,-39.865,-19.236
222,1436795634439,0.81,-39.865,-19.236
223,1436795634460,0.337,-39.53,-19.697
224,1436795634479,-2.346,-39.53,-19.697
225,1436795634497,-4.655,-39.53,-20.095
226,1436795634523,-7.371,-39.135,-20.431
227,1436795634636,-8.915,-39.135,-20.864
228,1436795634637,-10.891,-38.131,-20.864
229,1436795634638,-13.18,-36.883,-20.864
230,1436795634639,-14.891,-36.166,-21.292
231,1436795634640,-16.342,-35.661,-21.292
232,1436795634641,-17.88,-35.661,-21.292
233,1436795634656,-18.925,-35.255,-21.292
234,1436795634675,-19.554,-35.255,-20.361
235,1436795634696,-19.979,-35.568,-19.026
236,1436795634717,-19.627,-35.913,-17.602
237,1436795634737,-19.084,-36.407,-16.551
238,1436795634756,-18.524,-36.891,-14.785
239,1436795634778,-17.472,-36.891,-13.323
240,1436795634799,-15.779,-37.814,-12.454
241,1436795634816,-14.112,-38.909,-11.944
242,1436795634838,-12.733,-39.688,-11.164
243,1436795634858,-10.946,-40.322,-11.164
244,1436795634878,-9.954,-41.033,-11.73
245,1436795634898,-9.376,-41.033,-11.73
246,1436795634918,-9.376,-41.368,-11.73
247,1436795634938,-9.376,-41.368,-12.541
248,1436795634958,-10.314,-40.867,-12.541
249,1436795634978,-10.92,-40.867,-13.322
250,1436795634998,-10.92,-40.53,-13.322
251,1436795635019,-11.718,-40.53,-13.806
252,1436795635035,-12.051,-40.53,-13.806
253,1436795635058,-12.051,-40.53,-13.806
254,1436795635076,-12.051,-40.53,-13.806
255,1436795635096,-12.051,-40.53,-13.806
256,1436795635118,-11.373,-40.53,-13.806
257,1436795635140,-10.871,-40.53,-13.806
258,1436795635160,-10.444,-40.898,-13.806
259,1436795635181,-10.444,-40.898,-14.161
260,1436795635198,-9.895,-40.898,-14.471
261,1436795635217,-9.895,-40.898,-15.002
262,1436795635235,-8.895,-40.898,-15.002
263,1436795635258,-7.746,-40.898,-15.002
264,1436795635277,-6.675,-40.898,-15.002
265,1436795635295,-5.213,-40.898,-15.002
