id,attr_time,attr_x,attr_y,attr_z
1,1436795630046,11.636,-34.994,-24.156
2,1436795630065,11.636,-34.994,-24.156
3,1436795630088,11.636,-34.994,-24.156
4,1436795630107,11.636,-34.994,-24.156
5,1436795630127,11.636,-34.994,-24.156
6,1436795630145,11.636,-34.994,-24.156
7,1436795630167,11.636,-34.994,-24.156
8,1436795630187,11.636,-34.994,-24.156
9,1436795630207,11.636,-34.994,-24.156
10,1436795630227,11.636,-34.994,-24.156
11,1436795630247,11.636,-34.994,-24.156
12,1436795630269,11.636,-34.994,-24.156
13,1436795630291,11.636,-34.994,-24.156
14,1436795630366,11.636,-34.994,-24.156
15,1436795630367,11.636,-34.994,-24.156
16,1436795630368,11.636,-34.994,-24.156
17,1436795630369,11.636,-34.994,-24.156
18,1436795630387,11.636,-34.994,-24.156
19,1436795630407,11.636,-34.994,-24.156
20,1436795630427,11.636,-34.994,-24.156
21,1436795630447,11.636,-34.994,-24.156
22,1436795630467,11.636,-34.994,-24.156
23,1436795630487,11.636,-34.994,-24.468
24,1436795630507,11.636,-34.994,-24.468
25,1436795630526,11.636,-34.994,-24.468
26,1436795630554,11.636,-34.994,-24.468
27,1436795630610,11.636,-34.994,-24.468
28,1436795630611,11.636,-34.994,-24.468
29,1436795630612,11.636,-34.994,-24.468
30,1436795630633,11.636,-34.994,-24.468
31,1436795630644,11.636,-34.994,-24.468
32,1436795630673,11.636,-34.994,-24.468
33,1436795630686,11.636,-34.994,-24.468
34,1436795630705,11.636,-34.994,-24.468
35,1436795630739,11.636,-34.994,-24.468
36,1436795630746,11.636,-34.994,-24.468
37,1436795630765,11.636,-34.994,-24.468
38,1436795630788,11.636,-34.994,-24.468
39,1436795630808,11.636,-34.994,-24.468
40,1436795630824,11.636,-34.994,-24.468
41,1436795630848,11.636,-34.994,-24.468
42,1436795630868,11.636,-34.994,-24.468
43,1436795630887,11.636,-34.994,-24.468
44,1436795630908,11.636,-34.994,-24.468
45,1436795630928,11.636,-34.994,-24.468
46,1436795630948,11.636,-34.994,-24.794
47,1436795630968,11.955,-34.994,-24.794
48,1436795630990,11.955,-34.994,-24.794
49,1436795631006,11.955,-34.994,-24.794
50,1436795631027,11.955,-34.994,-24.794
51,1436795631052,11.955,-34.994,-24.794
52,1436795631067,11.955,-34.994,-24.794
53,1436795631086,11.955,-34.994,-24.794
54,1436795631105,11.955,-34.994,-24.794
55,1436795631130,11.955,-34.994,-24.794
56,1436795631150,11.955,-34.994,-24.794
57,1436795631171,11.955,-34.994,-24.794
58,1436795631188,11.955,-34.994,-24.794
59,1436795631205,11.955,-34.994,-24.794
60,1436795631225,11.955,-34.994,-24.794
61,1436795631245,11.955,-34.994,-24.794
62,1436795631267,11.955,-34.994,-24.794
63,1436795631337,11.955,-34.994,-24.794
64,1436795631404,11.633,-34.994,-24.794
65,1436795631405,11.633,-34.994,-24.794
66,1436795631406,11.633,-34.994,-24.794
67,1436795631407,11.633,-34.994,-24.484
68,1436795631408,11.633,-34.994,-24.484
69,1436795631409,11.633,-34.994,-24.484
70,1436795631431,11.331,-34.994,-24.484
71,1436795631466,11.331,-34.994,-24.484
72,1436795631467,11.331,-34.994,-24.484
73,1436795631485,11.331,-34.994,-24.484
74,1436795631510,11.331,-34.994,-24.484
75,1436795631526,11.331,-34.994,-24.484
76,1436795631547,11.331,-34.994,-24.484
77,1436795631567,11.331,-34.994,-24.484
78,1436795631587,11.331,-34.994,-24.484
79,1436795631608,11.331,-34.994,-24.484
80,1436795631628,11.331,-34.994,-24.484
81,1436795631648,11.331,-34.994,-24.484
82,1436795631668,11.331,-34.994,-24.484
83,1436795631688,11.331,-34.994,-24.484
84,1436795631708,11.331,-34.994,-24.179
85,1436795631728,11.331,-34.994,-24.179
86,1436795631748,11.331,-34.994,-24.179
87,1436795631768,11.331,-34.994,-24.179
88,1436795631788,11.331,-34.994,-24.179
89,1436795631807,11.331,-34.994,-24.179
90,1436795631827,11.331,-34.994,-24.179
91,1436795631848,11.331,-34.994,-24.179
92,1436795631867,11.331,-34.994,-24.179
93,1436795631886,11.331,-34.994,-24.179
94,1436795631906,11.331,-34.994,-24.179
95,1436795631931,11.331,-34.994,-24.179
96,1436795631951,11.331,-34.994,-24.179
97,1436795631971,11.331,-34.994,-24.179
98,1436795631990,11.331,-34.994,-24.179
99,1436795632010,11.331,-34.994,-24.179
100,1436795632029,11.331,-34.994,-24.179
101,1436795632059,11.331,-34.994,-24.179
102,1436795632069,11.331,-34.994,-24.179
103,1436795632158,11.331,-34.994,-24.179
104,1436795632159,11.331,-34.994,-24.179
105,1436795632160,11.331,-34.994,-24.179
106,1436795632161,11.331,-34.994,-24.179
107,1436795632172,11.331,-34.994,-24.179
108,1436795632186,11.331,-34.994,-24.179
109,1436795632207,11.331,-34.994,-24.179
110,1436795632226,11.331,-34.994,-24.179
111,1436795632251,11.331,-34.994,-24.179
112,1436795632268,11.331,-34.994,-24.481
113,1436795632287,11.331,-34.994,-24.481
114,1436795632307,11.331,-34.994,-24.481
115,1436795632328,11.331,-34.994,-24.481
116,1436795632348,11.331,-34.994,-24.481
117,1436795632369,11.331,-34.994,-24.481
118,1436795632389,11.331,-34.994,-24.481
119,1436795632409,11.331,-34.994,-24.481
120,1436795632430,11.331,-34.994,-24.481
121,1436795632449,11.331,-34.994,-24.481
122,1436795632469,11.331,-34.994,-24.481
123,1436795632489,11.331,-34.994,-24.481
124,1436795632509,11.331,-34.994,-24.481
125,1436795632530,11.331,-34.994,-24.481
126,1436795632548,11.331,-34.994,-24.481
127,1436795632569,11.331,-34.994,-24.481
128,1436795632589,11.331,-34.994,-24.481
129,1436795632610,11.331,-34.994,-24.481
130,1436795632629,11.331,-34.994,-24.481
131,1436795632649,11.331,-34.994,-24.481
132,1436795632669,11.331,-34.994,-24.481
133,1436795632689,11.331,-34.994,-24.481
134,1436795632709,11.682,-34.994,-24.481
135,1436795632730,11.682,-34.994,-24.481
136,1436795632749,11.682,-34.994,-24.481
137,1436795632769,11.682,-34.994,-24.481
138,1436795632786,11.682,-34.994,-24.481
139,1436795632819,11.682,-34.994,-24.481
140,1436795632879,11.682,-34.994,-24.481
141,1436795632880,11.682,-34.994,-24.481
142,1436795632881,11.682,-34.994,-24.481
143,1436795632890,11.682,-34.994,-24.481
144,1436795632907,11.682,-34.994,-24.481
145,1436795632926,11.682,-34.994,-24.481
146,1436795632947,11.682,-34.994,-24.481
147,1436795632967,11.682,-34.994,-24.481
148,1436795633009,11.682,-34.994,-24.481
149,1436795633010,11.682,-34.994,-24.481
150,1436795633028,11.682,-34.994,-24.481
151,1436795633046,11.682,-34.994,-24.833
152,1436795633072,11.682,-34.994,-24.833
153,1436795633086,11.682,-34.994,-24.833
154,1436795633107,11.682,-34.994,-24.833
155,1436795633130,11.682,-34.994,-24.833
156,1436795633150,11.682,-34.994,-24.833
157,1436795633170,11.682,-34.994,-24.833
158,1436795633190,11.682,-34.994,-24.833
159,1436795633210,11.682,-34.994,-24.833
160,1436795633231,11.682,-34.994,-24.833
161,1436795633252,11.682,-34.994,-24.833
162,1436795633267,11.682,-34.994,-24.833
163,1436795633290,11.682,-34.994,-24.833
164,1436795633310,11.682,-34.994,-24.833
165,1436795633328,11.682,-34.994,-24.833
166,1436795633348,11.682,-34.994,-24.833
167,1436795633370,11.682,-34.994,-24.833
168,1436795633390,11.682,-34.994,-24.833
169,1436795633410,11.682,-34.994,-24.833
170,1436795633431,11.682,-34.994,-24.833
171,1436795633449,11.682,-34.994,-24.833
172,1436795633470,11.682,-34.994,-24.523
173,1436795633489,11.682,-34.994,-24.523
174,1436795633508,11.682,-34.994,-24.523
175,1436795633527,11.682,-34.994,-24.523
176,1436795633582,11.682,-34.994,-24.523
177,1436795633583,11.682,-34.994,-24.523
178,1436795633600,11.682,-34.994,-24.523
179,1436795633607,11.682,-34.994,-24.523
180,1436795633628,11.682,-34.994,-24.523
181,1436795633648,11.682,-34.994,-24.523
182,1436795633667,11.682,-34.994,-24.523
183,1436795633689,11.682,-34.994,-24.523
184,1436795633707,11.682,-34.994,-24.523
185,1436795633728,11.682,-34.994,-24.523
186,1436795633753,11.682,-34.994,-24.523
187,1436795633768,11.682,-34.994,-24.523
188,1436795633789,11.682,-34.994,-24.523
189,1436795633808,11.682,-34.994,-24.523
190,1436795633830,11.682,-34.994,-24.523
191,1436795633850,11.682,-34.994,-24.523
192,1436795633871,11.682,-34.994,-24.523
193,1436795633891,11.682,-34.994,-24.523
194,1436795633910,11.682,-34.994,-24.523
195,1436795633931,11.682,-34.994,-24.523
196,1436795633951,11.682,-34.994,-24.523
197,1436795633970,11.682,-34.994,-24.523
198,1436795634002,11.682,-34.994,-24.523
199,1436795634010,11.682,-34.994,-24.523
200,1436795634029,11.682,-34.994,-24.523
201,1436795634050,11.682,-34.994,-24.523
202,1436795634104,11.682,-34.994,-24.523
203,1436795634105,11.682,-34.994,-24.523
204,1436795634108,11.682,-34.994,-24.523
205,1436795634127,11.682,-34.994,-24.523
206,1436795634148,11.682,-34.994,-24.523
207,1436795634168,11.682,-34.994,-24.523
208,1436795634188,11.682,-34.994,-24.523
209,1436795634208,11.682,-34.994,-24.523
210,1436795634228,11.682,-34.994,-24.523
211,1436795634249,11.682,-34.994,-24.523
212,1436795634318,11.682,-34.994,-24.523
213,1436795634319,11.682,-34.994,-24.523
214,1436795634320,11.682,-34.994,-24.523
215,1436795634338,11.682,-34.994,-24.523
216,1436795634348,11.369,-34.994,-24.523
217,1436795634372,11.369,-34.994,-24.523
218,1436795634388,11.369,-34.994,-24.523
219,1436795634408,11.369,-34.994,-24.523
220,1436795634433,11.369,-34.994,-24.523
221,1436795634449,11.369,-34.994,-24.523
222,1436795634470,11.369,-34.994,-24.523
223,1436795634489,11.032,-34.994,-24.523
224,1436795634511,11.032,-34.994,-24.523
225,1436795634531,11.032,-34.994,-24.523
226,1436795634551,11.032,-34.994,-24.523
227,1436795634571,10.667,-34.994,-24.523
228,1436795634591,10.667,-34.994,-24.523
229,1436795634610,10.667,-34.994,-24.899
230,1436795634631,10.279,-34.994,-24.899
231,1436795634651,10.279,-34.994,-24.899
232,1436795634671,9.967,-34.994,-24.899
233,1436795634691,9.967,-34.994,-24.899
234,1436795634713,9.64,-34.994,-25.318
235,1436795634730,9.64,-34.994,-25.318
236,1436795634748,8.964,-34.692,-25.318
237,1436795634772,8.01,-34.692,-25.695
238,1436795634793,7.148,-34.692,-25.695
239,1436795634811,6.462,-34.692,-26.016
240,1436795634831,5.856,-34.692,-26.016
241,1436795634851,5.16,-34.344,-26.829
242,1436795634871,4.649,-34.344,-27.441
243,1436795634891,3.561,-34.344,-27.893
244,1436795634909,3.561,-33.886,-28.417
245,1436795634929,3.065,-33.233,-29.362
246,1436795634951,3.065,-32.531,-29.362
247,1436795634970,2.626,-32.008,-30.087
248,1436795635097,2.626,-31.451,-30.511
249,1436795635098,2.626,-31.141,-30.899
250,1436795635099,2.626,-30.804,-30.899
251,1436795635100,2.626,-30.439,-31.408
252,1436795635101,2.626,-30.439,-31.408
253,1436795635102,2.626,-30.439,-31.86
254,1436795635109,2.99,-30.12,-31.419
255,1436795635129,2.99,-30.12,-31.419
256,1436795635149,2.99,-30.12,-31.419
257,1436795635170,2.99,-30.12,-31.419
258,1436795635203,2.99,-30.12,-31.419
259,1436795635210,2.581,-30.12,-31.419
260,1436795635229,2.581,-30.12,-31.419
261,1436795635256,2.581,-30.12,-31.419
262,1436795635270,2.264,-29.814,-31.776
263,1436795635291,2.264,-29.814,-31.776
264,1436795635335,2.264,-29.814,-31.776
265,1436795635336,2.264,-29.814,-31.776
266,1436795635356,2.264,-29.814,-31.776
267,1436795635375,1.942,-29.814,-31.776
268,1436795635389,1.942,-29.814,-31.776
269,1436795635410,1.942,-29.814,-31.776
270,1436795635429,1.942,-29.814,-31.776
271,1436795635449,1.239,-29.814,-31.776
272,1436795635469,0.549,-29.814,-31.416
273,1436795635490,-0.599,-30.264,-31.103
274,1436795635510,-1.834,-31.278,-29.629
275,1436795635529,-2.708,-32.115,-28.778
276,1436795635549,-3.747,-32.707,-27.706
277,1436795635567,-4.689,-33.332,-27.11
278,1436795635587,-5.091,-33.332,-26.69
279,1436795635608,-5.091,-34.284,-26.69
280,1436795635628,-5.091,-34.284,-26.312
281,1436795635648,-4.757,-34.284,-25.657
282,1436795635668,-4.757,-34.771,-25.657
283,1436795635688,-4.032,-34.771,-25.657
284,1436795635708,-3.44,-34.771,-26.037
285,1436795635728,-2.885,-34.771,-26.364
286,1436795635748,-2.583,-34.771,-26.002
287,1436795635768,-2.583,-34.771,-26.62
288,1436795635788,-2.191,-34.771,-26.62
289,1436795635809,-2.191,-34.771,-26.62
290,1436795635829,-2.571,-34.771,-26.62
291,1436795635848,-2.571,-34.771,-26.193
292,1436795635868,-2.571,-35.076,-26.193
293,1436795635888,-2.571,-35.076,-26.193
294,1436795635908,-2.571,-35.076,-26.193
295,1436795635928,-2.204,-35.076,-26.193
296,1436795635948,-2.204,-35.076,-26.509
297,1436795635968,-2.204,-35.076,-26.997
298,1436795635988,-1.885,-35.076,-27.313
299,1436795636008,-1.885,-35.076,-28.135
300,1436795636028,-2.206,-34.498,-28.645
301,1436795636048,-2.206,-33.235,-29.6
302,1436795636068,-2.206,-32.374,-30.081
303,1436795636088,-2.206,-31.922,-30.081
304,1436795636108,-2.206,-31.391,-30.461
305,1436795636128,-2.206,-31.391,-30.807
306,1436795636150,-2.206,-31.391,-30.807
307,1436795636168,-2.206,-31.391,-31.347
308,1436795636188,-2.206,-30.981,-31.347
309,1436795636210,-2.206,-30.981,-31.347
310,1436795636230,-2.206,-30.981,-31.347
311,1436795636250,-2.206,-31.332,-31.347
312,1436795636270,-2.206,-31.332,-31.347
