id,attr_time,attr_x,attr_y,attr_z
1,1436801602137,19.369,-40.382,14.158
2,1436801602157,19.369,-40.382,14.158
3,1436801602177,19.369,-40.382,14.158
4,1436801602197,19.369,-40.382,14.158
5,1436801602218,19.369,-40.382,14.158
6,1436801602238,19.369,-40.382,14.158
7,1436801602258,19.369,-40.382,13.842
8,1436801602280,19.682,-40.382,13.842
9,1436801602298,19.682,-40.382,13.842
10,1436801602324,19.682,-40.382,13.842
11,1436801602337,19.682,-40.382,13.842
12,1436801602357,19.682,-40.382,13.842
13,1436801602378,19.682,-40.382,13.842
14,1436801602398,19.682,-40.382,13.842
15,1436801602418,19.682,-40.382,13.842
16,1436801602439,19.682,-40.382,13.842
17,1436801602458,19.682,-40.382,13.842
18,1436801602480,19.682,-40.382,13.842
19,1436801602499,19.682,-40.382,13.842
20,1436801602517,19.682,-40.382,13.842
21,1436801602538,19.682,-40.382,13.842
22,1436801602560,19.682,-40.382,13.842
23,1436801602578,19.682,-40.382,13.842
24,1436801602601,19.682,-40.382,13.842
25,1436801602620,19.682,-40.382,13.842
26,1436801602639,19.682,-40.382,13.842
27,1436801602659,19.987,-40.382,13.842
28,1436801602680,19.987,-40.382,13.842
29,1436801602701,19.987,-40.382,13.842
30,1436801602721,19.987,-40.382,13.842
31,1436801602741,19.987,-40.382,13.842
32,1436801602762,19.987,-40.382,13.842
33,1436801602780,19.987,-40.382,13.842
34,1436801602800,19.987,-40.382,13.842
35,1436801602820,19.987,-40.382,13.842
36,1436801602841,19.987,-40.382,13.842
37,1436801602859,19.987,-40.382,13.842
38,1436801602879,19.987,-40.382,13.842
39,1436801602898,19.987,-40.382,13.842
40,1436801602922,19.987,-40.382,13.842
41,1436801602973,19.987,-40.382,13.842
42,1436801602974,19.987,-40.382,14.151
43,1436801602978,19.987,-40.382,14.151
44,1436801602998,19.987,-40.382,14.151
45,1436801603018,19.987,-40.382,14.151
46,1436801603038,19.987,-40.382,14.151
47,1436801603060,19.987,-40.382,14.151
48,1436801603080,19.987,-40.382,14.453
49,1436801603098,19.987,-40.382,14.453
50,1436801603122,19.987,-40.382,14.453
51,1436801603143,19.987,-40.382,14.453
52,1436801603167,19.586,-40.382,14.453
53,1436801603186,19.586,-40.382,14.453
54,1436801603202,19.586,-40.382,14.453
55,1436801603222,19.586,-40.382,14.453
56,1436801603240,19.586,-40.382,14.453
57,1436801603260,19.586,-40.382,14.453
58,1436801603280,19.586,-40.382,14.453
59,1436801603299,19.586,-40.382,14.775
60,1436801603324,19.586,-40.382,14.775
61,1436801603340,19.586,-40.382,14.775
62,1436801603361,19.586,-40.382,14.775
63,1436801603381,19.586,-40.382,14.775
64,1436801603401,19.586,-40.382,14.775
65,1436801603421,19.586,-40.382,14.775
66,1436801603441,19.586,-40.382,14.775
67,1436801603463,19.586,-40.382,14.775
68,1436801603483,19.586,-40.382,14.775
69,1436801603502,19.586,-40.382,14.775
70,1436801603521,19.586,-40.382,14.775
71,1436801603540,19.586,-40.382,14.775
72,1436801603560,19.586,-40.382,14.775
73,1436801603589,19.586,-40.382,14.775
74,1436801603662,19.586,-40.382,14.775
75,1436801603669,19.586,-40.382,14.775
76,1436801603670,19.586,-40.382,14.775
77,1436801603671,19.586,-40.382,14.775
78,1436801603681,19.586,-40.382,14.775
79,1436801603702,19.586,-40.382,14.775
80,1436801603720,19.586,-40.382,14.775
81,1436801603740,19.586,-40.382,14.775
82,1436801603760,19.586,-40.382,14.775
83,1436801603781,19.586,-40.382,15.141
84,1436801603800,19.586,-40.382,15.141
85,1436801603821,19.586,-40.013,15.908
86,1436801603842,19.586,-40.013,16.661
87,1436801603861,19.586,-40.013,17.396
88,1436801603880,19.586,-39.697,17.396
89,1436801603900,19.586,-39.697,17.9
90,1436801603921,19.586,-39.697,17.9
91,1436801603940,19.586,-39.324,18.577
92,1436801603961,19.586,-39.324,18.577
93,1436801603981,19.926,-38.983,19.749
94,1436801604001,19.926,-38.983,19.749
95,1436801604022,19.926,-38.497,20.069
96,1436801604047,20.382,-37.602,20.428
97,1436801604061,20.747,-36.897,20.895
98,1436801604082,21.243,-36.473,21.647
99,1436801604101,21.243,-36.09,21.647
100,1436801604120,21.626,-36.09,21.647
101,1436801604143,21.626,-36.09,21.134
102,1436801604162,21.626,-36.09,21.697
103,1436801604187,21.626,-36.09,21.35
104,1436801604203,21.626,-36.09,21.35
105,1436801604222,21.931,-36.09,21.35
106,1436801604241,21.931,-36.09,21.35
107,1436801604261,22.279,-36.09,21.35
108,1436801604281,22.279,-36.09,21.35
109,1436801604372,22.654,-35.734,20.903
110,1436801604373,22.654,-35.734,19.691
111,1436801604374,23.036,-35.734,18.594
112,1436801604375,23.036,-35.734,17.466
113,1436801604384,23.036,-35.734,17.466
114,1436801604401,23.376,-35.734,17.121
115,1436801604424,23.376,-35.734,17.121
116,1436801604441,23.376,-35.734,17.646
117,1436801604462,23.376,-36.134,16.415
118,1436801604481,23.376,-36.134,16.415
119,1436801604501,23.376,-36.633,15.504
120,1436801604523,23.376,-36.633,15.504
121,1436801604541,23.376,-37.03,15.0
122,1436801604565,23.376,-37.03,15.0
123,1436801604582,23.376,-37.03,15.356
124,1436801604601,23.376,-37.416,15.356
125,1436801604622,23.376,-37.416,16.334
126,1436801604641,23.376,-37.757,16.334
127,1436801604662,23.376,-37.757,16.334
128,1436801604681,23.376,-37.757,15.888
129,1436801604701,23.376,-38.143,15.888
130,1436801604723,23.376,-38.143,15.888
131,1436801604743,23.376,-38.143,15.888
132,1436801604762,23.376,-38.143,15.568
133,1436801604781,23.376,-38.143,15.568
134,1436801604801,23.376,-38.143,15.568
135,1436801604822,23.376,-38.143,15.568
136,1436801604841,23.376,-38.143,15.104
137,1436801604862,23.759,-38.143,15.104
138,1436801604883,23.759,-38.143,15.104
139,1436801604903,23.759,-38.143,15.104
140,1436801604923,23.759,-38.143,15.104
141,1436801604972,24.073,-38.143,15.104
142,1436801604973,24.073,-38.143,15.104
143,1436801604981,24.073,-38.143,15.104
144,1436801605001,24.073,-38.143,15.104
145,1436801605026,24.073,-38.143,15.104
146,1436801605104,24.073,-38.143,15.104
147,1436801605105,24.073,-38.143,15.104
148,1436801605106,24.073,-38.143,14.765
149,1436801605107,24.073,-38.143,14.765
150,1436801605122,24.073,-38.143,14.765
151,1436801605162,24.073,-38.143,14.765
152,1436801605163,24.073,-38.143,15.098
153,1436801605187,24.073,-38.143,15.098
154,1436801605201,24.073,-38.143,15.098
155,1436801605234,24.073,-38.143,15.098
156,1436801605321,24.073,-38.143,15.449
157,1436801605322,24.073,-38.143,15.449
158,1436801605323,24.073,-38.143,15.449
159,1436801605324,24.073,-38.143,15.449
160,1436801605325,24.073,-38.143,15.449
161,1436801605356,24.073,-38.143,15.449
162,1436801605361,24.073,-38.143,15.449
163,1436801605381,24.073,-38.143,15.449
164,1436801605401,24.073,-38.143,15.449
165,1436801605421,24.073,-38.143,15.449
166,1436801605441,24.073,-38.143,15.449
167,1436801605461,24.073,-38.143,15.449
168,1436801605481,24.073,-38.143,15.449
169,1436801605501,24.073,-38.143,15.449
170,1436801605522,24.073,-38.143,15.449
171,1436801605542,24.073,-38.143,15.449
172,1436801605563,24.073,-38.143,15.449
173,1436801605583,24.073,-38.143,15.449
174,1436801605602,23.767,-38.143,15.449
175,1436801605622,23.767,-38.143,15.449
176,1436801605643,23.767,-38.465,15.798
177,1436801605663,23.767,-38.465,15.798
178,1436801605684,23.461,-38.465,15.798
179,1436801605704,23.461,-38.465,15.798
180,1436801605725,23.461,-38.465,15.798
181,1436801605744,23.461,-38.465,15.798
182,1436801605761,23.461,-38.465,15.798
183,1436801605781,23.461,-38.465,15.383
184,1436801605801,23.461,-38.465,15.383
185,1436801605825,23.461,-38.465,15.383
186,1436801605869,23.461,-38.465,14.974
187,1436801605870,23.461,-38.465,14.974
188,1436801605886,23.461,-38.465,14.974
189,1436801605905,23.461,-38.465,14.974
190,1436801605921,23.461,-38.465,14.974
191,1436801605943,23.461,-38.465,14.974
192,1436801605962,23.461,-38.465,14.974
193,1436801605983,23.461,-38.465,14.974
194,1436801606002,23.461,-38.465,14.974
195,1436801606023,23.461,-38.465,14.974
196,1436801606041,23.461,-38.465,14.974
197,1436801606063,23.461,-38.465,14.665
198,1436801606081,23.799,-38.465,14.665
199,1436801606105,23.799,-38.465,14.665
200,1436801606125,23.799,-38.465,14.665
201,1436801606144,23.799,-38.465,15.634
202,1436801606162,23.799,-38.465,15.634
203,1436801606185,23.799,-38.465,15.634
204,1436801606227,24.105,-38.465,15.634
205,1436801606228,24.105,-38.156,15.634
206,1436801606244,24.105,-38.156,16.065
207,1436801606265,24.105,-38.156,16.065
208,1436801606285,24.105,-38.156,16.442
209,1436801606306,24.105,-38.156,16.442
210,1436801606324,24.105,-37.847,16.442
211,1436801606343,24.105,-37.847,16.824
212,1436801606363,24.105,-37.847,16.824
213,1436801606386,24.105,-37.847,17.146
214,1436801606406,24.105,-37.847,17.146
215,1436801606425,24.105,-37.847,17.146
216,1436801606446,24.105,-37.847,17.146
217,1436801606467,24.105,-37.847,17.146
218,1436801606533,24.105,-37.847,17.504
219,1436801606534,24.105,-37.847,17.504
220,1436801606535,24.105,-37.847,17.504
221,1436801606557,23.748,-37.847,17.504
222,1436801606564,23.748,-37.847,17.504
223,1436801606583,23.748,-37.847,17.504
224,1436801606604,23.748,-37.847,17.504
225,1436801606631,23.748,-37.847,17.504
226,1436801606642,23.748,-37.847,17.504
227,1436801606683,23.748,-37.847,17.504
228,1436801606684,23.748,-37.847,17.504
229,1436801606757,23.748,-37.847,17.118
230,1436801606758,23.748,-37.847,17.118
231,1436801606759,23.748,-37.847,17.118
232,1436801606764,23.748,-37.847,17.118
233,1436801606834,23.748,-37.847,17.118
234,1436801606835,24.064,-37.847,17.118
235,1436801606836,24.064,-37.847,17.118
236,1436801606843,24.064,-37.847,17.118
237,1436801606863,24.064,-37.847,17.118
238,1436801606884,24.064,-37.847,17.118
239,1436801606903,24.064,-37.847,17.118
240,1436801606923,24.064,-37.847,17.118
241,1436801606945,24.064,-37.847,17.118
242,1436801606966,24.064,-37.847,17.118
243,1436801606983,24.064,-37.847,17.118
244,1436801607003,24.064,-37.847,17.118
245,1436801607025,24.064,-37.847,17.118
246,1436801607045,24.064,-37.847,17.118
247,1436801607066,24.064,-37.847,17.118
248,1436801607086,24.064,-37.847,17.118
249,1436801607106,24.064,-37.847,17.118
250,1436801607124,23.747,-37.847,17.118
251,1436801607145,23.747,-37.847,17.118
252,1436801607169,23.747,-37.847,16.773
253,1436801607195,23.747,-37.847,16.773
254,1436801607204,23.747,-37.847,16.773
255,1436801607225,23.747,-37.847,16.773
256,1436801607244,23.747,-37.847,16.773
257,1436801607265,23.747,-37.847,16.773
258,1436801607284,23.747,-37.847,16.773
259,1436801607306,23.747,-37.847,16.773
260,1436801607325,23.747,-37.847,16.773
261,1436801607395,23.747,-37.847,16.773
262,1436801607396,23.747,-37.847,16.773
263,1436801607397,23.747,-37.847,16.773
264,1436801607411,23.747,-37.847,16.773
265,1436801607423,23.747,-37.847,17.303
266,1436801607450,23.747,-37.847,17.303
267,1436801607463,23.747,-37.847,17.303
268,1436801607483,23.747,-37.847,17.303
