id,attr_time,attr_x,attr_y,attr_z
1,1436801602159,34.756,-30.638,5.767
2,1436801602160,34.442,-30.638,5.767
3,1436801602167,34.442,-30.638,5.767
4,1436801602187,34.442,-30.638,5.767
5,1436801602209,34.442,-30.638,5.767
6,1436801602229,34.442,-30.638,5.767
7,1436801602247,34.442,-30.638,5.767
8,1436801602267,34.442,-30.638,5.767
9,1436801602288,34.442,-30.638,5.767
10,1436801602309,34.442,-30.638,5.767
11,1436801602329,34.442,-30.332,5.767
12,1436801602347,34.442,-30.332,5.767
13,1436801602369,34.442,-30.332,5.767
14,1436801602388,34.094,-30.332,5.767
15,1436801602409,34.094,-30.332,5.767
16,1436801602430,34.094,-30.332,5.767
17,1436801602450,34.094,-30.332,5.767
18,1436801602471,34.094,-29.972,5.767
19,1436801602490,34.094,-29.972,5.767
20,1436801602510,33.776,-29.972,5.767
21,1436801602531,33.776,-29.972,5.767
22,1436801602550,33.776,-29.972,5.767
23,1436801602569,33.776,-29.972,5.767
24,1436801602592,33.776,-29.972,5.767
25,1436801602611,33.776,-29.972,5.767
26,1436801602631,33.776,-29.972,5.767
27,1436801602648,33.776,-29.972,5.467
28,1436801602677,33.776,-29.972,5.467
29,1436801602749,33.776,-29.972,5.467
30,1436801602750,33.776,-29.972,5.467
31,1436801602751,33.776,-29.972,5.467
32,1436801602752,33.776,-29.972,5.467
33,1436801602771,33.776,-29.972,5.467
34,1436801602792,33.776,-29.972,5.467
35,1436801602809,34.164,-29.972,5.467
36,1436801602828,34.164,-30.302,5.467
37,1436801602850,34.164,-30.302,5.467
38,1436801602869,34.465,-30.302,5.467
39,1436801602889,34.465,-30.302,5.467
40,1436801602908,34.465,-30.612,5.795
41,1436801602933,34.465,-30.612,5.795
42,1436801602950,34.465,-30.612,5.795
43,1436801602971,34.465,-30.612,5.795
44,1436801602991,34.465,-30.612,5.795
45,1436801603008,34.465,-30.612,5.795
46,1436801603031,34.465,-30.612,5.795
47,1436801603051,34.465,-30.612,5.795
48,1436801603071,34.785,-30.612,5.795
49,1436801603091,34.785,-30.612,5.795
50,1436801603111,34.785,-30.612,5.795
51,1436801603130,34.785,-30.612,5.795
52,1436801603152,34.785,-30.612,5.795
53,1436801603169,34.785,-30.612,5.795
54,1436801603188,34.785,-30.612,5.795
55,1436801603208,34.785,-30.612,5.795
56,1436801603228,34.785,-30.612,5.795
57,1436801603254,34.785,-30.612,5.795
58,1436801603280,34.785,-30.612,5.795
59,1436801603288,34.785,-30.612,5.476
60,1436801603308,34.785,-30.612,5.476
61,1436801603328,34.785,-30.612,5.476
62,1436801603348,34.785,-30.612,5.476
63,1436801603369,34.785,-30.612,5.476
64,1436801603396,34.785,-30.612,5.476
65,1436801603461,34.785,-30.612,5.476
66,1436801603462,34.785,-30.612,5.476
67,1436801603463,34.785,-30.612,5.476
68,1436801603469,34.785,-30.612,5.476
69,1436801603489,34.785,-30.612,5.476
70,1436801603509,34.785,-30.612,5.476
71,1436801603530,34.785,-30.612,5.476
72,1436801603549,34.785,-30.612,5.476
73,1436801603571,34.785,-30.612,5.476
74,1436801603589,34.785,-30.612,5.476
75,1436801603612,34.785,-30.612,5.476
76,1436801603630,34.785,-30.612,5.476
77,1436801603652,34.785,-30.612,5.476
78,1436801603668,34.785,-30.612,5.476
79,1436801603692,34.455,-30.612,5.476
80,1436801603712,34.455,-30.612,5.476
81,1436801603732,34.455,-30.612,5.476
82,1436801603752,34.455,-30.612,5.476
83,1436801603772,34.455,-30.612,5.476
84,1436801603792,34.455,-30.612,5.476
85,1436801603812,34.455,-30.612,5.476
86,1436801603831,34.455,-30.612,5.476
87,1436801603849,34.118,-30.612,5.476
88,1436801603873,34.118,-30.612,5.476
89,1436801603893,34.118,-30.612,5.476
90,1436801603913,34.118,-30.612,5.476
91,1436801603928,34.118,-30.612,5.476
92,1436801603952,34.118,-30.612,5.476
93,1436801603970,34.118,-30.612,5.476
94,1436801603991,34.118,-30.612,5.476
95,1436801604010,34.118,-30.612,5.476
96,1436801604031,34.118,-30.612,5.476
97,1436801604052,34.118,-30.612,5.476
98,1436801604072,34.118,-30.612,5.476
99,1436801604090,34.118,-30.949,5.476
100,1436801604115,34.118,-30.949,5.476
101,1436801604150,34.118,-30.949,5.476
102,1436801604151,34.118,-30.949,5.476
103,1436801604169,34.118,-30.949,5.476
104,1436801604191,34.118,-30.949,5.476
105,1436801604211,34.422,-30.949,5.476
106,1436801604231,34.422,-30.949,5.476
107,1436801604264,34.422,-30.949,5.476
108,1436801604269,34.422,-31.265,5.476
109,1436801604289,34.422,-31.265,5.476
110,1436801604312,34.422,-31.265,5.476
111,1436801604329,34.422,-31.265,5.476
112,1436801604354,34.422,-31.265,5.476
113,1436801604373,34.422,-31.265,5.476
114,1436801604393,34.422,-31.265,5.476
115,1436801604413,34.422,-31.265,5.476
116,1436801604434,34.422,-31.265,5.476
117,1436801604453,34.422,-31.265,5.476
118,1436801604473,34.422,-31.265,5.476
119,1436801604493,34.422,-30.917,5.781
120,1436801604513,34.422,-30.917,5.781
121,1436801604533,34.422,-30.917,5.781
122,1436801604553,34.422,-30.917,5.781
123,1436801604569,34.422,-30.917,5.781
124,1436801604593,34.422,-30.917,5.781
125,1436801604614,34.422,-30.917,5.781
126,1436801604633,34.422,-30.917,5.781
127,1436801604653,34.422,-30.917,5.781
128,1436801604673,34.422,-30.917,5.781
129,1436801604694,34.422,-30.917,5.781
130,1436801604712,34.422,-30.917,5.781
131,1436801604732,34.422,-30.917,5.781
132,1436801604754,34.757,-30.607,5.456
133,1436801604774,34.757,-30.607,5.456
134,1436801604795,34.757,-30.607,5.456
135,1436801604811,34.757,-30.607,5.456
136,1436801604834,34.757,-30.607,5.456
137,1436801604905,35.118,-30.285,5.456
138,1436801604906,35.118,-30.285,5.456
139,1436801604907,35.118,-30.285,5.456
140,1436801604913,35.118,-29.866,5.456
141,1436801604943,35.118,-29.411,5.456
142,1436801604952,35.455,-28.787,5.456
143,1436801604970,35.455,-28.271,5.456
144,1436801604992,35.455,-27.731,5.456
145,1436801605010,35.455,-27.731,5.456
146,1436801605033,35.455,-27.731,5.456
147,1436801605051,35.455,-28.242,5.456
148,1436801605072,35.455,-28.242,5.456
149,1436801605094,35.455,-28.242,5.456
150,1436801605113,35.765,-28.242,5.456
151,1436801605133,35.765,-28.242,5.456
