id,attr_time,attr_x,attr_y,attr_z
1,1436801602125,-8.091,-43.041,15.101
2,1436801602126,-8.091,-43.041,15.101
3,1436801602139,-8.091,-43.041,15.101
4,1436801602148,-8.091,-43.041,15.101
5,1436801602173,-8.091,-43.041,15.101
6,1436801602189,-8.091,-43.041,15.101
7,1436801602210,-8.091,-43.041,15.101
8,1436801602229,-8.091,-43.041,15.101
9,1436801602248,-8.091,-43.041,15.101
10,1436801602269,-8.091,-43.041,15.101
11,1436801602290,-8.091,-43.041,15.101
12,1436801602309,-8.091,-43.041,15.101
13,1436801602330,-8.091,-43.041,15.101
14,1436801602350,-8.091,-43.041,15.101
15,1436801602371,-8.091,-43.041,15.101
16,1436801602391,-8.091,-43.041,15.101
17,1436801602411,-8.091,-43.041,15.101
18,1436801602431,-8.091,-43.041,15.101
19,1436801602451,-8.091,-43.041,15.101
20,1436801602471,-8.091,-43.041,15.101
21,1436801602491,-8.091,-43.041,15.101
22,1436801602511,-8.091,-43.041,15.101
23,1436801602529,-8.091,-43.041,15.101
24,1436801602551,-8.091,-43.041,15.101
25,1436801602569,-8.091,-43.041,15.101
26,1436801602590,-8.091,-43.041,15.101
27,1436801602611,-8.091,-43.041,15.101
28,1436801602630,-8.091,-43.041,15.101
29,1436801602651,-8.091,-43.041,15.101
30,1436801602671,-8.091,-43.041,15.101
31,1436801602691,-8.091,-43.041,15.101
32,1436801602711,-8.091,-43.041,15.101
33,1436801602731,-8.091,-43.041,15.101
34,1436801602749,-8.091,-43.041,15.101
35,1436801602769,-8.091,-43.041,15.101
36,1436801602788,-8.091,-43.041,15.101
37,1436801602809,-8.091,-43.041,15.101
38,1436801602875,-8.091,-43.041,15.101
39,1436801602876,-8.091,-43.041,15.101
40,1436801602877,-8.091,-43.041,15.101
41,1436801602888,-8.091,-43.041,15.101
42,1436801602913,-8.091,-43.041,15.101
43,1436801602946,-8.091,-43.041,15.101
44,1436801602950,-8.091,-43.041,15.101
45,1436801602968,-8.091,-43.041,15.101
46,1436801602990,-8.091,-43.041,15.101
47,1436801603016,-8.091,-43.041,15.101
48,1436801603030,-8.091,-43.041,15.101
49,1436801603049,-8.091,-43.041,15.101
50,1436801603071,-8.091,-43.041,15.101
51,1436801603092,-8.091,-43.041,15.412
52,1436801603112,-8.091,-43.041,15.412
53,1436801603132,-8.091,-43.041,15.412
54,1436801603152,-8.091,-43.041,15.412
55,1436801603172,-8.091,-43.041,15.412
56,1436801603192,-8.091,-43.041,15.412
57,1436801603212,-8.091,-43.041,15.412
58,1436801603232,-8.091,-42.726,15.412
59,1436801603249,-8.091,-42.726,15.412
60,1436801603272,-8.091,-42.726,15.773
61,1436801603295,-8.091,-42.726,15.773
62,1436801603310,-8.091,-42.726,15.773
63,1436801603335,-8.091,-42.726,15.773
64,1436801603352,-8.091,-42.726,16.136
65,1436801603369,-8.398,-42.726,16.136
66,1436801603389,-8.398,-42.393,16.136
67,1436801603409,-8.398,-42.393,16.511
68,1436801603435,-8.831,-42.393,16.511
69,1436801603450,-11.434,-42.393,16.511
70,1436801603470,-14.529,-42.015,16.905
71,1436801603490,-16.676,-42.015,16.905
72,1436801603514,-18.745,-41.484,17.282
73,1436801603565,-20.141,-39.674,17.282
74,1436801603566,-21.275,-38.906,17.646
