id,attr_time,attr_x,attr_y,attr_z
1,1436801602125,-11.949,-42.625,12.294
2,1436801602145,-11.949,-42.625,12.294
3,1436801602166,-11.949,-42.625,12.294
4,1436801602189,-11.949,-42.625,12.294
5,1436801602207,-11.949,-42.625,12.294
6,1436801602229,-11.949,-42.625,12.294
7,1436801602247,-11.949,-42.625,12.294
8,1436801602266,-11.949,-42.625,12.294
9,1436801602289,-11.949,-42.625,12.294
10,1436801602309,-11.949,-42.625,12.294
11,1436801602329,-11.949,-42.625,12.294
12,1436801602349,-11.949,-42.625,12.294
13,1436801602370,-11.614,-42.625,12.294
14,1436801602390,-11.614,-42.625,12.294
15,1436801602410,-11.614,-42.625,12.294
16,1436801602430,-11.614,-42.625,12.294
17,1436801602449,-11.614,-42.625,12.294
18,1436801602470,-11.614,-42.625,12.294
19,1436801602489,-11.614,-42.625,12.294
20,1436801602510,-11.614,-42.625,12.294
21,1436801602528,-11.614,-42.625,12.294
22,1436801602559,-11.614,-42.625,12.294
23,1436801602567,-11.614,-42.625,12.294
24,1436801602586,-11.614,-42.625,12.294
25,1436801602607,-11.614,-42.625,12.294
26,1436801602628,-11.614,-42.625,12.294
27,1436801602649,-11.614,-42.625,12.294
28,1436801602666,-11.614,-42.625,12.294
29,1436801602686,-11.614,-42.625,12.294
30,1436801602706,-11.614,-42.625,12.294
31,1436801602727,-11.614,-42.625,12.294
32,1436801602767,-11.614,-42.625,12.294
33,1436801602769,-11.614,-42.625,12.294
34,1436801602787,-11.614,-42.625,12.294
35,1436801602807,-11.614,-42.625,12.294
36,1436801602827,-11.614,-42.625,12.294
37,1436801602847,-11.614,-42.625,12.294
38,1436801602867,-11.614,-42.625,12.294
39,1436801602889,-11.614,-42.625,12.294
40,1436801602907,-11.933,-42.625,12.294
41,1436801602929,-11.933,-42.625,12.294
42,1436801602949,-11.933,-42.625,12.294
43,1436801602970,-11.933,-42.625,12.294
44,1436801602990,-11.933,-42.625,12.294
45,1436801603010,-11.933,-42.625,12.294
46,1436801603028,-11.933,-42.625,12.294
47,1436801603047,-11.933,-42.625,12.294
48,1436801603068,-11.933,-42.625,12.294
49,1436801603090,-11.933,-42.625,12.294
50,1436801603110,-11.933,-42.625,12.294
51,1436801603131,-11.933,-42.625,12.294
52,1436801603149,-11.933,-42.625,12.294
53,1436801603168,-11.933,-42.625,12.294
54,1436801603200,-11.933,-42.625,12.294
55,1436801603217,-11.933,-42.625,12.294
56,1436801603228,-11.933,-42.625,12.294
57,1436801603249,-11.933,-42.625,12.294
58,1436801603268,-11.933,-42.625,12.294
59,1436801603288,-11.933,-42.625,12.294
60,1436801603313,-11.933,-42.625,12.294
61,1436801603330,-11.933,-42.625,12.294
62,1436801603350,-11.933,-42.625,12.294
63,1436801603369,-11.933,-42.625,12.608
64,1436801603391,-11.933,-42.625,12.608
65,1436801603410,-11.933,-42.625,12.608
66,1436801603430,-11.933,-42.625,12.608
67,1436801603451,-11.933,-42.625,12.608
68,1436801603470,-11.933,-42.625,12.608
69,1436801603490,-11.933,-42.625,12.608
70,1436801603511,-11.933,-42.625,12.608
71,1436801603529,-12.269,-42.625,12.261
72,1436801603550,-12.269,-42.625,12.261
73,1436801603571,-12.269,-42.625,10.525
74,1436801603589,-12.269,-42.625,8.996
75,1436801603611,-12.628,-42.625,7.931
76,1436801603631,-12.628,-42.625,6.686
77,1436801603650,-12.947,-42.625,5.415
78,1436801603671,-13.484,-42.625,3.881
79,1436801603691,-14.21,-42.625,2.255
80,1436801603710,-15.065,-42.625,1.074
81,1436801603730,-16.127,-42.625,-0.372
82,1436801603750,-17.216,-42.625,-2.278
83,1436801603771,-18.301,-42.231,-3.399
84,1436801603791,-19.912,-42.231,-5.044
85,1436801603809,-21.15,-40.306,-5.921
86,1436801603829,-22.357,-38.583,-7.27
87,1436801603860,-23.561,-37.551,-8.43
88,1436801603912,-24.592,-35.803,-8.43
89,1436801603913,-25.381,-34.756,-10.441
90,1436801603914,-26.402,-33.644,-10.791
91,1436801603929,-26.863,-32.908,-11.872
92,1436801603948,-26.863,-32.135,-11.872
93,1436801603972,-28.091,-32.135,-11.523
94,1436801603988,-28.091,-32.135,-10.945
95,1436801604010,-27.305,-32.135,-10.62
96,1436801604029,-25.801,-34.037,-9.985
97,1436801604049,-23.315,-35.687,-10.583
98,1436801604069,-22.016,-35.687,-12.289
99,1436801604089,-21.406,-35.687,-14.494
100,1436801604110,-20.436,-35.118,-15.588
101,1436801604130,-19.958,-34.474,-16.554
102,1436801604150,-19.958,-34.135,-17.225
103,1436801604171,-21.206,-34.135,-17.66
104,1436801604189,-21.206,-33.258,-17.66
105,1436801604211,-21.582,-33.258,-18.667
106,1436801604229,-21.582,-33.258,-19.223
107,1436801604251,-20.521,-32.675,-20.487
108,1436801604269,-20.521,-32.255,-21.916
109,1436801604290,-19.625,-31.829,-22.459
110,1436801604315,-19.313,-31.484,-22.459
111,1436801604330,-19.313,-31.484,-22.816
112,1436801604352,-19.313,-31.838,-22.5
113,1436801604370,-19.313,-31.838,-21.482
114,1436801604390,-19.857,-32.284,-20.913
115,1436801604412,-19.857,-32.63,-20.184
116,1436801604429,-19.857,-33.103,-19.067
117,1436801604450,-19.857,-33.459,-19.067
118,1436801604475,-19.857,-33.836,-18.615
119,1436801604489,-19.424,-34.437,-17.774
120,1436801604509,-16.929,-36.698,-16.947
121,1436801604529,-13.493,-38.235,-15.843
122,1436801604549,-11.265,-38.665,-15.261
123,1436801604572,-10.71,-39.619,-15.261
124,1436801604621,-11.778,-40.165,-13.084
125,1436801604622,-13.465,-40.165,-10.548
126,1436801604631,-15.641,-40.165,-9.005
127,1436801604649,-17.655,-39.443,-6.408
128,1436801604669,-18.817,-38.827,-4.687
129,1436801604690,-19.795,-39.175,-3.62
130,1436801604709,-20.338,-39.175,-2.908
131,1436801604731,-20.338,-39.175,-3.338
132,1436801604749,-20.338,-39.175,-3.81
133,1436801604769,-20.338,-39.175,-3.3
134,1436801604795,-20.338,-39.175,-2.915
135,1436801604810,-20.338,-39.175,-1.802
136,1436801604830,-20.005,-39.547,-0.241
137,1436801604850,-19.088,-39.547,-0.241
138,1436801604871,-18.583,-39.547,0.347
139,1436801604893,-17.776,-39.547,1.458
140,1436801604913,-16.891,-39.95,1.104
141,1436801604933,-15.788,-39.95,1.104
142,1436801604953,-15.087,-39.95,1.104
143,1436801604970,-13.023,-40.31,-0.491
144,1436801604990,-11.613,-41.003,-3.169
145,1436801605013,-11.941,-41.003,-5.453
146,1436801605037,-11.08,-41.003,-7.908
147,1436801605052,-11.492,-41.003,-8.772
148,1436801605078,-12.42,-41.003,-10.169
149,1436801605095,-13.449,-41.003,-10.169
150,1436801605110,-15.852,-41.003,-9.335
151,1436801605132,-17.509,-40.634,-8.879
152,1436801605150,-18.597,-40.19,-8.529
