id,attr_time,attr_x,attr_y,attr_z
1,1436801602133,-45.095,-20.848,8.738
2,1436801602153,-45.095,-20.848,7.989
3,1436801602174,-45.095,-20.848,7.371
4,1436801602195,-45.422,-20.848,6.362
5,1436801602214,-45.422,-20.848,6.362
6,1436801602235,-45.422,-20.848,7.18
7,1436801602255,-45.422,-20.848,7.969
8,1436801602276,-45.422,-20.848,8.36
9,1436801602296,-45.422,-20.848,8.36
10,1436801602316,-45.422,-20.848,8.784
11,1436801602335,-45.422,-20.848,8.784
12,1436801602354,-45.422,-20.848,8.131
13,1436801602376,-45.422,-20.848,8.131
14,1436801602396,-45.422,-20.848,7.807
15,1436801602414,-45.422,-20.848,10.072
16,1436801602436,-45.422,-20.848,11.386
17,1436801602454,-45.422,-20.848,10.62
18,1436801602475,-45.422,-20.848,10.281
19,1436801602494,-45.422,-20.848,9.388
20,1436801602515,-45.422,-20.848,9.88
21,1436801602537,-45.422,-20.848,9.123
22,1436801602555,-45.422,-20.848,9.123
23,1436801602577,-45.422,-20.848,8.126
24,1436801602596,-45.422,-20.848,8.48
25,1436801602617,-45.422,-20.848,8.146
26,1436801602638,-45.422,-20.848,8.146
27,1436801602655,-45.422,-20.848,8.569
28,1436801602675,-45.422,-20.848,8.569
29,1436801602695,-45.422,-20.848,9.222
30,1436801602716,-45.422,-20.848,9.848
31,1436801602733,-45.422,-20.848,10.223
32,1436801602786,-45.422,-20.848,9.768
33,1436801602790,-45.422,-20.848,9.768
34,1436801602793,-45.422,-20.848,9.768
35,1436801602813,-45.422,-20.848,9.768
36,1436801602834,-45.422,-20.848,9.768
37,1436801602855,-45.422,-20.535,9.768
38,1436801602873,-45.422,-20.535,12.997
39,1436801602896,-45.422,-20.535,13.63
40,1436801602914,-45.422,-20.535,12.38
41,1436801602935,-45.422,-20.535,11.663
42,1436801602955,-45.422,-20.535,11.975
43,1436801602976,-45.422,-20.535,11.622
44,1436801602994,-45.065,-20.535,11.622
45,1436801603016,-45.065,-20.535,10.575
46,1436801603038,-45.065,-20.535,10.084
47,1436801603055,-45.065,-20.535,10.084
48,1436801603076,-45.065,-20.535,9.492
49,1436801603098,-45.065,-20.535,9.492
50,1436801603115,-45.065,-20.535,9.178
51,1436801603137,-45.065,-20.535,9.864
52,1436801603158,-45.065,-20.535,9.864
53,1436801603176,-45.065,-20.535,10.864
54,1436801603200,-45.065,-20.535,10.864
55,1436801603218,-45.065,-20.535,10.35
56,1436801603236,-45.065,-20.535,9.698
57,1436801603257,-45.065,-20.535,9.066
58,1436801603275,-45.065,-20.535,9.066
59,1436801603296,-45.401,-20.179,9.066
60,1436801603316,-45.401,-20.179,9.689
61,1436801603336,-45.401,-20.179,12.734
62,1436801603356,-45.401,-20.179,12.734
63,1436801603376,-45.401,-20.179,11.184
64,1436801603396,-45.401,-20.179,10.606
65,1436801603416,-45.401,-20.486,11.024
66,1436801603435,-45.401,-20.486,11.024
67,1436801603463,-45.056,-20.486,11.024
68,1436801603542,-45.056,-20.486,10.581
69,1436801603546,-45.056,-20.486,10.099
70,1436801603547,-45.056,-20.486,10.099
71,1436801603548,-45.056,-20.486,10.099
72,1436801603617,-45.056,-20.486,10.099
73,1436801603618,-45.056,-20.486,10.099
74,1436801603619,-45.056,-20.486,10.099
75,1436801603620,-45.056,-20.791,10.83
76,1436801603634,-45.056,-20.791,11.34
77,1436801603655,-45.056,-20.791,11.34
78,1436801603689,-45.056,-20.791,10.685
79,1436801603695,-45.056,-20.791,10.365
80,1436801603715,-45.056,-20.791,9.754
81,1436801603736,-45.056,-20.791,9.754
82,1436801603755,-45.056,-20.791,9.754
83,1436801603778,-45.056,-20.791,9.754
84,1436801603796,-45.056,-20.791,13.621
85,1436801603817,-45.056,-20.791,12.344
86,1436801603838,-45.056,-20.791,10.699
87,1436801603857,-45.056,-20.791,10.699
88,1436801603878,-45.056,-20.791,10.699
89,1436801603897,-45.056,-20.791,11.204
90,1436801603917,-45.056,-20.791,10.433
91,1436801603938,-45.056,-20.791,9.492
92,1436801603957,-45.056,-20.791,9.492
93,1436801603983,-45.056,-20.791,8.84
94,1436801603998,-45.056,-20.791,8.84
95,1436801604017,-45.056,-20.791,8.84
96,1436801604039,-45.056,-20.791,8.84
97,1436801604058,-45.056,-20.791,10.224
98,1436801604078,-45.056,-20.791,10.852
99,1436801604098,-45.056,-20.791,10.852
100,1436801604117,-45.056,-20.791,10.852
101,1436801604144,-45.056,-20.791,9.893
102,1436801604223,-45.056,-20.791,9.332
103,1436801604224,-45.056,-20.791,9.332
104,1436801604225,-45.056,-20.791,9.332
105,1436801604226,-45.356,-20.791,9.666
106,1436801604239,-45.356,-20.791,9.666
107,1436801604258,-45.356,-20.791,12.516
108,1436801604279,-45.356,-20.791,12.516
109,1436801604338,-45.356,-20.791,11.131
110,1436801604339,-45.356,-20.791,10.122
111,1436801604340,-45.356,-20.791,10.122
112,1436801604361,-45.356,-20.791,10.466
113,1436801604377,-45.356,-20.791,10.466
114,1436801604398,-45.048,-20.791,9.918
115,1436801604416,-45.048,-20.791,9.918
116,1436801604435,-45.048,-20.791,9.527
117,1436801604457,-45.048,-20.791,9.527
118,1436801604476,-45.048,-20.791,9.089
119,1436801604497,-45.048,-20.791,9.611
120,1436801604518,-45.048,-20.791,9.962
121,1436801604539,-45.048,-20.791,10.397
122,1436801604555,-45.048,-20.791,10.769
123,1436801604578,-45.048,-20.791,10.769
124,1436801604599,-45.048,-20.791,10.363
125,1436801604620,-45.048,-21.098,10.05
126,1436801604638,-45.048,-21.098,9.712
127,1436801604658,-45.048,-21.098,9.712
128,1436801604675,-45.048,-21.098,9.712
129,1436801604698,-45.048,-21.098,9.712
130,1436801604720,-45.048,-21.098,10.964
131,1436801604784,-45.048,-21.098,13.363
132,1436801604785,-45.048,-21.098,10.887
133,1436801604786,-45.048,-21.098,10.009
134,1436801604795,-45.048,-21.098,10.009
135,1436801604815,-45.048,-21.098,10.614
136,1436801604835,-44.723,-21.423,10.614
137,1436801604855,-44.723,-21.423,10.057
138,1436801604875,-44.723,-21.423,9.649
139,1436801604895,-44.723,-21.423,9.649
140,1436801604915,-44.723,-21.423,9.246
141,1436801604935,-44.723,-21.423,8.869
142,1436801604955,-44.723,-21.423,8.869
143,1436801604977,-44.723,-21.423,9.194
144,1436801604995,-44.723,-21.423,9.539
145,1436801605041,-44.723,-21.423,10.308
146,1436801605042,-44.723,-21.423,10.308
147,1436801605082,-44.723,-21.423,10.308
148,1436801605083,-44.723,-21.423,9.429
149,1436801605096,-45.025,-21.423,8.9
150,1436801605116,-45.025,-21.423,8.572
151,1436801605136,-45.025,-21.044,9.333
152,1436801605158,-45.382,-21.044,9.333
153,1436801605176,-45.382,-21.044,9.019
154,1436801605196,-45.382,-21.044,10.462
155,1436801605217,-45.382,-21.044,11.836
156,1436801605236,-45.382,-21.044,9.701
157,1436801605256,-45.382,-21.044,8.964
158,1436801605285,-45.382,-21.044,8.964
159,1436801605296,-45.382,-21.044,9.741
160,1436801605316,-45.382,-21.044,9.741
161,1436801605336,-45.382,-21.044,9.346
162,1436801605356,-45.382,-21.044,9.022
163,1436801605376,-45.382,-21.044,9.022
164,1436801605396,-45.382,-20.741,9.022
165,1436801605418,-45.382,-20.741,9.022
166,1436801605439,-45.382,-20.741,8.653
167,1436801605458,-45.382,-20.741,8.653
168,1436801605476,-45.382,-20.741,8.653
169,1436801605500,-45.382,-20.741,9.323
170,1436801605516,-45.382,-20.741,9.323
171,1436801605543,-45.382,-20.741,9.658
172,1436801605555,-45.382,-20.741,9.658
173,1436801605575,-45.382,-21.067,9.179
174,1436801605598,-45.382,-21.067,9.179
175,1436801605619,-45.382,-21.067,9.179
176,1436801605639,-45.382,-21.067,8.744
177,1436801605658,-45.382,-21.067,8.744
178,1436801605679,-45.382,-21.44,8.744
179,1436801605698,-45.382,-21.44,11.853
180,1436801605716,-45.025,-21.44,10.154
181,1436801605735,-45.025,-21.818,9.431
182,1436801605755,-45.025,-21.818,9.431
183,1436801605799,-45.025,-21.818,10.145
184,1436801605800,-45.025,-21.818,10.145
185,1436801605816,-45.025,-21.818,9.806
186,1436801605837,-45.025,-21.818,9.342
187,1436801605855,-45.025,-21.818,8.876
188,1436801605877,-45.025,-21.818,8.876
189,1436801605897,-45.025,-22.12,8.876
190,1436801605918,-45.025,-22.12,9.309
191,1436801605936,-45.025,-22.12,9.672
192,1436801605959,-45.025,-22.12,10.267
193,1436801605980,-44.714,-22.12,10.925
194,1436801605999,-44.714,-22.12,10.528
195,1436801606015,-44.714,-22.12,10.528
196,1436801606040,-44.714,-22.12,9.825
197,1436801606059,-44.714,-21.795,9.825
198,1436801606078,-44.714,-21.795,9.3
199,1436801606100,-44.714,-21.795,9.675
200,1436801606120,-45.028,-21.795,9.675
201,1436801606140,-45.028,-21.473,9.336
202,1436801606158,-45.028,-21.473,11.302
203,1436801606176,-45.028,-21.473,12.069
204,1436801606200,-45.028,-21.473,10.391
205,1436801606220,-45.028,-21.473,9.544
206,1436801606239,-45.028,-21.473,9.544
207,1436801606256,-45.028,-21.473,9.544
208,1436801606281,-45.028,-21.473,9.544
209,1436801606302,-45.028,-21.473,9.544
