id,attr_time,attr_light
1,1437067245645,90.0
2,1437067245664,90.0
3,1437067245684,90.0
4,1437067245704,90.0
5,1437067245725,90.0
6,1437067245744,90.0
7,1437067245762,88.0
8,1437067245785,86.0
9,1437067245805,86.0
10,1437067245824,86.0
11,1437067245844,86.0
12,1437067245864,88.0
13,1437067245885,88.0
14,1437067245903,89.0
15,1437067245924,89.0
16,1437067245945,90.0
17,1437067245964,90.0
18,1437067245984,90.0
19,1437067246004,89.0
20,1437067246025,89.0
21,1437067246046,89.0
22,1437067246076,89.0
23,1437067246147,89.0
24,1437067246148,89.0
25,1437067246149,89.0
26,1437067246150,89.0
27,1437067246164,89.0
28,1437067246189,89.0
29,1437067246204,89.0
30,1437067246225,89.0
31,1437067246245,89.0
32,1437067246268,89.0
33,1437067246292,89.0
34,1437067246310,90.0
35,1437067246348,90.0
36,1437067246349,90.0
37,1437067246365,90.0
38,1437067246386,90.0
39,1437067246405,90.0
40,1437067246428,90.0
41,1437067246446,90.0
42,1437067246464,90.0
43,1437067246484,89.0
44,1437067246504,89.0
45,1437067246525,89.0
46,1437067246545,89.0
47,1437067246569,88.0
48,1437067246585,88.0
49,1437067246605,88.0
50,1437067246625,88.0
51,1437067246645,88.0
52,1437067246664,88.0
53,1437067246686,88.0
54,1437067246704,88.0
55,1437067246728,88.0
56,1437067246751,88.0
57,1437067246770,88.0
58,1437067246785,87.0
59,1437067246808,87.0
60,1437067246833,87.0
61,1437067246891,86.0
62,1437067246892,86.0
63,1437067246893,86.0
64,1437067246914,86.0
65,1437067246926,87.0
66,1437067246950,87.0
67,1437067246966,87.0
68,1437067246985,87.0
69,1437067247008,87.0
70,1437067247028,87.0
71,1437067247047,87.0
72,1437067247066,87.0
73,1437067247087,87.0
74,1437067247105,86.0
75,1437067247126,86.0
76,1437067247148,86.0
77,1437067247167,86.0
78,1437067247187,86.0
79,1437067247207,86.0
80,1437067247226,86.0
81,1437067247247,86.0
82,1437067247270,87.0
83,1437067247287,88.0
84,1437067247307,88.0
85,1437067247335,88.0
86,1437067247348,88.0
87,1437067247393,89.0
88,1437067247394,89.0
89,1437067247406,89.0
90,1437067247425,89.0
91,1437067247446,89.0
92,1437067247465,89.0
93,1437067247485,89.0
94,1437067247506,90.0
95,1437067247909,90.0
96,1437067247910,90.0
97,1437067247911,90.0
98,1437067247912,90.0
99,1437067247913,90.0
100,1437067247914,91.0
101,1437067247915,91.0
102,1437067247916,91.0
103,1437067247917,91.0
104,1437067247918,91.0
105,1437067247919,91.0
106,1437067247920,91.0
107,1437067247921,91.0
108,1437067247922,91.0
109,1437067247923,92.0
110,1437067247924,92.0
111,1437067247925,92.0
112,1437067247926,92.0
113,1437067247927,92.0
114,1437067247928,92.0
115,1437067247929,92.0
116,1437067247961,93.0
117,1437067247968,93.0
118,1437067247986,93.0
119,1437067248006,93.0
120,1437067248026,93.0
121,1437067248044,93.0
122,1437067248064,92.0
123,1437067248084,92.0
124,1437067248106,92.0
125,1437067248125,93.0
126,1437067248149,93.0
127,1437067248166,94.0
128,1437067248185,94.0
129,1437067248205,94.0
130,1437067248227,94.0
131,1437067248249,93.0
132,1437067248269,93.0
133,1437067248289,92.0
134,1437067248309,92.0
135,1437067248327,92.0
136,1437067248345,92.0
137,1437067248375,92.0
138,1437067248385,92.0
139,1437067248405,92.0
140,1437067248425,93.0
141,1437067248447,93.0
142,1437067248467,93.0
143,1437067248486,93.0
144,1437067248510,93.0
145,1437067248530,93.0
146,1437067248547,93.0
147,1437067248567,94.0
148,1437067248586,94.0
149,1437067248609,94.0
150,1437067248625,94.0
151,1437067248650,94.0
152,1437067248669,94.0
153,1437067248689,92.0
154,1437067248706,92.0
155,1437067248728,92.0
156,1437067248749,92.0
157,1437067248769,93.0
158,1437067248791,94.0
159,1437067248807,94.0
160,1437067248826,95.0
161,1437067248847,95.0
162,1437067248866,96.0
163,1437067248889,96.0
164,1437067248909,96.0
165,1437067248929,96.0
166,1437067248948,96.0
167,1437067248966,94.0
168,1437067248996,94.0
169,1437067249012,92.0
170,1437067249031,92.0
171,1437067249047,91.0
172,1437067249066,91.0
173,1437067249089,93.0
174,1437067249106,93.0
175,1437067249130,97.0
176,1437067249152,97.0
177,1437067249169,102.0
178,1437067249189,104.0
179,1437067249207,104.0
180,1437067249227,104.0
181,1437067249247,104.0
