id,attr_time,attr_light
1,1437067245626,69.0
2,1437067245646,69.0
3,1437067245666,69.0
4,1437067245689,69.0
5,1437067245705,69.0
6,1437067245726,69.0
7,1437067245745,69.0
8,1437067245770,69.0
9,1437067245792,69.0
10,1437067245811,69.0
11,1437067245829,68.0
12,1437067245845,68.0
13,1437067245866,68.0
14,1437067245886,68.0
15,1437067245907,68.0
16,1437067245972,67.0
17,1437067245973,67.0
18,1437067245974,67.0
19,1437067246003,67.0
20,1437067246006,67.0
21,1437067246026,67.0
22,1437067246048,66.0
23,1437067246066,66.0
24,1437067246086,66.0
25,1437067246107,66.0
26,1437067246126,66.0
27,1437067246146,66.0
28,1437067246167,65.0
29,1437067246210,65.0
30,1437067246211,65.0
31,1437067246228,64.0
32,1437067246254,64.0
33,1437067246267,64.0
34,1437067246289,64.0
35,1437067246307,64.0
36,1437067246327,64.0
37,1437067246346,65.0
38,1437067246367,65.0
39,1437067246388,65.0
40,1437067246407,65.0
41,1437067246428,65.0
42,1437067246449,66.0
43,1437067246467,66.0
44,1437067246488,66.0
45,1437067246507,66.0
46,1437067246528,66.0
47,1437067246551,66.0
48,1437067246709,66.0
49,1437067246710,66.0
50,1437067246711,66.0
51,1437067246750,66.0
52,1437067246751,67.0
53,1437067246752,67.0
54,1437067246753,67.0
55,1437067246754,67.0
56,1437067246755,68.0
57,1437067246756,69.0
58,1437067246783,69.0
59,1437067246786,69.0
60,1437067246807,69.0
61,1437067246827,70.0
62,1437067246847,70.0
63,1437067246867,70.0
64,1437067246887,70.0
65,1437067246944,70.0
66,1437067246945,70.0
67,1437067247025,71.0
68,1437067247031,71.0
69,1437067247032,71.0
70,1437067247033,72.0
71,1437067247034,72.0
72,1437067247057,73.0
73,1437067247067,73.0
74,1437067247087,75.0
75,1437067247107,75.0
76,1437067247127,76.0
77,1437067247171,76.0
78,1437067247172,77.0
79,1437067247196,77.0
80,1437067247206,78.0
81,1437067247226,78.0
82,1437067247246,78.0
83,1437067247266,78.0
84,1437067247286,77.0
85,1437067247306,78.0
86,1437067247326,78.0
87,1437067247346,78.0
88,1437067247366,78.0
89,1437067247386,79.0
90,1437067247406,79.0
91,1437067247426,80.0
92,1437067247446,80.0
93,1437067247466,80.0
94,1437067247486,80.0
95,1437067247506,80.0
96,1437067247526,80.0
97,1437067247546,81.0
98,1437067247568,81.0
99,1437067247588,81.0
100,1437067247607,83.0
101,1437067247627,83.0
102,1437067247647,84.0
103,1437067247668,84.0
104,1437067247707,87.0
105,1437067247708,87.0
106,1437067247727,88.0
107,1437067247747,88.0
108,1437067247767,91.0
109,1437067247788,91.0
110,1437067247807,94.0
111,1437067247830,94.0
112,1437067247847,99.0
113,1437067247868,104.0
114,1437067247887,104.0
115,1437067247908,107.0
116,1437067247928,107.0
117,1437067247951,115.0
118,1437067247968,115.0
119,1437067247987,124.0
120,1437067248008,124.0
121,1437067248029,132.0
122,1437067248050,132.0
123,1437067248068,138.0
124,1437067248088,138.0
125,1437067248109,143.0
126,1437067248131,143.0
127,1437067248148,150.0
128,1437067248193,162.0
129,1437067248194,162.0
130,1437067248208,192.0
131,1437067248228,192.0
132,1437067248249,245.0
133,1437067248268,245.0
134,1437067248288,319.0
135,1437067248308,319.0
136,1437067248328,377.0
137,1437067248349,377.0
138,1437067248389,395.0
139,1437067248390,395.0
140,1437067248411,385.0
141,1437067248430,385.0
142,1437067248450,367.0
143,1437067248470,352.0
144,1437067248491,352.0
145,1437067248508,325.0
146,1437067248528,325.0
147,1437067248548,290.0
148,1437067248569,290.0
149,1437067248594,240.0
150,1437067248609,240.0
151,1437067248632,197.0
152,1437067248648,197.0
153,1437067248670,172.0
154,1437067248689,172.0
155,1437067248710,160.0
156,1437067248731,147.0
157,1437067248803,147.0
158,1437067248804,137.0
159,1437067248805,137.0
160,1437067248814,132.0
161,1437067248828,132.0
162,1437067248852,126.0
163,1437067248869,126.0
164,1437067248889,120.0
165,1437067248909,120.0
166,1437067248929,114.0
167,1437067248954,114.0
168,1437067248969,113.0
169,1437067249011,113.0
170,1437067249012,112.0
171,1437067249034,112.0
172,1437067249052,112.0
173,1437067249072,113.0
174,1437067249091,113.0
175,1437067249112,116.0
176,1437067249129,116.0
177,1437067249149,118.0
178,1437067249169,118.0
179,1437067249191,120.0
180,1437067249216,120.0
181,1437067249231,120.0
182,1437067249252,120.0
183,1437067249269,120.0
184,1437067249289,120.0
185,1437067249309,120.0
186,1437067249331,120.0
187,1437067249352,120.0
188,1437067249426,122.0
189,1437067249427,122.0
190,1437067249428,124.0
191,1437067249433,124.0
192,1437067249449,128.0
193,1437067249470,128.0
194,1437067249489,129.0
195,1437067249511,129.0
196,1437067249544,130.0
197,1437067249549,130.0
198,1437067249570,132.0
199,1437067249643,134.0
200,1437067249644,134.0
201,1437067249645,136.0
202,1437067249649,136.0
203,1437067249687,140.0
204,1437067249690,140.0
205,1437067249715,144.0
206,1437067249729,144.0
207,1437067249749,145.0
208,1437067249769,145.0
209,1437067249789,141.0
210,1437067249809,141.0
211,1437067249829,133.0
212,1437067249851,133.0
213,1437067249869,132.0
214,1437067249889,131.0
215,1437067249909,131.0
216,1437067249931,132.0
217,1437067249949,132.0
218,1437067249969,135.0
219,1437067249989,135.0
220,1437067250009,126.0
221,1437067250029,126.0
222,1437067250049,119.0
223,1437067250069,119.0
224,1437067250089,117.0
225,1437067250109,117.0
226,1437067250129,117.0
227,1437067250149,117.0
228,1437067250169,117.0
229,1437067250189,117.0
230,1437067250209,117.0
231,1437067250229,119.0
232,1437067250249,119.0
233,1437067250269,121.0
234,1437067250290,121.0
235,1437067250310,124.0
236,1437067250329,124.0
237,1437067250350,125.0
238,1437067250370,125.0
239,1437067250393,127.0
240,1437067250434,127.0
241,1437067250435,129.0
242,1437067250476,131.0
243,1437067250477,131.0
244,1437067250500,132.0
245,1437067250509,132.0
246,1437067250529,133.0
247,1437067250549,133.0
248,1437067250569,133.0
249,1437067250589,133.0
250,1437067250609,135.0
251,1437067250629,135.0
252,1437067250649,139.0
253,1437067250669,139.0
254,1437067250689,141.0
255,1437067250709,142.0
256,1437067250729,142.0
257,1437067250749,142.0
258,1437067250769,142.0
259,1437067250791,140.0
260,1437067250814,140.0
261,1437067250831,139.0
262,1437067250851,139.0
263,1437067250874,138.0
264,1437067250891,138.0
265,1437067250924,137.0
266,1437067250943,137.0
267,1437067250950,136.0
268,1437067250971,136.0
269,1437067250991,135.0
270,1437067251011,135.0
271,1437067251031,135.0
272,1437067251050,133.0
273,1437067251073,133.0
274,1437067251090,131.0
275,1437067251115,131.0
276,1437067251132,129.0
277,1437067251154,129.0
278,1437067251172,129.0
279,1437067251192,129.0
280,1437067251213,131.0
281,1437067251231,131.0
282,1437067251252,132.0
283,1437067251273,132.0
284,1437067251296,132.0
285,1437067251317,133.0
286,1437067251337,133.0
287,1437067251354,133.0
288,1437067251371,133.0
289,1437067251392,134.0
290,1437067251417,134.0
291,1437067251433,136.0
292,1437067251546,136.0
293,1437067251547,137.0
294,1437067251548,137.0
295,1437067251549,138.0
296,1437067251551,138.0
297,1437067251552,140.0
298,1437067251571,140.0
299,1437067251595,140.0
300,1437067251611,141.0
301,1437067251634,141.0
302,1437067251651,145.0
303,1437067251671,145.0
304,1437067251691,147.0
305,1437067251720,147.0
306,1437067251757,148.0
307,1437067251758,148.0
308,1437067251776,147.0
309,1437067251795,147.0
310,1437067251813,145.0
311,1437067251833,145.0
312,1437067251854,143.0
313,1437067251872,143.0
314,1437067251891,143.0
315,1437067251913,146.0
316,1437067251934,146.0
317,1437067251951,150.0
318,1437067251974,150.0
319,1437067251992,141.0
320,1437067252012,141.0
321,1437067252033,137.0
322,1437067252054,137.0
323,1437067252074,152.0
324,1437067252092,152.0
325,1437067252163,231.0
326,1437067252164,231.0
327,1437067252165,138.0
328,1437067252172,152.0
329,1437067252192,152.0
330,1437067252213,129.0
331,1437067252233,129.0
332,1437067252252,127.0
333,1437067252272,127.0
334,1437067252292,125.0
335,1437067252312,125.0
336,1437067252332,122.0
337,1437067252378,122.0
338,1437067252379,120.0
339,1437067252397,120.0
340,1437067252425,127.0
341,1437067252441,129.0
342,1437067252455,129.0
343,1437067252473,114.0
344,1437067252494,114.0
345,1437067252514,113.0
346,1437067252533,113.0
347,1437067252554,112.0
348,1437067252580,112.0
349,1437067252604,112.0
350,1437067252611,112.0
351,1437067252632,113.0
352,1437067252666,113.0
353,1437067252672,115.0
354,1437067252691,115.0
355,1437067252712,115.0
356,1437067252733,113.0
357,1437067252751,113.0
358,1437067252771,110.0
359,1437067252793,110.0
