id,attr_time,attr_light
1,1437067245729,243.0
2,1437067245730,243.0
3,1437067245731,243.0
4,1437067245732,243.0
5,1437067245733,243.0
6,1437067245751,243.0
7,1437067245762,243.0
8,1437067245778,243.0
9,1437067245798,243.0
10,1437067245818,243.0
11,1437067246016,243.0
12,1437067246017,243.0
13,1437067246018,244.0
14,1437067246019,248.0
15,1437067246020,248.0
16,1437067246021,252.0
17,1437067246022,252.0
18,1437067246023,253.0
19,1437067246024,253.0
20,1437067246025,252.0
21,1437067246037,252.0
22,1437067246063,252.0
23,1437067246078,252.0
24,1437067246097,251.0
25,1437067246117,251.0
26,1437067246137,251.0
27,1437067246157,252.0
28,1437067246177,252.0
29,1437067246197,251.0
30,1437067246217,251.0
31,1437067246237,251.0
32,1437067246257,251.0
33,1437067246277,251.0
34,1437067246298,251.0
35,1437067246319,252.0
36,1437067246339,252.0
37,1437067246359,252.0
38,1437067246380,251.0
39,1437067246431,251.0
40,1437067246432,251.0
41,1437067246437,251.0
42,1437067246457,251.0
43,1437067246477,251.0
44,1437067246498,251.0
45,1437067246520,251.0
46,1437067246538,251.0
47,1437067246559,251.0
48,1437067246582,252.0
49,1437067246599,251.0
50,1437067246619,251.0
51,1437067246638,250.0
52,1437067246661,250.0
53,1437067246682,251.0
54,1437067246699,251.0
55,1437067246719,251.0
56,1437067246742,251.0
57,1437067246760,252.0
58,1437067246779,252.0
59,1437067246799,252.0
60,1437067246819,251.0
61,1437067246838,251.0
62,1437067246858,251.0
63,1437067246878,251.0
64,1437067246901,251.0
65,1437067246919,251.0
66,1437067246944,251.0
67,1437067246961,251.0
68,1437067246978,251.0
69,1437067246998,251.0
70,1437067247019,250.0
71,1437067247040,250.0
72,1437067247065,250.0
73,1437067247127,250.0
74,1437067247128,250.0
75,1437067247129,250.0
76,1437067247139,250.0
77,1437067247162,251.0
78,1437067247179,251.0
79,1437067247199,250.0
80,1437067247219,250.0
81,1437067247241,251.0
82,1437067247260,251.0
83,1437067247279,251.0
84,1437067247306,251.0
85,1437067247321,251.0
86,1437067247345,251.0
87,1437067247363,251.0
88,1437067247381,251.0
89,1437067247402,251.0
90,1437067247421,251.0
91,1437067247442,251.0
92,1437067247463,250.0
93,1437067247481,250.0
94,1437067247501,250.0
95,1437067247521,250.0
96,1437067247542,250.0
97,1437067247559,250.0
98,1437067247580,250.0
99,1437067247599,250.0
100,1437067247626,250.0
101,1437067247642,251.0
102,1437067247665,251.0
103,1437067247683,251.0
104,1437067247700,251.0
105,1437067247720,251.0
106,1437067247739,251.0
107,1437067247763,251.0
108,1437067247784,252.0
109,1437067247860,252.0
110,1437067247861,252.0
111,1437067247865,252.0
112,1437067247866,252.0
113,1437067247882,252.0
114,1437067247900,252.0
115,1437067247940,252.0
116,1437067247941,252.0
117,1437067247960,252.0
118,1437067247980,252.0
119,1437067248014,252.0
120,1437067248020,252.0
121,1437067248041,252.0
122,1437067248061,252.0
123,1437067248083,252.0
