id,attr_time,attr_light
1,1437067245627,79.0
2,1437067245646,79.0
3,1437067245665,79.0
4,1437067245685,79.0
5,1437067245705,79.0
6,1437067245728,79.0
7,1437067245746,79.0
8,1437067245767,79.0
9,1437067245785,79.0
10,1437067245806,79.0
11,1437067245826,79.0
12,1437067245845,79.0
13,1437067245867,80.0
14,1437067245884,80.0
15,1437067245905,80.0
16,1437067245925,80.0
17,1437067245947,80.0
18,1437067245969,80.0
19,1437067245987,80.0
20,1437067246006,80.0
21,1437067246025,80.0
22,1437067246046,80.0
23,1437067246064,80.0
24,1437067246084,80.0
25,1437067246105,80.0
26,1437067246132,80.0
27,1437067246144,80.0
28,1437067246165,80.0
29,1437067246185,80.0
30,1437067246205,80.0
31,1437067246227,80.0
32,1437067246245,80.0
33,1437067246266,80.0
34,1437067246288,80.0
35,1437067246314,80.0
36,1437067246342,79.0
37,1437067246347,79.0
38,1437067246365,80.0
39,1437067246385,80.0
40,1437067246406,79.0
41,1437067246426,79.0
42,1437067246447,79.0
43,1437067246466,79.0
44,1437067246486,77.0
45,1437067246505,77.0
46,1437067246525,75.0
47,1437067246545,75.0
48,1437067246566,72.0
49,1437067246586,72.0
50,1437067246606,69.0
51,1437067246626,69.0
52,1437067246648,67.0
53,1437067246669,67.0
54,1437067246685,65.0
55,1437067246706,65.0
56,1437067246726,64.0
57,1437067246745,64.0
58,1437067246767,65.0
59,1437067246786,65.0
60,1437067246809,65.0
61,1437067246873,65.0
62,1437067246874,65.0
63,1437067246875,65.0
64,1437067246885,65.0
65,1437067246948,65.0
66,1437067246949,66.0
67,1437067246950,66.0
68,1437067246973,67.0
69,1437067246986,67.0
70,1437067247008,68.0
71,1437067247026,68.0
72,1437067247049,68.0
73,1437067247067,68.0
74,1437067247089,68.0
75,1437067247106,67.0
76,1437067247127,67.0
77,1437067247149,68.0
78,1437067247169,68.0
79,1437067247186,69.0
80,1437067247207,69.0
81,1437067247229,70.0
82,1437067247251,70.0
83,1437067247269,70.0
84,1437067247293,70.0
85,1437067247307,72.0
86,1437067247332,72.0
87,1437067247347,74.0
88,1437067247366,74.0
89,1437067247386,75.0
90,1437067247409,75.0
91,1437067247426,75.0
92,1437067247455,75.0
93,1437067247475,73.0
94,1437067247490,73.0
95,1437067247522,71.0
96,1437067247572,71.0
97,1437067247583,71.0
98,1437067247586,71.0
99,1437067247587,71.0
100,1437067247606,71.0
101,1437067247626,71.0
102,1437067247646,71.0
103,1437067247674,71.0
104,1437067247687,71.0
105,1437067247707,70.0
106,1437067247728,70.0
107,1437067247747,69.0
108,1437067247769,69.0
109,1437067247788,66.0
110,1437067247806,66.0
111,1437067247827,65.0
112,1437067247849,65.0
113,1437067247869,66.0
114,1437067247915,66.0
115,1437067247916,70.0
116,1437067247928,70.0
117,1437067247948,70.0
118,1437067247968,69.0
119,1437067247990,69.0
120,1437067248008,68.0
121,1437067248030,68.0
122,1437067248051,69.0
123,1437067248069,69.0
124,1437067248098,70.0
125,1437067248113,70.0
126,1437067248130,70.0
127,1437067248150,70.0
128,1437067248170,70.0
129,1437067248190,70.0
130,1437067248209,69.0
131,1437067248237,69.0
132,1437067248302,70.0
133,1437067248303,70.0
134,1437067248304,70.0
135,1437067248309,70.0
136,1437067248329,71.0
137,1437067248347,71.0
138,1437067248367,71.0
139,1437067248387,71.0
140,1437067248407,71.0
141,1437067248427,71.0
142,1437067248458,71.0
143,1437067248467,71.0
144,1437067248489,71.0
145,1437067248507,71.0
146,1437067248528,71.0
147,1437067248547,71.0
148,1437067248569,71.0
149,1437067248595,71.0
150,1437067248611,71.0
151,1437067248627,71.0
152,1437067248647,71.0
153,1437067248667,71.0
154,1437067248692,71.0
155,1437067248706,71.0
156,1437067248726,72.0
157,1437067248751,72.0
158,1437067248769,72.0
159,1437067248788,72.0
160,1437067248807,72.0
161,1437067248826,72.0
162,1437067248846,72.0
163,1437067248871,72.0
164,1437067248892,72.0
165,1437067248912,73.0
166,1437067248928,73.0
167,1437067248947,73.0
168,1437067248977,73.0
169,1437067248987,73.0
170,1437067249012,73.0
171,1437067249027,73.0
172,1437067249047,73.0
173,1437067249067,73.0
174,1437067249090,73.0
175,1437067249107,73.0
176,1437067249130,73.0
177,1437067249151,73.0
178,1437067249169,73.0
179,1437067249187,73.0
180,1437067249211,73.0
181,1437067249233,74.0
182,1437067249251,74.0
183,1437067249270,74.0
184,1437067249292,74.0
185,1437067249311,74.0
186,1437067249332,74.0
187,1437067249348,74.0
188,1437067249370,74.0
189,1437067249391,74.0
190,1437067249411,74.0
191,1437067249431,74.0
192,1437067249450,74.0
193,1437067249471,74.0
194,1437067249492,74.0
195,1437067249511,75.0
196,1437067249531,75.0
197,1437067249552,75.0
198,1437067249572,75.0
199,1437067249592,75.0
200,1437067249612,75.0
201,1437067249681,74.0
202,1437067249682,74.0
203,1437067249683,74.0
204,1437067249692,74.0
205,1437067249709,74.0
206,1437067249732,73.0
207,1437067249748,73.0
208,1437067249769,73.0
209,1437067249788,73.0
210,1437067249811,73.0
211,1437067249830,73.0
212,1437067249850,72.0
213,1437067249868,72.0
214,1437067249891,72.0
215,1437067249911,72.0
216,1437067249931,71.0
217,1437067249949,71.0
218,1437067249971,70.0
219,1437067249991,70.0
220,1437067250012,68.0
221,1437067250032,68.0
222,1437067250053,68.0
223,1437067250069,68.0
224,1437067250092,68.0
225,1437067250111,68.0
226,1437067250129,69.0
227,1437067250148,69.0
228,1437067250170,68.0
229,1437067250190,68.0
230,1437067250212,68.0
231,1437067250231,68.0
232,1437067250250,67.0
233,1437067250269,67.0
234,1437067250289,67.0
235,1437067250311,67.0
236,1437067250330,67.0
237,1437067250420,67.0
238,1437067250421,66.0
239,1437067250422,66.0
240,1437067250423,65.0
241,1437067250447,65.0
242,1437067250449,63.0
243,1437067250475,63.0
244,1437067250489,61.0
245,1437067250512,61.0
246,1437067250529,60.0
247,1437067250549,59.0
248,1437067250570,59.0
249,1437067250589,57.0
250,1437067250609,57.0
251,1437067250629,56.0
252,1437067250649,56.0
253,1437067250669,56.0
254,1437067250689,56.0
255,1437067250709,55.0
256,1437067250729,55.0
257,1437067250748,55.0
258,1437067250772,55.0
259,1437067250793,55.0
260,1437067250809,55.0
261,1437067250832,56.0
262,1437067250853,56.0
263,1437067250872,55.0
264,1437067250892,55.0
265,1437067250913,53.0
266,1437067250932,53.0
267,1437067250952,52.0
268,1437067250971,52.0
269,1437067250992,52.0
270,1437067251013,52.0
271,1437067251032,49.0
272,1437067251050,49.0
273,1437067251069,41.0
274,1437067251090,41.0
275,1437067251114,32.0
276,1437067251129,32.0
277,1437067251149,27.0
278,1437067251169,27.0
279,1437067251189,28.0
280,1437067251212,28.0
281,1437067251229,23.0
282,1437067251250,23.0
283,1437067251271,22.0
284,1437067251292,22.0
285,1437067251313,22.0
286,1437067251334,22.0
287,1437067251352,21.0
288,1437067251373,21.0
289,1437067251393,22.0
290,1437067251413,22.0
291,1437067251433,23.0
292,1437067251453,23.0
293,1437067251473,23.0
294,1437067251493,23.0
295,1437067251513,23.0
296,1437067251532,23.0
297,1437067251552,23.0
298,1437067251571,23.0
299,1437067251593,23.0
300,1437067251614,23.0
301,1437067251634,23.0
302,1437067251653,23.0
303,1437067251674,23.0
304,1437067251692,22.0
305,1437067251712,22.0
306,1437067251732,22.0
307,1437067251751,22.0
308,1437067251808,23.0
309,1437067251809,23.0
310,1437067251813,22.0
311,1437067251831,22.0
312,1437067251853,13.0
313,1437067251873,13.0
314,1437067251890,13.0
315,1437067251915,13.0
316,1437067251932,9.0
317,1437067251951,9.0
318,1437067251972,13.0
319,1437067251991,13.0
320,1437067252014,17.0
321,1437067252034,17.0
322,1437067252054,20.0
323,1437067252074,20.0
324,1437067252093,23.0
325,1437067252114,23.0
326,1437067252134,11.0
327,1437067252154,11.0
328,1437067252174,6.0
329,1437067252190,6.0
330,1437067252212,5.0
331,1437067252234,5.0
332,1437067252254,5.0
333,1437067252271,5.0
334,1437067252291,5.0
335,1437067252313,5.0
336,1437067252336,5.0
337,1437067252355,5.0
338,1437067252377,5.0
339,1437067252394,4.0
340,1437067252413,4.0
341,1437067252431,4.0
342,1437067252452,4.0
343,1437067252473,11.0
344,1437067252491,11.0
345,1437067252545,30.0
346,1437067252546,30.0
347,1437067252562,43.0
348,1437067252572,43.0
349,1437067252599,61.0
350,1437067252615,61.0
351,1437067252631,90.0
352,1437067252651,90.0
353,1437067252672,144.0
354,1437067252691,144.0
355,1437067252715,153.0
356,1437067252731,153.0
357,1437067252755,131.0
358,1437067252775,131.0
359,1437067252794,108.0
360,1437067252815,108.0
361,1437067252834,84.0
362,1437067252854,84.0
363,1437067252874,83.0
364,1437067252894,83.0
365,1437067252915,78.0
366,1437067252934,78.0
367,1437067252952,72.0
368,1437067252975,72.0
369,1437067252995,54.0
370,1437067253013,54.0
371,1437067253033,37.0
372,1437067253055,37.0
373,1437067253075,29.0
374,1437067253095,29.0
375,1437067253114,22.0
376,1437067253135,22.0
377,1437067253154,23.0
378,1437067253174,305.0
379,1437067253194,9.0
380,1437067253212,7.0
381,1437067253235,7.0
382,1437067253300,8.0
383,1437067253301,8.0
384,1437067253302,18.0
385,1437067253313,18.0
386,1437067253337,15.0
387,1437067253372,15.0
388,1437067253373,8.0
389,1437067253395,8.0
390,1437067253417,2.0
391,1437067253433,2.0
392,1437067253454,1.0
393,1437067253475,1.0
394,1437067253492,7.0
395,1437067253515,7.0
396,1437067253535,17.0
397,1437067253556,17.0
398,1437067253575,33.0
399,1437067253595,33.0
400,1437067253615,51.0
401,1437067253636,51.0
402,1437067253656,89.0
403,1437067253676,89.0
404,1437067253696,140.0
405,1437067253714,140.0
406,1437067253735,175.0
407,1437067253754,175.0
408,1437067253775,185.0
409,1437067253795,185.0
410,1437067253815,176.0
411,1437067253834,176.0
412,1437067253856,145.0
413,1437067253872,145.0
414,1437067253893,108.0
415,1437067253914,108.0
416,1437067254047,97.0
417,1437067254048,97.0
418,1437067254049,94.0
419,1437067254050,94.0
420,1437067254051,88.0
421,1437067254064,88.0
422,1437067254065,100.0
423,1437067254095,90.0
424,1437067254096,90.0
425,1437067254112,85.0
426,1437067254137,85.0
427,1437067254152,79.0
428,1437067254173,79.0
429,1437067254192,69.0
430,1437067254213,69.0
431,1437067254239,51.0
432,1437067254261,51.0
433,1437067254282,52.0
434,1437067254292,52.0
435,1437067254323,51.0
436,1437067254332,51.0
437,1437067254352,37.0
438,1437067254372,37.0
439,1437067254392,30.0
440,1437067254412,30.0
441,1437067254432,32.0
442,1437067254453,32.0
443,1437067254473,31.0
444,1437067254493,31.0
445,1437067254514,38.0
446,1437067254534,38.0
447,1437067254554,53.0
448,1437067254573,53.0
449,1437067254595,73.0
450,1437067254613,73.0
451,1437067254633,94.0
452,1437067254653,94.0
453,1437067254674,113.0
454,1437067254693,113.0
455,1437067254718,149.0
456,1437067254732,149.0
457,1437067254753,161.0
458,1437067254773,161.0
459,1437067254793,152.0
460,1437067254813,152.0
461,1437067254834,127.0
462,1437067254853,127.0
463,1437067254876,85.0
464,1437067254893,85.0
465,1437067254915,89.0
466,1437067254935,89.0
467,1437067254953,89.0
468,1437067254975,65.0
469,1437067254996,65.0
470,1437067255016,70.0
471,1437067255035,70.0
472,1437067255053,67.0
473,1437067255075,67.0
474,1437067255096,55.0
475,1437067255114,55.0
476,1437067255133,31.0
477,1437067255154,31.0
478,1437067255175,14.0
479,1437067255195,14.0
480,1437067255216,10.0
481,1437067255235,10.0
482,1437067255255,1.0
483,1437067255274,1.0
484,1437067255293,2.0
485,1437067255314,2.0
486,1437067255336,6.0
487,1437067255381,6.0
488,1437067255382,10.0
489,1437067255404,10.0
490,1437067255414,16.0
491,1437067255436,16.0
492,1437067255454,17.0
493,1437067255474,17.0
494,1437067255499,19.0
495,1437067255515,19.0
496,1437067255541,22.0
497,1437067255555,22.0
498,1437067255576,28.0
499,1437067255598,28.0
500,1437067255616,37.0
501,1437067255633,37.0
502,1437067255654,40.0
503,1437067255674,40.0
504,1437067255694,52.0
