id,attr_time,attr_light
1,1436599548965,1414.0
2,1436599548966,1424.0
3,1436599548967,1424.0
4,1436599548973,1419.0
5,1436599548995,1419.0
6,1436599549028,1406.0
7,1436599549034,1406.0
8,1436599549083,1401.0
9,1436599549084,1401.0
10,1436599549100,1402.0
11,1436599549114,1402.0
12,1436599549136,1407.0
13,1436599549157,1421.0
14,1436599549174,1421.0
15,1436599549197,1422.0
16,1436599549217,1422.0
17,1436599549237,1414.0
18,1436599549257,1414.0
19,1436599549277,1414.0
20,1436599549297,1414.0
21,1436599549317,1410.0
22,1436599549337,1410.0
23,1436599549356,1416.0
24,1436599549379,1420.0
25,1436599549397,1420.0
26,1436599549417,1422.0
27,1436599549437,1422.0
28,1436599549457,1422.0
29,1436599549476,1422.0
30,1436599549497,1426.0
31,1436599549517,1426.0
32,1436599549537,1430.0
33,1436599549557,1430.0
34,1436599549577,1432.0
35,1436599549595,1441.0
36,1436599549626,1441.0
37,1436599549696,1437.0
38,1436599549697,1437.0
39,1436599549698,1422.0
40,1436599549699,1422.0
41,1436599549716,1428.0
42,1436599549736,1428.0
43,1436599549755,1444.0
44,1436599549774,1444.0
45,1436599549798,1462.0
46,1436599549815,1461.0
47,1436599549837,1461.0
48,1436599549857,1454.0
49,1436599549878,1454.0
50,1436599549898,1452.0
51,1436599549918,1452.0
52,1436599549938,1456.0
53,1436599549958,1456.0
54,1436599549978,1462.0
55,1436599549998,1462.0
56,1436599550018,1459.0
57,1436599550038,1453.0
58,1436599550057,1453.0
59,1436599550080,1444.0
60,1436599550097,1444.0
61,1436599550117,1439.0
62,1436599550137,1439.0
63,1436599550157,1431.0
64,1436599550177,1431.0
65,1436599550198,1431.0
66,1436599550219,1431.0
67,1436599550239,1441.0
68,1436599550258,1460.0
69,1436599550276,1460.0
70,1436599550296,1475.0
71,1436599550316,1475.0
72,1436599550336,1478.0
73,1436599550402,1478.0
74,1436599550403,1476.0
75,1436599550404,1476.0
76,1436599550426,1469.0
77,1436599550435,1469.0
78,1436599550458,1468.0
79,1436599550476,1464.0
80,1436599550497,1464.0
81,1436599550519,1463.0
82,1436599550536,1463.0
83,1436599550557,1455.0
84,1436599550581,1455.0
85,1436599550596,1454.0
86,1436599550616,1454.0
87,1436599550638,1456.0
88,1436599550658,1456.0
89,1436599550678,1465.0
90,1436599550699,1473.0
91,1436599550716,1473.0
92,1436599550738,1474.0
93,1436599550758,1474.0
94,1436599550778,1469.0
95,1436599550798,1469.0
96,1436599550816,1456.0
97,1436599550839,1456.0
98,1436599550859,1439.0
99,1436599550879,1439.0
100,1436599550898,1453.0
101,1436599550917,1472.0
102,1436599550938,1472.0
103,1436599550958,1469.0
104,1436599550979,1469.0
105,1436599550999,1465.0
106,1436599551019,1465.0
107,1436599551037,1463.0
108,1436599551057,1463.0
109,1436599551076,1445.0
110,1436599551096,1445.0
111,1436599551150,1423.0
112,1436599551165,1426.0
113,1436599551166,1426.0
114,1436599551176,1433.0
115,1436599551196,1433.0
116,1436599551216,1441.0
117,1436599551236,1441.0
118,1436599551259,1439.0
119,1436599551276,1439.0
120,1436599551296,1440.0
121,1436599551317,1440.0
122,1436599551337,1443.0
123,1436599551359,1437.0
124,1436599551381,1437.0
125,1436599551400,1434.0
