id,attr_time,attr_light
1,1436599548972,30.0
2,1436599548992,30.0
3,1436599549013,30.0
4,1436599549030,30.0
5,1436599549053,30.0
6,1436599549070,30.0
7,1436599549090,31.0
8,1436599549110,32.0
9,1436599549130,32.0
10,1436599549152,32.0
11,1436599549176,32.0
12,1436599549192,30.0
13,1436599549210,30.0
14,1436599549232,30.0
15,1436599549251,30.0
16,1436599549271,31.0
17,1436599549363,31.0
18,1436599549364,30.0
19,1436599549365,30.0
20,1436599549366,30.0
21,1436599549372,30.0
22,1436599549391,30.0
23,1436599549412,30.0
24,1436599549430,30.0
25,1436599549450,30.0
26,1436599549484,30.0
27,1436599549490,30.0
28,1436599549516,30.0
29,1436599549531,30.0
30,1436599549551,31.0
31,1436599549573,31.0
32,1436599549593,31.0
33,1436599549613,31.0
34,1436599549633,31.0
35,1436599549651,31.0
36,1436599549672,30.0
37,1436599549693,30.0
38,1436599549713,30.0
39,1436599549733,30.0
40,1436599549754,30.0
41,1436599549773,30.0
42,1436599549796,29.0
43,1436599549812,29.0
44,1436599549836,29.0
45,1436599549850,29.0
46,1436599549871,29.0
47,1436599549891,29.0
48,1436599549911,29.0
49,1436599549937,29.0
50,1436599549951,29.0
51,1436599549972,29.0
52,1436599549991,29.0
53,1436599550085,30.0
54,1436599550086,30.0
55,1436599550088,30.0
56,1436599550090,30.0
57,1436599550091,30.0
58,1436599550110,30.0
59,1436599550131,30.0
60,1436599550150,30.0
61,1436599550176,30.0
62,1436599550191,30.0
63,1436599550211,30.0
64,1436599550233,30.0
65,1436599550252,30.0
66,1436599550271,30.0
67,1436599550291,30.0
68,1436599550312,30.0
69,1436599550332,30.0
70,1436599550354,30.0
71,1436599550371,30.0
72,1436599550392,30.0
73,1436599550414,30.0
74,1436599550434,30.0
75,1436599550454,30.0
76,1436599550473,30.0
77,1436599550492,30.0
78,1436599550514,30.0
79,1436599550533,30.0
80,1436599550553,30.0
81,1436599550571,30.0
82,1436599550592,30.0
83,1436599550614,30.0
84,1436599550634,30.0
85,1436599550654,30.0
86,1436599550672,30.0
87,1436599550692,30.0
88,1436599550712,30.0
89,1436599550834,30.0
90,1436599550835,30.0
91,1436599550836,30.0
92,1436599550837,30.0
93,1436599550838,30.0
94,1436599550847,30.0
95,1436599550854,30.0
96,1436599550885,30.0
97,1436599550891,30.0
98,1436599550924,30.0
99,1436599550931,30.0
100,1436599550952,30.0
101,1436599550974,30.0
102,1436599550991,30.0
103,1436599551012,30.0
104,1436599551032,30.0
105,1436599551052,30.0
106,1436599551074,30.0
107,1436599551092,30.0
108,1436599551112,30.0
109,1436599551134,30.0
110,1436599551155,30.0
111,1436599551172,30.0
112,1436599551193,30.0
113,1436599551212,30.0
114,1436599551232,30.0
115,1436599551252,30.0
116,1436599551272,31.0
117,1436599551291,31.0
118,1436599551312,31.0
119,1436599551338,31.0
120,1436599551352,31.0
121,1436599551375,31.0
122,1436599551394,30.0
123,1436599551412,30.0
124,1436599551432,30.0
125,1436599551454,30.0
126,1436599551476,30.0
127,1436599551544,30.0
128,1436599551545,30.0
129,1436599551546,30.0
130,1436599551576,30.0
131,1436599551577,30.0
132,1436599551593,30.0
133,1436599551618,30.0
134,1436599551632,30.0
135,1436599551652,30.0
136,1436599551672,30.0
137,1436599551694,30.0
138,1436599551718,30.0
139,1436599551733,30.0
140,1436599551752,30.0
141,1436599551776,30.0
