id,attr_time,attr_light
1,1437500851918,5.0
2,1437500851939,5.0
3,1437500851995,4.0
4,1437500852029,4.0
5,1437500852030,4.0
6,1437500852031,4.0
7,1437500852044,4.0
8,1437500852057,4.0
9,1437500852077,4.0
10,1437500852109,4.0
11,1437500852126,5.0
12,1437500852146,5.0
13,1437500852160,4.0
14,1437500852248,4.0
15,1437500852249,4.0
16,1437500852250,4.0
17,1437500852251,4.0
18,1437500852262,4.0
19,1437500852277,4.0
20,1437500852297,4.0
21,1437500852319,4.0
22,1437500852337,5.0
23,1437500852357,5.0
24,1437500852379,5.0
25,1437500852397,5.0
26,1437500852419,5.0
27,1437500852439,5.0
28,1437500852460,4.0
29,1437500852478,4.0
30,1437500852500,5.0
31,1437500852519,5.0
32,1437500852539,5.0
33,1437500852560,5.0
34,1437500852580,5.0
35,1437500852598,5.0
36,1437500852617,5.0
37,1437500852637,4.0
38,1437500852660,4.0
39,1437500852680,5.0
40,1437500852700,5.0
41,1437500852719,4.0
42,1437500852740,4.0
43,1437500852770,4.0
44,1437500852785,4.0
45,1437500852819,4.0
46,1437500852820,4.0
47,1437500852837,4.0
48,1437500852857,4.0
49,1437500852879,5.0
50,1437500852898,5.0
51,1437500852921,5.0
52,1437500852941,4.0
53,1437500852960,4.0
54,1437500852980,4.0
55,1437500852998,4.0
56,1437500853019,4.0
57,1437500853040,4.0
58,1437500853059,4.0
59,1437500853080,4.0
60,1437500853100,4.0
61,1437500853122,4.0
62,1437500853138,5.0
63,1437500853160,5.0
64,1437500853183,4.0
65,1437500853200,4.0
66,1437500853218,5.0
67,1437500853239,5.0
68,1437500853263,5.0
69,1437500853283,4.0
70,1437500853300,4.0
71,1437500853319,4.0
72,1437500853338,4.0
73,1437500853361,3.0
74,1437500853378,3.0
75,1437500853454,2.0
76,1437500853455,2.0
77,1437500853456,0.0
78,1437500853462,0.0
79,1437500853479,0.0
80,1437500853499,0.0
81,1437500853518,0.0
82,1437500853539,0.0
83,1437500853560,0.0
84,1437500853580,0.0
85,1437500853601,0.0
86,1437500853619,0.0
87,1437500853642,0.0
88,1437500853661,0.0
89,1437500853681,0.0
90,1437500853701,0.0
91,1437500853721,0.0
92,1437500853741,0.0
93,1437500853762,0.0
94,1437500853781,0.0
95,1437500853802,0.0
96,1437500853822,0.0
97,1437500853842,0.0
98,1437500853859,0.0
99,1437500853882,0.0
100,1437500853901,0.0
101,1437500853921,0.0
102,1437500853943,0.0
103,1437500853962,0.0
104,1437500853982,0.0
105,1437500854002,0.0
106,1437500854022,0.0
107,1437500854044,0.0
108,1437500854063,0.0
109,1437500854083,0.0
110,1437500854102,0.0
111,1437500854129,0.0
112,1437500854233,0.0
113,1437500854234,0.0
114,1437500854235,0.0
115,1437500854236,0.0
116,1437500854237,0.0
117,1437500854248,0.0
118,1437500854259,0.0
119,1437500854279,0.0
120,1437500854299,0.0
121,1437500854322,0.0
122,1437500854340,0.0
123,1437500854360,0.0
124,1437500854381,0.0
125,1437500854399,0.0
126,1437500854420,0.0
127,1437500854440,0.0
128,1437500854462,0.0
129,1437500854482,0.0
130,1437500854502,0.0
131,1437500854522,0.0
132,1437500854542,0.0
133,1437500854562,0.0
134,1437500854582,0.0
135,1437500854602,0.0
136,1437500854622,0.0
137,1437500854643,0.0
138,1437500854662,0.0
139,1437500854682,0.0
140,1437500854702,0.0
141,1437500854721,0.0
142,1437500854742,0.0
143,1437500854762,0.0
144,1437500854782,0.0
145,1437500854802,0.0
146,1437500854822,0.0
147,1437500854841,0.0
148,1437500854861,0.0
149,1437500854881,0.0
150,1437500854902,0.0
151,1437500854981,0.0
152,1437500854982,0.0
153,1437500854983,0.0
154,1437500854984,0.0
155,1437500855001,0.0
156,1437500855020,0.0
157,1437500855043,0.0
158,1437500855060,0.0
159,1437500855079,0.0
160,1437500855101,0.0
161,1437500855120,0.0
162,1437500855142,0.0
163,1437500855160,0.0
164,1437500855180,0.0
165,1437500855200,0.0
166,1437500855220,0.0
167,1437500855242,0.0
168,1437500855263,0.0
169,1437500855283,0.0
170,1437500855303,0.0
171,1437500855325,0.0
172,1437500855342,0.0
173,1437500855362,0.0
174,1437500855380,0.0
175,1437500855402,0.0
176,1437500855423,0.0
177,1437500855442,0.0
178,1437500855462,0.0
179,1437500855483,0.0
180,1437500855503,0.0
181,1437500855523,0.0
182,1437500855544,0.0
183,1437500855563,0.0
184,1437500855581,0.0
185,1437500855618,0.0
186,1437500855622,0.0
187,1437500855649,0.0
188,1437500855660,0.0
189,1437500855733,0.0
190,1437500855734,0.0
191,1437500855735,0.0
192,1437500855767,0.0
193,1437500855768,0.0
194,1437500855780,0.0
195,1437500855800,0.0
196,1437500855820,0.0
197,1437500855841,0.0
198,1437500855860,0.0
199,1437500855880,0.0
200,1437500855900,0.0
201,1437500855923,0.0
202,1437500855942,0.0
203,1437500855964,0.0
204,1437500855984,0.0
205,1437500856004,0.0
206,1437500856020,0.0
207,1437500856041,0.0
208,1437500856060,0.0
209,1437500856080,0.0
210,1437500856100,0.0
211,1437500856120,0.0
212,1437500856141,0.0
213,1437500856160,0.0
214,1437500856181,0.0
215,1437500856200,0.0
216,1437500856221,0.0
217,1437500856242,0.0
218,1437500856261,0.0
219,1437500856286,0.0
220,1437500856306,0.0
221,1437500856323,0.0
222,1437500856342,0.0
223,1437500856362,0.0
224,1437500856389,0.0
225,1437500856406,0.0
226,1437500856422,0.0
227,1437500856440,0.0
228,1437500856460,0.0
229,1437500856482,0.0
230,1437500856502,0.0
231,1437500856522,0.0
232,1437500856542,0.0
233,1437500856563,0.0
234,1437500856585,0.0
235,1437500856603,0.0
236,1437500856625,0.0
237,1437500856643,0.0
238,1437500856663,0.0
239,1437500856685,0.0
240,1437500856705,0.0
241,1437500856721,0.0
242,1437500856741,0.0
243,1437500856761,0.0
244,1437500856782,0.0
245,1437500856803,0.0
246,1437500856822,0.0
247,1437500856843,0.0
248,1437500856862,0.0
249,1437500856886,0.0
250,1437500856903,0.0
251,1437500856923,0.0
252,1437500856942,0.0
253,1437500856963,0.0
254,1437500856982,0.0
255,1437500857004,0.0
256,1437500857051,0.0
257,1437500857052,0.0
258,1437500857062,0.0
259,1437500857089,0.0
260,1437500857103,0.0
261,1437500857121,0.0
262,1437500857149,0.0
263,1437500857162,0.0
264,1437500857182,0.0
265,1437500857202,0.0
266,1437500857226,0.0
267,1437500857242,0.0
268,1437500857262,0.0
269,1437500857285,0.0
270,1437500857305,0.0
271,1437500857326,0.0
272,1437500857343,0.0
273,1437500857365,0.0
274,1437500857388,0.0
275,1437500857402,0.0
276,1437500857422,0.0
277,1437500857443,0.0
278,1437500857463,0.0
279,1437500857485,0.0
280,1437500857502,0.0
281,1437500857522,0.0
282,1437500857543,0.0
283,1437500857563,0.0
284,1437500857588,0.0
285,1437500857603,0.0
286,1437500857625,0.0
287,1437500857643,0.0
288,1437500857663,0.0
289,1437500857683,0.0
290,1437500857703,0.0
291,1437500857725,0.0
292,1437500857780,0.0
293,1437500857781,0.0
294,1437500857795,0.0
295,1437500857802,0.0
296,1437500857832,0.0
297,1437500857844,0.0
298,1437500857862,0.0
299,1437500857885,0.0
300,1437500857903,0.0
301,1437500857923,0.0
302,1437500857944,0.0
303,1437500857963,0.0
304,1437500857982,0.0
305,1437500858006,0.0
306,1437500858023,0.0
307,1437500858043,0.0
308,1437500858066,0.0
309,1437500858083,0.0
310,1437500858106,0.0
311,1437500858129,0.0
312,1437500858145,0.0
313,1437500858166,0.0
314,1437500858191,0.0
315,1437500858206,0.0
316,1437500858224,0.0
317,1437500858245,0.0
318,1437500858266,0.0
319,1437500858286,0.0
320,1437500858305,0.0
321,1437500858326,0.0
322,1437500858346,0.0
323,1437500858365,0.0
324,1437500858386,0.0
325,1437500858405,0.0
326,1437500858423,0.0
327,1437500858453,0.0
328,1437500858520,0.0
329,1437500858521,0.0
330,1437500858522,0.0
331,1437500858524,0.0
332,1437500858547,0.0
333,1437500858563,0.0
334,1437500858583,0.0
335,1437500858608,0.0
336,1437500858623,0.0
337,1437500858644,0.0
338,1437500858669,0.0
339,1437500858684,0.0
340,1437500858706,0.0
341,1437500858726,0.0
342,1437500858746,0.0
343,1437500858766,0.0
344,1437500858785,0.0
345,1437500858806,0.0
346,1437500858826,0.0
347,1437500858845,0.0
348,1437500858866,0.0
349,1437500858886,0.0
350,1437500858908,0.0
351,1437500858926,0.0
352,1437500858950,0.0
353,1437500858965,0.0
354,1437500858989,0.0
355,1437500859007,0.0
356,1437500859023,0.0
357,1437500859043,0.0
358,1437500859063,0.0
359,1437500859090,0.0
360,1437500859109,0.0
361,1437500859131,0.0
362,1437500859146,0.0
363,1437500859256,0.0
364,1437500859257,0.0
365,1437500859258,0.0
366,1437500859259,0.0
367,1437500859260,0.0
