id,attr_time,attr_x,attr_y,attr_z
1,1437067245640,41.4719,6.32019,-25.7309
2,1437067245662,41.4719,8.078,-24.3866
3,1437067245678,43.7485,5.44128,-22.5357
4,1437067245701,43.7485,5.44128,-22.5357
5,1437067245721,43.2236,6.67267,-23.0408
6,1437067245740,42.3477,6.84814,-23.2086
7,1437067245760,42.3477,6.84814,-23.2086
8,1437067245779,42.6971,7.55157,-23.8815
9,1437067245800,41.8213,5.61829,-24.7223
10,1437067245820,41.8213,5.61829,-24.7223
11,1437067245839,42.3477,6.84814,-22.2
12,1437067245859,41.8213,5.26581,-22.7051
13,1437067245884,41.8213,5.26581,-22.7051
14,1437067245897,41.9968,6.49719,-23.5458
15,1437067245915,42.5232,5.61829,-25.3952
16,1437067245935,42.5232,5.61829,-25.3952
17,1437067245956,43.399,6.84814,-24.5544
18,1437067245975,42.1722,5.26581,-24.3866
19,1437067245995,42.1722,5.26581,-24.3866
20,1437067246014,43.0481,7.55157,-21.8643
21,1437067246034,41.6458,4.3869,-22.8729
22,1437067246054,41.6458,4.3869,-22.8729
23,1437067246074,43.573,6.67267,-20.6863
24,1437067246093,43.399,5.44128,-23.2086
25,1437067246113,43.399,5.44128,-23.2086
26,1437067246133,44.2749,6.67267,-22.0322
27,1437067246152,42.3477,5.44128,-24.2188
28,1437067246172,42.3477,5.44128,-24.2188
29,1437067246192,42.5232,6.32019,-23.0408
30,1437067246212,42.3477,5.09033,-22.5357
31,1437067246232,42.3477,5.09033,-22.5357
32,1437067246251,44.4504,6.14471,-22.2
33,1437067246271,43.2236,4.56238,-22.3679
34,1437067246291,43.2236,4.56238,-22.3679
35,1437067246310,42.8726,7.02362,-22.3679
36,1437067246330,43.573,6.32019,-22.7051
37,1437067246350,43.573,6.32019,-22.7051
38,1437067246370,41.8213,5.96924,-22.7051
39,1437067246390,43.2236,6.32019,-22.7051
40,1437067246408,43.2236,6.32019,-22.7051
41,1437067246429,43.2236,5.96924,-23.7137
42,1437067246448,42.1722,5.96924,-24.0494
43,1437067246468,42.1722,5.96924,-24.0494
44,1437067246488,42.1722,6.32019,-21.3593
45,1437067246508,42.3477,6.14471,-24.2188
46,1437067246528,42.3477,6.14471,-24.2188
47,1437067246547,43.573,5.61829,-22.7051
48,1437067246567,42.3477,5.44128,-23.8815
49,1437067246586,42.3477,5.44128,-23.8815
50,1437067246606,42.3477,5.44128,-21.8643
51,1437067246627,42.6971,3.68347,-23.2086
52,1437067246646,42.6971,3.68347,-23.2086
53,1437067246666,40.0696,5.61829,-22.7051
54,1437067246686,42.6971,4.3869,-23.5458
55,1437067246705,42.6971,4.3869,-23.5458
56,1437067246725,43.399,5.79376,-23.2086
57,1437067246745,42.5232,4.21143,-24.0494
58,1437067246764,42.5232,4.21143,-24.0494
59,1437067246785,42.3477,5.79376,-22.5357
60,1437067246802,41.6458,5.44128,-23.5458
61,1437067246824,41.6458,5.44128,-23.5458
62,1437067246843,42.5232,6.67267,-23.0408
63,1437067246863,42.5232,4.56238,-23.0408
64,1437067246883,42.5232,4.56238,-23.0408
65,1437067246902,42.1722,7.72705,-22.0322
66,1437067246923,43.2236,6.32019,-22.3679
67,1437067246942,43.2236,6.32019,-22.3679
68,1437067246962,41.2964,6.84814,-22.5357
69,1437067246982,42.6971,5.79376,-22.5357
70,1437067247001,42.6971,5.79376,-22.5357
71,1437067247021,41.8213,7.02362,-22.3679
72,1437067247041,41.8213,5.96924,-22.7051
73,1437067247060,41.8213,5.96924,-22.7051
74,1437067247079,43.399,7.1991,-22.5357
75,1437067247100,43.7485,4.73938,-23.8815
76,1437067247120,43.7485,4.73938,-23.8815
77,1437067247139,43.0481,6.49719,-23.5458
78,1437067247159,43.0481,5.09033,-24.2188
79,1437067247179,43.0481,5.09033,-24.2188
80,1437067247198,42.6971,7.1991,-22.8729
81,1437067247219,42.6971,6.14471,-23.8815
82,1437067247238,42.6971,6.14471,-23.8815
83,1437067247258,40.9454,7.1991,-22.8729
84,1437067247277,43.2236,4.21143,-23.7137
85,1437067247297,43.2236,4.21143,-23.7137
86,1437067247317,43.7485,5.09033,-22.8729
87,1437067247337,43.399,6.14471,-24.5544
88,1437067247357,43.399,6.14471,-24.5544
89,1437067247376,41.8213,6.32019,-22.7051
90,1437067247394,43.0481,4.3869,-24.2188
91,1437067247416,43.0481,4.3869,-24.2188
92,1437067247435,41.1209,7.02362,-23.0408
93,1437067247455,43.2236,6.32019,-22.7051
94,1437067247475,43.2236,6.32019,-22.7051
95,1437067247494,42.5232,5.61829,-22.0322
96,1437067247515,42.3477,5.44128,-23.5458
