id,attr_time,attr_x,attr_y,attr_z
1,1437067245690,20.216,-41.197,6.875
2,1437067245691,20.216,-41.197,6.875
3,1437067245692,20.216,-41.197,6.875
4,1437067245693,20.216,-41.197,6.875
5,1437067245705,20.216,-41.197,6.875
6,1437067245732,20.216,-41.197,6.875
7,1437067245752,20.216,-41.197,6.875
8,1437067245763,20.571,-41.197,6.875
9,1437067245778,20.571,-41.197,6.875
10,1437067245798,20.571,-41.197,6.875
11,1437067245818,20.571,-41.197,6.875
12,1437067246018,20.571,-41.197,6.875
13,1437067246019,20.571,-41.197,6.875
14,1437067246020,20.571,-40.895,6.875
15,1437067246021,20.571,-40.895,6.875
16,1437067246022,20.571,-40.895,6.875
17,1437067246023,20.571,-40.895,6.875
18,1437067246024,20.571,-40.895,6.875
19,1437067246025,20.571,-40.895,6.875
20,1437067246026,20.571,-40.895,6.533
21,1437067246027,20.571,-40.895,6.533
22,1437067246037,20.571,-40.895,6.533
23,1437067246063,20.571,-40.895,6.533
24,1437067246078,20.571,-40.895,6.533
25,1437067246097,20.571,-40.895,6.533
26,1437067246117,20.571,-40.895,6.533
27,1437067246137,20.571,-40.895,6.533
28,1437067246157,20.571,-40.895,6.533
29,1437067246177,20.571,-40.895,6.533
30,1437067246197,20.571,-40.895,6.533
31,1437067246217,20.571,-40.895,6.533
32,1437067246237,20.571,-40.895,6.533
33,1437067246257,20.571,-40.895,6.533
34,1437067246277,20.571,-40.895,6.533
35,1437067246298,20.571,-40.895,6.533
36,1437067246319,20.571,-40.895,6.533
37,1437067246339,20.571,-40.895,6.533
38,1437067246359,20.571,-40.895,6.533
39,1437067246380,20.248,-40.895,6.533
40,1437067246432,20.248,-40.895,6.533
41,1437067246433,20.248,-40.895,6.533
42,1437067246437,20.248,-40.895,6.533
43,1437067246457,20.248,-40.895,6.851
44,1437067246478,20.248,-40.895,6.851
45,1437067246499,20.248,-40.895,6.851
46,1437067246520,20.248,-40.895,6.851
47,1437067246538,20.248,-40.895,6.851
48,1437067246559,20.248,-40.895,6.851
49,1437067246582,20.248,-40.895,6.851
50,1437067246599,20.248,-40.895,6.851
51,1437067246619,20.248,-40.895,6.851
52,1437067246638,20.248,-40.895,6.851
53,1437067246661,20.248,-40.895,6.851
54,1437067246683,20.248,-40.895,6.851
55,1437067246699,20.248,-40.895,6.851
56,1437067246719,20.588,-40.895,6.851
57,1437067246743,20.588,-40.895,6.851
58,1437067246761,20.588,-40.895,6.851
59,1437067246780,20.588,-40.895,6.851
60,1437067246800,20.588,-40.895,6.851
