id,attr_time,attr_x,attr_y,attr_z
1,1437067245628,6.712,-45.925,-11.344
2,1437067245646,6.712,-45.925,-11.344
3,1437067245665,6.712,-45.925,-11.344
4,1437067245685,6.712,-45.925,-11.344
5,1437067245705,6.712,-45.925,-11.344
6,1437067245728,6.712,-45.925,-11.344
7,1437067245746,6.712,-45.925,-11.344
8,1437067245767,6.712,-45.925,-11.344
9,1437067245786,6.712,-45.925,-11.344
10,1437067245806,6.712,-45.925,-11.344
11,1437067245827,6.712,-45.925,-11.344
12,1437067245845,6.712,-45.925,-11.344
13,1437067245867,6.712,-45.925,-11.344
14,1437067245884,7.025,-45.925,-11.344
15,1437067245906,7.025,-45.925,-11.344
16,1437067245926,7.025,-45.925,-11.344
17,1437067245947,7.025,-45.925,-11.344
18,1437067245969,7.025,-45.925,-11.344
19,1437067245987,7.025,-45.925,-11.344
20,1437067246006,7.025,-45.925,-11.344
21,1437067246026,7.025,-45.925,-11.344
22,1437067246046,7.025,-45.925,-11.344
23,1437067246065,7.025,-45.925,-11.344
24,1437067246084,7.025,-45.925,-11.344
25,1437067246105,7.025,-45.925,-11.344
26,1437067246132,7.025,-45.925,-11.344
27,1437067246144,7.025,-45.925,-11.344
28,1437067246166,7.025,-45.925,-11.344
29,1437067246185,7.025,-45.925,-11.344
30,1437067246205,7.025,-45.925,-11.344
31,1437067246227,7.025,-45.925,-11.344
32,1437067246246,7.025,-45.925,-11.344
33,1437067246267,7.025,-45.925,-11.344
34,1437067246289,7.025,-45.925,-11.344
35,1437067246321,7.025,-45.925,-11.344
36,1437067246346,7.025,-45.925,-11.344
37,1437067246347,7.025,-45.925,-11.344
38,1437067246365,7.025,-45.925,-11.032
39,1437067246385,7.025,-45.925,-11.032
40,1437067246407,7.025,-45.925,-11.032
41,1437067246426,7.025,-45.925,-11.032
42,1437067246448,7.025,-45.925,-11.032
43,1437067246467,7.025,-45.925,-11.032
44,1437067246487,7.025,-45.925,-11.032
45,1437067246506,7.025,-45.925,-11.032
46,1437067246525,7.025,-45.925,-11.032
47,1437067246545,7.025,-45.925,-11.032
48,1437067246567,7.025,-45.925,-11.032
49,1437067246587,7.025,-45.925,-11.032
50,1437067246607,7.025,-45.925,-11.032
51,1437067246626,7.025,-45.925,-11.032
52,1437067246649,7.025,-45.925,-11.032
53,1437067246670,7.025,-45.925,-11.032
54,1437067246688,7.025,-45.925,-11.032
55,1437067246707,7.025,-45.925,-11.032
56,1437067246727,7.025,-45.925,-11.032
57,1437067246746,7.025,-45.925,-11.032
58,1437067246768,7.025,-45.925,-11.032
59,1437067246787,7.025,-45.925,-11.032
60,1437067246871,7.025,-45.925,-11.032
61,1437067246872,7.025,-45.925,-11.032
62,1437067246873,7.025,-45.925,-11.032
63,1437067246874,7.025,-45.925,-11.032
64,1437067246889,7.025,-45.925,-11.032
65,1437067246950,7.025,-45.925,-11.032
66,1437067246951,7.025,-45.925,-11.032
67,1437067246952,7.025,-45.925,-11.032
68,1437067246973,7.025,-45.925,-11.032
69,1437067246987,7.328,-45.925,-11.032
70,1437067247009,7.328,-45.925,-11.032
71,1437067247027,7.328,-45.925,-11.032
72,1437067247049,7.328,-45.925,-11.032
73,1437067247068,7.328,-45.925,-11.032
74,1437067247091,7.328,-45.925,-11.032
75,1437067247106,7.328,-45.925,-11.032
76,1437067247127,7.328,-45.925,-11.032
77,1437067247149,7.328,-45.925,-11.032
78,1437067247169,7.328,-45.925,-11.032
79,1437067247186,7.328,-45.925,-11.032
80,1437067247207,7.328,-45.925,-11.032
81,1437067247229,7.328,-45.925,-11.032
82,1437067247252,7.328,-45.925,-11.032
83,1437067247269,7.328,-45.925,-11.032
84,1437067247294,7.328,-45.925,-11.032
85,1437067247307,7.328,-45.925,-11.032
86,1437067247332,7.328,-45.925,-11.032
87,1437067247347,7.328,-45.925,-11.032
88,1437067247367,6.97,-45.925,-11.032
89,1437067247387,6.97,-45.925,-11.032
90,1437067247409,6.97,-45.925,-11.032
91,1437067247427,6.97,-45.925,-11.032
92,1437067247456,6.97,-45.925,-11.032
93,1437067247475,6.666,-45.925,-11.032
94,1437067247490,6.666,-45.925,-11.357
95,1437067247587,6.666,-45.925,-11.357
96,1437067247588,6.666,-45.925,-11.357
97,1437067247589,6.666,-45.925,-11.357
98,1437067247590,6.666,-45.925,-11.357
99,1437067247591,6.324,-45.925,-11.357
100,1437067247606,6.324,-45.925,-11.357
101,1437067247627,6.324,-45.925,-11.357
102,1437067247646,6.324,-45.925,-11.357
103,1437067247675,6.324,-45.925,-11.357
104,1437067247687,6.324,-45.925,-11.357
105,1437067247708,6.324,-45.925,-11.357
106,1437067247728,6.324,-45.925,-11.357
107,1437067247748,6.324,-45.925,-11.357
108,1437067247770,6.324,-45.925,-11.357
109,1437067247789,6.324,-45.925,-11.357
110,1437067247806,6.324,-45.925,-11.357
111,1437067247828,6.324,-45.925,-11.357
112,1437067247849,6.324,-45.925,-11.357
113,1437067247871,6.324,-45.925,-11.357
114,1437067247916,6.324,-45.925,-11.357
115,1437067247917,6.324,-45.925,-11.357
116,1437067247929,6.324,-45.925,-11.357
117,1437067247949,6.324,-45.925,-11.357
118,1437067247969,6.324,-45.925,-11.357
119,1437067247991,6.324,-45.925,-11.357
120,1437067248008,6.324,-45.925,-11.357
121,1437067248031,6.651,-45.925,-11.357
122,1437067248051,6.651,-45.925,-11.357
123,1437067248069,6.651,-45.925,-11.357
124,1437067248099,6.651,-45.925,-11.357
125,1437067248114,6.651,-45.925,-11.357
126,1437067248131,6.651,-45.925,-11.357
127,1437067248151,6.651,-45.925,-11.357
128,1437067248170,6.651,-45.925,-11.357
129,1437067248191,6.651,-45.925,-11.357
130,1437067248209,6.651,-45.925,-11.357
131,1437067248237,6.651,-45.925,-11.357
132,1437067248308,6.651,-45.925,-11.357
133,1437067248309,6.651,-45.925,-11.357
134,1437067248310,6.651,-45.925,-11.357
135,1437067248311,6.651,-45.925,-11.357
136,1437067248331,6.651,-45.925,-11.357
137,1437067248348,6.651,-45.925,-11.357
138,1437067248367,6.651,-45.925,-11.357
139,1437067248388,6.651,-45.925,-11.357
140,1437067248407,6.651,-45.925,-11.357
141,1437067248428,6.651,-45.925,-11.357
142,1437067248459,6.651,-45.925,-11.357
143,1437067248468,6.651,-45.925,-11.357
144,1437067248490,6.651,-45.925,-11.357
145,1437067248507,6.651,-45.925,-11.022
146,1437067248529,6.651,-45.925,-11.022
147,1437067248547,6.651,-45.925,-11.022
148,1437067248569,6.651,-45.925,-11.022
149,1437067248595,6.651,-45.925,-11.022
150,1437067248611,6.651,-45.925,-11.022
151,1437067248628,6.651,-45.925,-11.022
152,1437067248648,6.651,-45.925,-11.022
153,1437067248668,6.954,-45.925,-11.022
154,1437067248693,6.954,-45.925,-11.022
155,1437067248707,6.954,-45.925,-11.022
156,1437067248727,6.954,-45.925,-11.022
157,1437067248751,6.954,-45.925,-11.022
158,1437067248771,6.954,-45.925,-11.022
159,1437067248788,6.954,-45.925,-11.022
160,1437067248807,6.954,-45.925,-11.022
161,1437067248827,6.954,-45.925,-11.022
162,1437067248847,6.954,-45.925,-11.022
163,1437067248871,6.954,-45.925,-11.022
164,1437067248892,6.954,-45.925,-11.022
165,1437067248912,6.954,-45.925,-11.022
166,1437067248929,6.954,-45.925,-11.022
167,1437067248947,6.954,-45.925,-11.022
168,1437067248978,6.954,-45.925,-11.022
169,1437067248997,6.954,-45.925,-11.022
170,1437067249012,6.954,-45.925,-11.022
171,1437067249029,6.954,-45.925,-11.022
172,1437067249047,6.954,-45.925,-11.022
173,1437067249067,6.954,-45.925,-11.022
174,1437067249090,6.954,-45.925,-11.022
175,1437067249107,6.954,-45.925,-11.022
176,1437067249131,6.954,-45.925,-11.022
177,1437067249151,6.954,-45.925,-11.022
178,1437067249169,6.954,-45.925,-11.022
179,1437067249187,6.954,-45.925,-11.022
180,1437067249211,6.954,-45.925,-11.022
181,1437067249233,6.954,-45.925,-11.022
182,1437067249251,6.954,-45.925,-11.022
183,1437067249270,6.954,-45.925,-11.022
184,1437067249292,6.954,-45.925,-11.022
185,1437067249311,6.954,-45.925,-11.022
186,1437067249334,6.954,-45.925,-11.022
187,1437067249349,6.954,-45.925,-11.022
188,1437067249371,6.954,-45.925,-11.022
189,1437067249392,6.954,-45.625,-11.022
190,1437067249412,6.954,-45.625,-11.022
191,1437067249431,6.954,-45.625,-11.022
192,1437067249451,6.954,-45.625,-11.022
193,1437067249472,6.954,-45.625,-11.022
194,1437067249492,6.954,-45.625,-11.022
195,1437067249511,6.954,-45.625,-11.022
196,1437067249532,6.954,-45.625,-11.022
197,1437067249552,6.954,-45.625,-11.022
198,1437067249572,6.954,-45.625,-11.022
199,1437067249593,6.954,-45.625,-11.022
200,1437067249616,6.954,-45.625,-11.022
201,1437067249683,6.954,-45.625,-11.022
202,1437067249684,6.954,-45.625,-11.022
203,1437067249685,6.954,-45.625,-11.022
204,1437067249692,6.954,-45.625,-11.022
205,1437067249709,6.954,-45.625,-11.022
206,1437067249732,6.954,-45.625,-11.022
207,1437067249749,6.954,-45.625,-11.022
208,1437067249770,6.954,-45.933,-11.022
209,1437067249789,6.954,-45.933,-11.022
210,1437067249812,6.954,-45.933,-11.022
211,1437067249832,6.954,-45.933,-11.022
212,1437067249851,6.954,-45.933,-11.022
213,1437067249869,6.954,-45.933,-11.022
214,1437067249892,6.954,-45.933,-11.022
215,1437067249912,6.954,-45.933,-11.022
216,1437067249932,6.954,-45.933,-11.022
217,1437067249949,6.954,-45.933,-11.022
218,1437067249972,6.954,-45.933,-11.022
219,1437067249992,6.954,-45.933,-11.022
220,1437067250012,6.954,-45.933,-11.022
221,1437067250032,6.954,-45.933,-11.022
222,1437067250054,6.954,-45.933,-11.022
223,1437067250069,6.954,-45.933,-11.022
224,1437067250092,6.954,-45.933,-11.022
225,1437067250111,6.954,-45.933,-11.022
226,1437067250129,6.954,-45.933,-11.323
227,1437067250151,6.954,-45.933,-11.323
228,1437067250171,6.954,-45.933,-11.323
229,1437067250191,6.954,-45.626,-11.323
230,1437067250215,6.954,-45.626,-11.323
231,1437067250232,6.954,-45.626,-11.323
232,1437067250250,6.954,-45.626,-11.659
233,1437067250269,6.954,-45.626,-11.659
234,1437067250289,6.954,-45.626,-11.659
235,1437067250312,6.954,-45.626,-11.659
236,1437067250330,6.954,-45.626,-11.659
237,1437067250422,6.954,-45.626,-11.985
238,1437067250423,6.954,-45.626,-11.985
239,1437067250424,6.954,-45.626,-11.985
240,1437067250425,6.954,-45.626,-11.985
241,1437067250450,6.954,-45.626,-11.985
242,1437067250451,6.636,-45.626,-11.985
243,1437067250475,6.636,-45.626,-12.333
244,1437067250489,6.636,-45.307,-12.333
245,1437067250513,6.636,-45.307,-12.333
246,1437067250529,6.636,-45.307,-12.696
247,1437067250550,6.636,-45.307,-12.696
248,1437067250571,6.298,-45.307,-12.998
249,1437067250589,6.298,-45.307,-12.998
250,1437067250609,6.298,-45.307,-13.389
251,1437067250629,6.298,-45.307,-13.389
252,1437067250650,5.961,-45.307,-13.818
253,1437067250670,5.961,-45.307,-13.818
254,1437067250690,5.961,-45.307,-14.27
255,1437067250710,5.961,-45.307,-14.27
256,1437067250730,5.57,-45.307,-14.27
257,1437067250748,5.57,-44.992,-14.27
258,1437067250772,5.57,-44.992,-14.27
259,1437067250793,5.57,-44.992,-14.675
260,1437067250810,5.245,-44.992,-14.675
261,1437067250833,5.245,-44.992,-14.675
262,1437067250853,5.245,-44.992,-15.013
263,1437067250872,5.245,-44.992,-15.013
264,1437067250893,5.245,-44.992,-15.013
265,1437067250913,5.245,-44.992,-15.013
266,1437067250932,5.245,-44.992,-15.013
267,1437067250953,5.245,-44.992,-15.013
268,1437067250971,5.245,-44.992,-15.013
269,1437067250993,5.245,-44.992,-15.013
270,1437067251013,5.245,-44.992,-15.013
271,1437067251033,5.245,-44.992,-15.013
272,1437067251050,5.245,-44.992,-15.013
273,1437067251069,5.245,-44.992,-15.013
274,1437067251090,5.245,-44.992,-15.333
275,1437067251114,5.245,-44.992,-15.333
276,1437067251129,5.245,-44.992,-15.333
277,1437067251149,5.557,-44.992,-16.076
278,1437067251169,5.557,-44.686,-16.61
279,1437067251189,5.921,-44.686,-17.86
280,1437067251212,6.89,-44.686,-17.86
281,1437067251230,8.912,-44.267,-18.168
282,1437067251250,9.936,-44.267,-18.911
283,1437067251271,10.791,-43.502,-19.357
284,1437067251293,11.174,-42.959,-19.718
285,1437067251313,11.621,-42.959,-19.718
286,1437067251335,11.621,-42.35,-20.225
287,1437067251352,11.621,-42.35,-20.588
288,1437067251374,11.947,-41.636,-20.588
289,1437067251394,11.947,-41.636,-20.896
290,1437067251414,11.947,-41.636,-20.896
291,1437067251434,11.947,-41.636,-20.896
292,1437067251454,11.947,-41.636,-20.896
293,1437067251473,11.947,-41.636,-21.253
294,1437067251493,11.581,-41.636,-21.253
295,1437067251514,11.581,-41.636,-21.253
296,1437067251533,11.581,-41.227,-21.253
297,1437067251553,11.581,-41.227,-21.253
298,1437067251572,11.581,-41.227,-21.253
299,1437067251594,11.924,-41.227,-21.253
300,1437067251615,11.924,-41.227,-21.253
301,1437067251634,11.924,-41.227,-21.672
302,1437067251654,11.924,-41.227,-21.672
303,1437067251675,11.924,-41.227,-21.672
304,1437067251692,11.924,-41.227,-21.672
305,1437067251713,11.924,-41.227,-21.672
306,1437067251733,11.54,-41.227,-21.672
307,1437067251751,11.54,-41.227,-21.672
308,1437067251824,11.54,-41.227,-21.672
309,1437067251825,11.137,-41.227,-21.672
310,1437067251826,11.137,-41.227,-21.672
311,1437067251832,11.137,-41.619,-21.672
312,1437067251853,10.765,-41.619,-21.223
313,1437067251874,10.765,-41.943,-20.095
314,1437067251891,10.765,-41.943,-19.284
315,1437067251916,10.765,-41.943,-17.982
316,1437067251933,10.765,-42.387,-17.982
317,1437067251952,10.765,-42.387,-17.588
318,1437067251973,10.765,-42.387,-17.895
319,1437067251992,10.398,-42.794,-18.228
320,1437067252014,9.611,-42.794,-19.227
321,1437067252034,5.592,-42.794,-19.227
322,1437067252054,4.962,-43.174,-19.227
323,1437067252074,6.207,-43.174,-19.227
324,1437067252093,7.154,-43.174,-18.435
325,1437067252114,7.516,-43.542,-17.973
326,1437067252134,7.516,-43.542,-17.973
327,1437067252154,7.516,-43.542,-17.973
328,1437067252174,7.516,-43.908,-17.973
329,1437067252191,7.516,-43.908,-17.973
330,1437067252212,7.516,-43.908,-17.973
331,1437067252234,7.516,-44.219,-17.565
332,1437067252254,7.516,-44.219,-17.565
333,1437067252272,7.516,-44.219,-17.565
334,1437067252291,8.175,-44.219,-17.565
335,1437067252314,8.175,-44.219,-17.565
336,1437067252336,8.75,-44.219,-17.565
337,1437067252356,8.75,-44.219,-17.565
338,1437067252377,9.22,-44.219,-17.565
339,1437067252394,9.22,-44.219,-17.565
340,1437067252413,9.968,-44.219,-17.565
341,1437067252431,10.546,-44.219,-17.565
342,1437067252453,11.14,-44.219,-17.565
343,1437067252473,12.886,-44.219,-17.565
344,1437067252496,14.831,-43.862,-17.565
345,1437067252549,16.352,-41.944,-18.63
346,1437067252551,17.396,-38.562,-23.266
347,1437067252552,17.396,-35.769,-27.314
348,1437067252572,17.396,-34.353,-28.005
349,1437067252600,17.822,-33.955,-29.344
350,1437067252616,17.822,-32.452,-30.39
351,1437067252631,18.705,-31.997,-31.14
352,1437067252652,19.421,-31.997,-30.386
353,1437067252672,20.101,-31.697,-30.386
354,1437067252692,20.101,-32.504,-30.386
355,1437067252716,20.101,-33.734,-28.791
356,1437067252732,18.992,-34.779,-28.791
357,1437067252756,17.753,-35.961,-26.835
358,1437067252776,16.279,-37.303,-26.457
359,1437067252795,15.531,-37.87,-25.74
360,1437067252815,14.875,-38.417,-25.044
361,1437067252835,14.096,-39.277,-25.044
362,1437067252855,13.452,-39.277,-25.044
363,1437067252875,12.721,-39.62,-24.38
364,1437067252895,12.721,-40.139,-23.934
365,1437067252915,12.048,-40.139,-23.602
366,1437067252935,11.541,-40.879,-23.602
367,1437067252953,10.618,-40.879,-23.602
368,1437067252975,9.658,-40.879,-24.153
369,1437067252995,9.658,-41.23,-23.486
370,1437067253013,9.327,-41.23,-23.486
371,1437067253033,9.843,-40.895,-23.486
372,1437067253055,9.843,-41.523,-22.476
373,1437067253075,9.843,-41.917,-21.621
374,1437067253095,12.67,-41.917,-20.341
375,1437067253115,14.675,-41.567,-18.986
376,1437067253135,13.996,-41.157,-20.292
377,1437067253154,13.267,-41.157,-21.286
378,1437067253174,12.084,-41.157,-21.69
379,1437067253194,10.525,-41.157,-21.293
380,1437067253213,8.897,-41.473,-21.293
381,1437067253282,7.147,-41.473,-20.887
382,1437067253283,7.147,-41.883,-20.887
383,1437067253284,8.044,-41.883,-20.887
384,1437067253301,9.544,-42.199,-19.763
385,1437067253314,10.455,-42.199,-19.763
386,1437067253338,11.015,-42.199,-19.763
387,1437067253374,11.015,-42.5,-19.055
388,1437067253375,11.015,-42.5,-19.055
389,1437067253396,10.612,-42.5,-19.055
390,1437067253418,10.612,-42.5,-19.055
391,1437067253434,10.612,-42.855,-19.055
392,1437067253454,11.282,-42.855,-19.055
393,1437067253475,12.33,-42.855,-19.055
394,1437067253493,13.905,-42.855,-18.472
395,1437067253515,15.209,-42.855,-18.472
396,1437067253536,16.522,-42.855,-18.472
397,1437067253556,18.324,-42.855,-19.187
398,1437067253575,20.416,-39.312,-20.587
