id,attr_time,attr_x,attr_y,attr_z
1,1437067245659,27.548,-38.943,-15.724
2,1437067245660,27.548,-38.943,-15.724
3,1437067245661,27.548,-38.943,-15.724
4,1437067245662,27.548,-38.943,-15.724
5,1437067245678,27.548,-38.943,-15.724
6,1437067245700,27.548,-38.943,-15.724
7,1437067245718,27.548,-38.943,-15.724
8,1437067245738,27.548,-38.943,-15.724
9,1437067245760,27.548,-38.943,-15.724
10,1437067245780,27.548,-38.943,-15.724
11,1437067245799,27.548,-38.943,-15.724
12,1437067245819,27.548,-38.943,-15.724
13,1437067245840,27.966,-38.943,-15.724
14,1437067245860,27.966,-38.943,-15.724
15,1437067245881,27.966,-38.943,-15.724
16,1437067245901,28.279,-38.943,-15.724
17,1437067245921,28.279,-38.943,-15.724
18,1437067245941,28.279,-38.943,-16.029
19,1437067245961,28.279,-38.943,-16.029
20,1437067245981,28.601,-38.943,-16.029
21,1437067246001,28.601,-38.943,-16.029
22,1437067246021,28.601,-38.943,-16.029
23,1437067246042,28.601,-38.943,-16.029
24,1437067246059,28.601,-38.943,-16.029
25,1437067246081,28.601,-38.943,-16.029
26,1437067246101,28.601,-38.943,-16.029
27,1437067246121,28.601,-38.943,-16.029
28,1437067246139,28.601,-38.943,-16.029
29,1437067246161,28.601,-38.943,-16.029
30,1437067246181,28.601,-38.943,-16.029
31,1437067246201,28.601,-38.943,-16.029
32,1437067246222,28.601,-38.943,-15.689
33,1437067246241,28.273,-38.943,-15.689
34,1437067246258,28.273,-38.943,-15.689
35,1437067246279,28.273,-38.943,-15.689
36,1437067246299,28.273,-38.943,-15.689
37,1437067246366,27.943,-38.943,-15.379
38,1437067246367,27.943,-38.943,-15.379
39,1437067246368,27.943,-38.943,-15.379
40,1437067246407,27.943,-38.943,-15.379
41,1437067246408,27.943,-38.943,-15.379
42,1437067246418,27.943,-38.943,-15.379
43,1437067246442,27.943,-38.943,-15.379
44,1437067246459,27.639,-38.943,-15.379
45,1437067246479,27.639,-38.943,-15.379
46,1437067246512,27.639,-38.943,-15.379
47,1437067246529,27.639,-38.943,-15.379
48,1437067246539,27.639,-38.943,-15.379
49,1437067246558,27.639,-38.943,-15.379
50,1437067246579,27.639,-38.943,-15.379
51,1437067246618,27.639,-38.943,-15.379
52,1437067246619,27.639,-38.943,-15.379
53,1437067246639,27.639,-38.943,-15.379
54,1437067246659,27.639,-38.943,-15.379
55,1437067246681,27.639,-38.943,-15.379
56,1437067246700,27.639,-38.943,-15.379
57,1437067246720,27.639,-38.943,-15.379
58,1437067246742,27.639,-38.943,-15.379
59,1437067246762,27.639,-38.943,-15.379
60,1437067246782,27.639,-38.943,-15.379
61,1437067246800,27.639,-38.943,-15.379
62,1437067246822,27.639,-38.943,-15.379
63,1437067246841,27.639,-38.943,-15.379
64,1437067246861,27.639,-38.943,-15.379
65,1437067246879,27.972,-38.943,-15.379
66,1437067246902,27.972,-38.943,-15.379
67,1437067246922,27.972,-38.943,-15.379
68,1437067246943,27.972,-38.943,-15.379
69,1437067246960,27.972,-38.943,-15.379
70,1437067246981,27.972,-38.943,-15.379
71,1437067247000,27.972,-38.943,-15.379
72,1437067247021,27.972,-38.943,-15.379
73,1437067247040,27.972,-38.943,-15.379
74,1437067247063,27.972,-38.943,-15.379
75,1437067247115,27.972,-38.943,-15.379
76,1437067247116,27.972,-38.943,-15.379
77,1437067247129,27.972,-38.943,-15.379
78,1437067247139,27.972,-38.943,-15.379
79,1437067247163,27.972,-38.943,-15.379
80,1437067247181,27.972,-38.943,-15.379
81,1437067247201,27.972,-38.943,-15.379
82,1437067247221,27.972,-38.943,-15.379
83,1437067247241,27.972,-38.943,-15.01
84,1437067247262,27.972,-38.943,-15.01
85,1437067247281,27.972,-38.943,-15.01
86,1437067247300,27.972,-38.943,-15.01
87,1437067247320,27.972,-38.943,-15.01
88,1437067247343,27.972,-38.943,-15.01
89,1437067247363,27.972,-38.943,-15.01
90,1437067247383,27.972,-38.943,-15.01
91,1437067247403,27.972,-38.943,-15.01
92,1437067247420,27.972,-38.943,-15.01
93,1437067247440,27.972,-38.943,-15.01
94,1437067247460,27.972,-38.943,-15.01
95,1437067247480,27.972,-38.943,-15.01
96,1437067247503,27.972,-38.943,-15.01
97,1437067247521,27.972,-38.943,-15.01
98,1437067247540,27.972,-38.943,-15.01
99,1437067247563,27.972,-38.943,-15.01
