id,attr_time,attr_x,attr_y,attr_z
1,1437067245640,-47.348,8.238,-18.191
2,1437067245661,-47.348,8.238,-18.191
3,1437067245696,-47.348,8.238,-18.191
4,1437067245699,-47.348,8.238,-18.191
5,1437067245720,-47.348,8.238,-17.852
6,1437067245739,-47.348,8.238,-17.852
7,1437067245759,-47.348,8.238,-17.852
8,1437067245793,-47.348,8.238,-17.852
9,1437067245804,-47.348,8.238,-17.852
10,1437067245819,-47.348,8.238,-17.852
11,1437067245839,-47.348,8.238,-17.852
12,1437067245859,-47.348,8.238,-17.852
13,1437067245879,-47.348,8.238,-17.852
14,1437067245900,-47.348,8.238,-17.852
15,1437067245953,-47.348,8.238,-17.852
16,1437067245954,-47.348,8.238,-17.852
17,1437067245971,-47.348,8.238,-17.852
18,1437067245979,-47.348,8.238,-17.852
19,1437067245999,-47.348,8.238,-17.852
20,1437067246020,-47.348,8.238,-17.852
21,1437067246066,-47.348,8.238,-17.852
22,1437067246067,-47.348,8.238,-17.852
23,1437067246119,-47.348,8.238,-17.852
24,1437067246120,-47.659,8.238,-17.852
25,1437067246121,-47.659,8.238,-17.852
26,1437067246147,-47.659,8.238,-17.852
27,1437067246159,-47.659,8.238,-17.852
28,1437067246179,-47.659,8.238,-17.852
29,1437067246199,-47.659,8.238,-17.852
30,1437067246220,-47.659,8.238,-17.852
31,1437067246239,-47.659,8.238,-17.852
32,1437067246260,-47.659,8.238,-17.852
33,1437067246279,-47.659,8.238,-17.852
34,1437067246299,-47.659,8.238,-17.852
35,1437067246322,-47.659,8.238,-17.852
36,1437067246342,-47.659,8.238,-17.852
37,1437067246363,-47.659,8.238,-17.852
38,1437067246382,-47.659,8.238,-17.852
39,1437067246400,-47.659,8.238,-17.852
40,1437067246420,-47.659,8.238,-18.17
41,1437067246439,-47.659,8.238,-18.17
42,1437067246460,-47.659,8.238,-18.17
43,1437067246480,-47.659,8.238,-18.17
44,1437067246504,-47.659,8.238,-18.17
45,1437067246519,-47.659,8.238,-18.17
46,1437067246539,-47.659,8.238,-18.17
47,1437067246560,-47.659,8.238,-18.17
48,1437067246580,-47.659,8.238,-18.17
49,1437067246600,-47.659,8.238,-18.17
50,1437067246618,-47.659,8.238,-18.17
51,1437067246640,-47.659,8.238,-18.17
52,1437067246660,-47.659,8.238,-18.17
53,1437067246680,-47.659,8.238,-18.17
54,1437067246700,-47.659,8.238,-18.17
55,1437067246719,-47.659,8.238,-18.17
56,1437067246740,-47.659,8.238,-18.17
57,1437067246760,-47.659,8.238,-18.17
58,1437067246781,-47.659,8.238,-18.17
59,1437067246800,-47.659,8.238,-18.17
60,1437067246820,-47.659,8.238,-18.17
61,1437067246839,-47.659,8.238,-18.17
62,1437067246860,-47.659,8.238,-18.17
63,1437067246880,-47.659,8.238,-18.17
64,1437067246900,-47.659,8.238,-18.17
65,1437067246923,-47.659,8.238,-18.17
66,1437067246944,-47.659,8.238,-18.17
67,1437067246960,-47.659,8.238,-18.17
68,1437067246980,-47.659,8.238,-18.17
69,1437067247003,-47.659,8.238,-18.17
70,1437067247023,-47.659,8.238,-18.17
71,1437067247045,-47.659,8.238,-18.17
72,1437067247061,-47.659,8.238,-18.501
73,1437067247084,-47.659,8.238,-18.501
74,1437067247153,-47.659,8.238,-18.501
75,1437067247154,-47.659,8.238,-18.501
76,1437067247155,-47.659,8.238,-18.501
77,1437067247163,-47.659,8.238,-18.501
78,1437067247182,-47.659,8.238,-18.501
79,1437067247205,-47.659,8.238,-18.501
80,1437067247220,-47.659,8.238,-18.501
81,1437067247240,-47.659,8.238,-18.501
82,1437067247272,-47.659,8.238,-18.501
83,1437067247281,-47.659,8.238,-18.501
84,1437067247307,-47.659,8.238,-18.501
85,1437067247322,-47.659,8.238,-18.501
86,1437067247341,-47.659,8.238,-18.501
87,1437067247360,-47.659,8.238,-18.501
88,1437067247383,-47.659,8.238,-18.501
89,1437067247401,-47.659,8.238,-18.501
90,1437067247423,-47.659,8.238,-18.501
91,1437067247441,-47.659,8.238,-18.501
92,1437067247463,-47.659,8.238,-18.501
93,1437067247484,-47.659,8.238,-18.501
94,1437067247503,-47.659,8.238,-18.501
95,1437067247521,-47.659,8.238,-18.501
96,1437067247542,-47.659,8.238,-18.501
97,1437067247561,-47.659,7.928,-18.501
98,1437067247584,-47.659,7.928,-18.501
99,1437067247603,-47.659,7.928,-18.501
100,1437067247623,-47.659,7.928,-18.501
101,1437067247644,-47.659,7.928,-18.501
102,1437067247662,-47.659,7.928,-18.501
103,1437067247684,-47.659,7.928,-18.501
104,1437067247702,-47.659,7.928,-18.501
105,1437067247722,-47.659,7.928,-18.501
106,1437067247744,-47.659,7.928,-18.501
107,1437067247763,-47.659,7.928,-18.501
108,1437067247783,-47.659,7.928,-18.501
109,1437067247810,-47.659,7.928,-18.501
110,1437067247865,-47.659,7.928,-18.501
111,1437067247866,-47.659,7.928,-18.501
112,1437067247867,-47.659,7.928,-18.501
113,1437067247887,-47.659,7.928,-18.501
114,1437067247901,-47.659,7.928,-18.501
115,1437067247921,-47.659,7.928,-18.501
116,1437067247941,-47.659,7.928,-18.501
117,1437067247961,-47.659,7.928,-18.501
118,1437067247983,-47.659,7.928,-18.501
119,1437067248004,-47.659,7.928,-18.501
120,1437067248023,-47.659,7.928,-18.501
121,1437067248041,-47.659,7.928,-18.501
122,1437067248063,-47.659,7.928,-18.501
123,1437067248081,-47.659,7.928,-18.501
124,1437067248105,-47.659,7.928,-18.501
125,1437067248122,-47.659,7.928,-18.501
126,1437067248143,-47.659,7.928,-18.501
127,1437067248164,-47.659,7.928,-18.501
128,1437067248183,-47.659,7.928,-18.501
129,1437067248204,-47.659,7.928,-18.501
130,1437067248222,-47.659,7.928,-18.501
131,1437067248243,-47.659,7.928,-18.121
132,1437067248264,-47.659,7.928,-18.121
133,1437067248284,-47.659,7.928,-18.121
134,1437067248305,-47.659,7.928,-18.121
135,1437067248324,-47.659,7.928,-18.121
136,1437067248345,-47.659,7.928,-18.121
137,1437067248367,-47.659,7.928,-18.121
138,1437067248384,-47.659,7.928,-18.121
139,1437067248410,-47.659,7.928,-18.121
140,1437067248423,-47.659,7.928,-18.121
141,1437067248445,-47.659,7.928,-18.121
142,1437067248467,-47.659,7.928,-18.121
143,1437067248486,-47.659,7.928,-18.121
144,1437067248506,-47.659,7.928,-18.121
145,1437067248523,-47.659,7.928,-18.121
146,1437067248544,-47.659,7.928,-18.121
147,1437067248616,-47.659,7.928,-18.121
148,1437067248617,-47.659,7.928,-18.121
149,1437067248618,-47.659,7.928,-18.121
150,1437067248624,-47.659,7.928,-18.121
151,1437067248644,-47.659,7.928,-18.121
152,1437067248663,-47.659,7.928,-18.121
153,1437067248682,-47.659,7.928,-18.121
154,1437067248707,-47.659,7.928,-18.121
155,1437067248722,-47.659,7.928,-18.121
156,1437067248742,-47.659,7.928,-18.121
157,1437067248763,-47.659,7.928,-18.121
158,1437067248783,-47.659,8.238,-18.121
159,1437067248802,-47.659,8.238,-18.121
160,1437067248824,-47.659,8.238,-18.121
161,1437067248845,-47.659,8.238,-18.121
162,1437067248865,-47.659,8.238,-18.121
163,1437067248884,-47.659,8.238,-18.121
164,1437067248906,-47.659,8.238,-18.121
165,1437067248922,-47.659,8.238,-18.121
166,1437067248945,-47.659,8.569,-18.121
167,1437067248965,-47.659,8.569,-18.121
168,1437067248984,-47.659,8.569,-18.121
169,1437067249009,-47.659,8.569,-18.121
170,1437067249023,-47.659,8.908,-17.73
171,1437067249045,-47.659,8.908,-17.73
172,1437067249065,-47.659,8.908,-17.73
173,1437067249085,-47.659,8.908,-17.73
174,1437067249105,-47.659,9.257,-17.381
175,1437067249127,-47.659,9.257,-17.381
176,1437067249145,-47.659,9.257,-17.381
177,1437067249165,-47.659,9.257,-17.381
178,1437067249184,-47.659,9.599,-17.041
179,1437067249205,-47.659,9.599,-17.041
180,1437067249226,-47.659,9.599,-17.041
181,1437067249243,-47.659,9.599,-17.041
182,1437067249273,-47.659,9.907,-16.616
183,1437067249377,-47.659,9.907,-16.616
184,1437067249378,-47.659,9.907,-16.616
185,1437067249379,-47.659,9.907,-16.278
186,1437067249380,-47.659,9.907,-16.278
187,1437067249381,-47.659,10.301,-16.278
188,1437067249410,-47.659,10.301,-16.278
189,1437067249411,-47.659,10.301,-16.278
190,1437067249423,-47.659,10.301,-16.278
191,1437067249444,-47.659,10.301,-16.278
192,1437067249463,-47.659,10.653,-15.946
193,1437067249483,-47.659,10.653,-15.946
194,1437067249506,-47.659,10.653,-15.946
195,1437067249523,-47.659,10.653,-15.617
196,1437067249543,-47.659,10.653,-15.617
197,1437067249562,-47.659,10.653,-15.617
198,1437067249583,-47.659,10.653,-15.617
199,1437067249604,-47.659,10.653,-15.312
200,1437067249622,-47.978,10.653,-15.312
201,1437067249643,-47.978,10.653,-15.312
202,1437067249662,-47.978,10.653,-15.312
203,1437067249683,-47.978,10.653,-15.312
204,1437067249706,-47.978,10.653,-15.312
205,1437067249726,-47.978,10.653,-14.982
206,1437067249746,-47.978,10.653,-14.982
207,1437067249764,-48.336,10.304,-14.982
208,1437067249789,-48.336,10.304,-14.558
209,1437067249806,-48.336,10.304,-14.558
210,1437067249827,-48.336,9.884,-14.558
211,1437067249849,-48.649,9.884,-14.212
212,1437067249864,-48.649,9.884,-14.212
213,1437067249886,-48.649,9.884,-13.815
214,1437067249903,-48.649,9.512,-12.992
215,1437067249923,-49.006,9.512,-11.906
216,1437067249943,-49.006,9.512,-11.535
217,1437067249969,-49.006,9.512,-11.923
218,1437067249989,-49.006,9.127,-11.923
219,1437067250009,-49.342,9.127,-10.952
220,1437067250025,-49.342,9.127,-10.952
221,1437067250046,-49.342,8.721,-9.747
222,1437067250124,-49.67,8.721,-9.747
223,1437067250125,-49.67,8.721,-9.4
224,1437067250126,-49.67,8.403,-9.4
225,1437067250127,-49.996,8.403,-9.904
226,1437067250148,-49.996,8.403,-9.904
227,1437067250172,-49.996,8.403,-10.299
228,1437067250184,-49.996,8.0,-10.299
229,1437067250203,-50.317,8.0,-10.299
230,1437067250238,-50.317,8.0,-10.299
231,1437067250244,-50.317,8.0,-9.924
232,1437067250265,-50.317,8.0,-9.924
233,1437067250284,-50.317,7.688,-9.924
234,1437067250309,-50.317,7.688,-9.924
235,1437067250326,-50.317,7.688,-9.924
236,1437067250350,-50.317,7.688,-10.621
237,1437067250367,-50.317,7.688,-11.103
238,1437067250385,-50.317,7.688,-11.64
239,1437067250412,-50.317,7.688,-12.38
240,1437067250425,-50.317,7.688,-13.128
241,1437067250446,-50.013,7.688,-13.586
242,1437067250466,-50.013,8.036,-13.586
243,1437067250486,-50.013,8.036,-13.586
244,1437067250505,-49.687,8.036,-13.586
