id,attr_time,attr_x,attr_y,attr_z
1,1436599548956,37.667,-16.981,11.387
2,1436599548976,37.667,-16.981,11.387
3,1436599548996,37.667,-16.981,11.387
4,1436599549016,37.667,-16.981,11.387
5,1436599549036,37.667,-16.981,11.387
6,1436599549056,37.667,-16.981,11.387
7,1436599549078,37.667,-16.981,11.387
8,1436599549098,37.667,-16.981,11.387
9,1436599549119,37.667,-16.981,11.387
10,1436599549138,37.667,-16.981,11.387
11,1436599549160,37.667,-16.981,11.387
12,1436599549180,37.667,-16.981,11.387
13,1436599549197,37.667,-16.981,11.387
14,1436599549218,37.667,-16.981,11.387
15,1436599549239,37.667,-16.981,11.387
16,1436599549259,37.973,-16.981,11.387
17,1436599549279,37.973,-16.981,11.387
18,1436599549297,37.973,-16.981,11.387
19,1436599549320,37.973,-16.981,11.387
20,1436599549339,37.973,-16.981,11.387
21,1436599549359,37.973,-16.981,11.387
22,1436599549377,37.973,-16.981,11.387
23,1436599549400,37.973,-16.981,11.387
24,1436599549420,37.973,-16.981,11.387
25,1436599549441,37.973,-16.981,11.387
26,1436599549461,37.973,-16.981,11.387
27,1436599549481,37.973,-16.981,11.387
28,1436599549499,37.973,-16.981,11.387
29,1436599549518,37.973,-16.981,11.387
30,1436599549541,37.973,-16.981,11.387
31,1436599549561,37.973,-16.981,11.387
32,1436599549581,37.973,-16.981,11.387
33,1436599549601,37.973,-16.981,11.387
34,1436599549622,37.973,-16.981,11.387
35,1436599549641,38.298,-16.981,11.387
36,1436599549659,38.298,-16.981,11.387
37,1436599549679,38.298,-16.981,11.387
38,1436599549699,38.298,-16.981,11.387
39,1436599549718,38.298,-16.981,11.387
40,1436599549739,38.298,-16.981,11.387
41,1436599549759,38.298,-16.981,11.387
42,1436599549782,38.298,-16.981,11.387
43,1436599549811,38.298,-16.981,11.387
44,1436599549819,38.298,-16.981,11.387
45,1436599549839,38.298,-16.981,11.387
46,1436599549859,38.298,-16.981,11.387
47,1436599549878,38.298,-16.981,11.387
48,1436599549899,38.298,-16.981,11.387
49,1436599549920,38.298,-16.981,11.387
50,1436599549939,38.298,-16.981,11.387
51,1436599549960,38.298,-16.981,11.387
52,1436599549982,38.298,-16.981,11.387
53,1436599550002,38.298,-16.981,11.387
54,1436599550021,38.298,-16.981,11.7
55,1436599550038,38.298,-16.981,11.7
56,1436599550059,38.298,-16.981,11.7
57,1436599550081,38.298,-16.981,11.7
58,1436599550102,38.298,-16.981,11.7
59,1436599550121,38.298,-16.981,11.7
60,1436599550141,38.298,-16.981,11.7
61,1436599550161,38.298,-16.981,11.7
62,1436599550178,38.298,-16.981,11.7
63,1436599550201,38.298,-16.981,11.7
64,1436599550222,38.298,-16.981,11.7
65,1436599550241,38.298,-16.981,11.375
66,1436599550262,38.298,-16.981,11.375
67,1436599550281,38.298,-16.981,11.375
68,1436599550300,38.298,-16.981,11.375
69,1436599550321,38.298,-16.981,11.375
70,1436599550344,38.298,-16.981,11.375
71,1436599550408,38.298,-16.981,11.375
72,1436599550410,38.298,-16.981,11.375
73,1436599550411,38.298,-16.981,11.375
74,1436599550419,38.298,-16.981,11.375
75,1436599550439,38.298,-16.981,11.375
76,1436599550460,38.298,-16.981,11.375
77,1436599550522,38.298,-16.981,11.375
78,1436599550523,38.298,-16.981,11.375
79,1436599550524,38.298,-16.981,11.375
80,1436599550539,38.298,-16.981,11.375
81,1436599550561,38.298,-16.981,11.375
82,1436599550579,38.298,-16.981,11.375
83,1436599550600,38.298,-16.981,11.375
84,1436599550630,38.298,-16.981,11.375
85,1436599550644,38.298,-16.981,11.375
86,1436599550660,38.298,-16.981,11.375
87,1436599550761,38.298,-16.981,11.375
88,1436599550762,38.298,-16.981,11.375
89,1436599550763,38.298,-16.981,11.375
90,1436599550764,38.298,-16.981,11.375
91,1436599550765,38.298,-16.981,11.375
92,1436599550779,38.298,-16.981,11.375
93,1436599550800,38.298,-16.981,11.375
94,1436599550819,38.298,-16.981,11.375
95,1436599550840,38.298,-16.981,11.375
96,1436599550860,38.298,-16.981,11.375
97,1436599550879,38.298,-16.981,11.375
98,1436599550900,38.298,-16.981,11.375
99,1436599550920,38.298,-16.981,11.375
100,1436599550938,38.298,-16.981,11.375
101,1436599550959,38.298,-16.981,11.375
102,1436599550978,38.298,-16.981,11.375
103,1436599550999,38.298,-16.981,11.375
104,1436599551018,38.298,-16.981,11.375
105,1436599551038,38.298,-16.981,11.375
106,1436599551058,38.298,-16.981,11.375
107,1436599551078,38.298,-16.981,11.375
108,1436599551099,37.988,-16.981,11.375
109,1436599551119,37.988,-16.981,11.375
110,1436599551139,37.988,-16.981,11.375
111,1436599551159,37.988,-16.981,11.375
112,1436599551179,37.988,-16.981,11.375
113,1436599551199,37.988,-16.981,11.375
114,1436599551219,37.988,-16.981,11.375
115,1436599551239,37.988,-16.981,11.698
116,1436599551259,37.988,-16.981,11.698
117,1436599551279,37.988,-16.981,11.698
118,1436599551299,37.988,-16.981,11.698
119,1436599551319,37.988,-16.981,11.698
120,1436599551339,37.637,-16.981,11.698
121,1436599551359,37.637,-16.981,11.698
122,1436599551379,37.637,-16.981,11.698
123,1436599551399,37.637,-16.981,11.698
124,1436599551419,37.637,-16.981,11.698
125,1436599551439,37.637,-16.981,11.698
126,1436599551459,37.637,-16.981,11.698
127,1436599551479,37.637,-16.981,11.698
128,1436599551499,37.637,-16.981,11.698
129,1436599551519,37.637,-16.981,11.698
130,1436599551539,37.637,-16.981,11.698
131,1436599551559,37.637,-16.981,11.698
132,1436599551579,37.637,-16.981,11.698
133,1436599551599,37.637,-16.981,11.698
134,1436599551619,37.637,-16.981,11.698
135,1436599551639,37.637,-16.981,11.698
136,1436599551659,37.637,-16.981,11.698
137,1436599551679,37.637,-16.981,11.698
138,1436599551699,37.637,-16.981,11.698
139,1436599551719,37.637,-16.981,11.384
140,1436599551739,37.637,-16.981,11.384
141,1436599551759,37.637,-16.981,11.384
142,1436599551779,37.637,-16.981,11.384
143,1436599551799,37.637,-16.981,11.384
144,1436599551819,37.637,-16.981,11.384
145,1436599551839,37.637,-16.981,11.384
146,1436599551859,37.637,-16.981,11.384
147,1436599551879,37.637,-16.981,11.384
148,1436599551899,37.637,-16.981,11.384
149,1436599551919,37.637,-16.981,11.384
150,1436599551939,37.637,-16.981,11.384
151,1436599551959,37.637,-16.981,11.384
152,1436599551979,37.637,-16.981,11.384
153,1436599551999,37.637,-16.981,11.384
154,1436599552019,37.637,-16.981,11.384
155,1436599552039,37.637,-16.981,11.384
156,1436599552059,37.637,-16.981,11.384
157,1436599552079,37.637,-16.981,11.384
158,1436599552099,37.637,-16.981,11.384
159,1436599552119,37.637,-16.981,11.384
160,1436599552139,37.637,-16.981,11.384
161,1436599552159,37.637,-16.981,11.384
162,1436599552182,37.637,-16.981,11.384
163,1436599552200,37.637,-16.981,11.384
164,1436599552220,37.637,-16.981,11.384
165,1436599552240,37.637,-16.981,11.384
166,1436599552260,37.637,-16.981,11.384
167,1436599552280,37.637,-16.981,11.384
168,1436599552300,37.637,-16.981,11.384
