id,attr_time,attr_x,attr_y,attr_z
1,1437500851922,29.9896,25.7446,-15.2786
2,1437500851944,30.5145,26.6235,-16.4551
3,1437500851963,28.5873,26.4465,-15.6143
4,1437500851982,28.5873,26.4465,-15.6143
5,1437500852000,30.8655,25.5676,-15.4465
6,1437500852022,31.7413,26.0956,-13.5971
7,1437500852043,31.7413,26.0956,-13.5971
8,1437500852061,29.2877,26.4465,-15.6143
9,1437500852081,29.8141,26.9745,-14.7736
10,1437500852101,29.8141,26.9745,-14.7736
11,1437500852121,31.3904,27.5024,-15.2786
12,1437500852143,28.7628,27.6779,-14.1006
13,1437500852160,28.7628,27.6779,-14.1006
14,1437500852179,30.3391,28.2043,-15.2786
15,1437500852201,29.2877,26.799,-15.9515
16,1437500852219,29.2877,26.799,-15.9515
17,1437500852242,30.8655,27.3254,-14.7736
18,1437500852260,28.9383,25.7446,-15.2786
19,1437500852279,28.9383,25.7446,-15.2786
20,1437500852299,31.2149,26.6235,-15.7822
21,1437500852317,29.8141,27.3254,-15.7822
22,1437500852341,29.8141,27.3254,-15.7822
23,1437500852357,29.8141,26.6235,-16.4551
24,1437500852378,28.4119,27.3254,-13.765
25,1437500852398,28.4119,27.3254,-13.765
26,1437500852417,29.6387,26.799,-16.2872
27,1437500852438,29.4632,26.6235,-14.7736
28,1437500852457,29.4632,26.6235,-14.7736
29,1437500852477,29.9896,27.8534,-15.2786
30,1437500852497,29.9896,27.8534,-14.9414
31,1437500852516,29.9896,27.8534,-14.9414
32,1437500852536,28.5873,28.2043,-13.9328
33,1437500852556,28.2364,27.15,-14.27
34,1437500852576,28.2364,27.15,-14.27
35,1437500852595,29.9896,28.2043,-14.6057
36,1437500852616,26.4847,27.8534,-13.2599
37,1437500852634,26.4847,27.8534,-13.2599
38,1437500852655,28.5873,27.8534,-14.27
39,1437500852675,29.1138,27.6779,-13.4293
40,1437500852694,29.1138,27.6779,-13.4293
41,1437500852714,27.1866,27.8534,-12.9242
42,1437500852735,26.6602,26.6235,-11.0748
43,1437500852754,26.6602,26.6235,-11.0748
44,1437500852774,28.0624,27.3254,-12.7563
45,1437500852794,28.2364,26.799,-11.2427
46,1437500852811,28.2364,26.799,-11.2427
47,1437500852833,27.3605,26.9745,-11.4105
48,1437500852851,26.6602,27.6779,-11.0748
49,1437500852872,26.6602,27.6779,-11.0748
50,1437500852892,26.3092,29.0833,-7.71027
51,1437500852911,25.9598,30.1392,-7.71027
52,1437500852932,25.9598,30.1392,-7.71027
53,1437500852950,25.6088,29.0833,-8.7204
54,1437500852974,22.6303,30.6656,-5.8609
55,1437500852991,22.6303,30.6656,-5.8609
56,1437500853011,22.4564,30.8411,-4.34723
57,1437500853031,21.0541,30.1392,-5.35736
58,1437500853050,21.0541,30.1392,-5.35736
59,1437500853072,20.3537,31.897,-4.68445
60,1437500853090,18.9514,30.1392,-4.34723
61,1437500853109,18.9514,30.1392,-4.34723
62,1437500853130,17.7246,32.4234,-2.83356
63,1437500853150,15.097,33.6548,-2.66571
64,1437500853170,15.097,33.6548,-2.66571
65,1437500853188,15.7989,34.0057,-1.32141
66,1437500853209,12.645,33.6548,-0.648499
67,1437500853229,12.645,33.6548,-0.648499
68,1437500853248,12.1185,35.2356,0.192261
69,1437500853270,8.61511,33.4778,2.211
70,1437500853288,8.61511,33.4778,2.211
71,1437500853307,8.26416,34.5337,0.52948
72,1437500853328,2.83356,33.3023,1.03302
73,1437500853347,2.83356,33.3023,1.03302
74,1437500853369,1.9577,35.2356,0.52948
75,1437500853387,-2.07214,32.5989,1.70593
76,1437500853406,-2.07214,32.5989,1.70593
77,1437500853427,-1.89667,34.1812,2.88391
78,1437500853445,-3.64838,34.8846,2.88391
79,1437500853468,-3.64838,34.8846,2.88391
80,1437500853484,-2.948,35.2356,0.865173
81,1437500853505,-4.1748,35.4126,0.0244141
82,1437500853524,-4.1748,35.4126,0.0244141
83,1437500853547,-3.4729,33.3023,-0.648499
84,1437500853565,-6.97784,33.3023,1.37024
85,1437500853584,-6.97784,33.3023,1.37024
86,1437500853605,-7.50275,32.7759,0.865173
87,1437500853624,-8.20312,34.5337,0.52948
88,1437500853644,-8.20312,34.5337,0.52948
89,1437500853663,-6.97784,32.5989,0.0244141
90,1437500853684,-5.92651,33.3023,1.03302
91,1437500853704,-5.92651,33.3023,1.03302
92,1437500853723,-5.40009,33.4778,3.2196
93,1437500853745,-5.57556,34.3567,5.40619
94,1437500853760,-5.57556,34.3567,5.40619
95,1437500853782,-8.02765,33.6548,5.40619
96,1437500853802,-9.78088,32.2479,5.06897
97,1437500853822,-9.78088,32.2479,5.06897
98,1437500853842,-12.0575,30.6656,5.23834
99,1437500853861,-13.1088,31.369,5.23834
100,1437500853880,-13.1088,31.369,5.23834
101,1437500853901,-13.9847,30.4901,6.41479
102,1437500853921,-10.3058,32.0725,5.57404
103,1437500853943,-10.3058,32.0725,5.57404
104,1437500853960,-9.25446,31.369,0.192261
105,1437500853979,-8.55408,33.8303,0.865173
106,1437500854000,-8.55408,33.8303,0.865173
107,1437500854019,-12.0575,34.1812,1.53809
108,1437500854040,-14.8605,31.72,0.52948
109,1437500854059,-14.8605,31.72,0.52948
110,1437500854077,-15.5624,29.9622,1.87378
111,1437500854099,-15.387,28.0289,-1.6571
112,1437500854117,-15.387,28.0289,-1.6571
113,1437500854140,-18.7149,28.9078,-3.50647
114,1437500854158,-19.2413,27.3254,-5.02014
115,1437500854177,-19.2413,27.3254,-5.02014
116,1437500854198,-19.5908,27.6779,-2.66571
117,1437500854218,-16.9632,28.5568,0.52948
118,1437500854237,-16.9632,28.5568,0.52948
119,1437500854257,-17.8391,28.0289,4.06036
120,1437500854277,-17.3141,27.15,7.59125
121,1437500854296,-17.3141,27.15,7.59125
122,1437500854316,-15.9119,28.5568,10.2829
123,1437500854337,-16.4383,28.7323,5.40619
124,1437500854356,-16.4383,28.7323,5.40619
125,1437500854375,-14.8605,29.2603,6.91986
126,1437500854394,-12.9334,31.5445,4.39758
127,1437500854415,-12.9334,31.5445,4.39758
128,1437500854437,-11.882,33.6548,-1.6571
129,1437500854455,-10.8322,32.2479,-6.02875
130,1437500854474,-10.8322,32.2479,-6.02875
131,1437500854495,-9.78088,32.5989,-4.68445
132,1437500854514,-9.07898,34.0057,-5.35736
133,1437500854534,-9.07898,34.0057,-5.35736
134,1437500854554,-9.07898,32.5989,-5.02014
135,1437500854574,-10.4813,32.2479,-6.36597
136,1437500854593,-10.4813,32.2479,-6.36597
137,1437500854612,-9.25446,32.4234,-7.54242
138,1437500854633,-6.45142,32.7759,-7.20673
139,1437500854652,-6.45142,32.7759,-7.20673
140,1437500854672,-6.45142,33.8303,-4.51508
141,1437500854691,-5.92651,34.0057,-0.984192
142,1437500854710,-5.92651,34.0057,-0.984192
143,1437500854732,-7.15179,32.4234,2.54669
144,1437500854751,-9.42993,33.3023,4.73328
145,1437500854774,-9.42993,33.3023,4.73328
146,1437500854791,-8.72955,31.1935,5.74188
147,1437500854811,-10.4813,33.3023,5.06897
148,1437500854831,-10.4813,33.3023,5.06897
149,1437500854849,-7.50275,32.7759,2.54669
