id,attr_time,attr_x,attr_y,attr_z
1,1437500851935,16.954,-37.014,-1.217
2,1437500851956,16.954,-37.014,-1.217
3,1437500851975,16.954,-37.014,-1.217
4,1437500851998,16.954,-37.014,-1.217
5,1437500852014,16.954,-37.014,-1.217
6,1437500852035,16.954,-37.014,-1.217
7,1437500852055,16.954,-37.014,-1.217
8,1437500852086,16.954,-37.014,-1.217
9,1437500852141,16.954,-37.014,-1.217
10,1437500852142,16.954,-37.014,-1.217
11,1437500852143,16.954,-37.014,-1.217
12,1437500852162,16.954,-37.014,-1.217
13,1437500852173,16.954,-37.014,-1.217
14,1437500852196,16.954,-37.014,-1.217
15,1437500852214,16.954,-37.014,-1.217
16,1437500852234,16.954,-37.014,-1.217
17,1437500852254,16.954,-37.014,-1.217
18,1437500852273,16.954,-37.014,-1.217
19,1437500852297,16.954,-37.014,-1.217
20,1437500852320,16.954,-37.014,-1.217
21,1437500852334,16.954,-37.014,-1.217
22,1437500852354,16.954,-37.014,-1.217
23,1437500852375,16.954,-37.014,-1.217
24,1437500852435,16.954,-37.014,-1.217
25,1437500852436,16.954,-37.014,-1.217
26,1437500852437,16.954,-37.014,-1.217
27,1437500852454,16.954,-37.014,-1.217
28,1437500852474,16.954,-37.014,-1.217
29,1437500852495,16.954,-37.014,-1.217
30,1437500852514,16.954,-37.014,-1.217
31,1437500852534,16.954,-37.014,-1.217
32,1437500852554,16.954,-37.014,-1.217
33,1437500852573,16.954,-37.014,-1.217
34,1437500852594,16.954,-37.014,-1.217
35,1437500852613,16.954,-37.014,-1.217
36,1437500852633,16.954,-37.014,-1.217
37,1437500852653,16.954,-37.014,-1.217
38,1437500852673,16.954,-37.014,-1.217
39,1437500852693,16.954,-37.014,-1.217
40,1437500852713,16.954,-37.014,-1.217
41,1437500852733,16.954,-37.014,-1.217
42,1437500852753,16.954,-37.014,-1.217
43,1437500852773,16.954,-37.014,-1.217
44,1437500852793,16.954,-37.014,-1.217
45,1437500852813,16.954,-37.014,-1.531
46,1437500852834,16.954,-37.014,-1.531
47,1437500852853,16.954,-37.014,-1.531
48,1437500852873,16.954,-37.014,-1.531
49,1437500852894,16.954,-37.014,-1.531
50,1437500852915,16.954,-37.014,-1.531
51,1437500852933,16.954,-37.014,-1.531
52,1437500852953,16.954,-37.014,-1.531
53,1437500852973,16.954,-37.014,-1.531
54,1437500852993,16.954,-37.014,-1.531
55,1437500853013,16.954,-37.014,-1.531
56,1437500853034,16.954,-37.014,-1.531
57,1437500853053,16.644,-37.014,-1.531
58,1437500853073,16.644,-37.014,-1.531
59,1437500853093,16.644,-37.014,-1.531
60,1437500853113,16.644,-37.014,-1.531
61,1437500853133,16.644,-37.014,-1.531
62,1437500853154,16.644,-37.014,-1.531
63,1437500853173,16.644,-37.014,-1.531
64,1437500853193,16.644,-37.014,-1.531
65,1437500853213,16.644,-37.014,-1.531
66,1437500853233,16.644,-37.014,-1.531
67,1437500853253,16.644,-37.014,-1.531
68,1437500853276,16.644,-37.014,-1.531
69,1437500853296,16.644,-37.014,-1.531
70,1437500853316,16.644,-37.014,-1.531
71,1437500853336,16.644,-37.014,-1.531
72,1437500853353,16.644,-37.014,-1.531
73,1437500853377,16.644,-37.014,-1.531
74,1437500853394,16.644,-37.014,-1.531
75,1437500853417,16.644,-37.014,-1.531
76,1437500853475,16.644,-37.014,-1.531
77,1437500853476,16.644,-37.014,-1.531
78,1437500853477,16.644,-37.014,-1.531
