id,attr_time,attr_lat,attr_lng
1,1436625489000,49.44983274,8.89837176
2,1436625500000,49.44983288,8.89837944
3,1436625511000,49.44983129,8.89838707
4,1436625519000,49.44982929,8.89839589
5,1436625522850,49.4440703,8.9008422
6,1436625544000,49.44981557,8.89848614
7,1436625558000,49.44978788,8.89859469
8,1436625576130,49.44960435,8.89839095
9,1436625583489,49.4440703,8.9008422
10,1436625587000,49.44980013,8.89851346
11,1436625597000,49.44972858,8.89847678
12,1436625608000,49.44959536,8.89844509
13,1436625618000,49.44949499,8.89838743
14,1436625629000,49.44935891,8.89841304
15,1436625638000,49.44926695,8.89842342
16,1436625648000,49.44925927,8.89838933
17,1436625658000,49.4492352,8.89833727
18,1436625669000,49.44912559,8.89843785
19,1436625681000,49.44917005,8.89840954
20,1436625692000,49.44905222,8.89852995
21,1436625703000,49.4489284,8.8986469
22,1436625713000,49.44886461,8.89874752
23,1436625723000,49.44872973,8.89871817
24,1436625734000,49.44869299,8.89849635
25,1436625744000,49.44876919,8.89867113
26,1436625753128,49.44869922,8.89866724
27,1436625765127,49.44884721,8.89873091
28,1436625775127,49.44895981,8.89896628
29,1436625785127,49.44898238,8.89895413
30,1436625796000,49.44896492,8.89910418
31,1436625808000,49.44909016,8.89956641
32,1436625819000,49.44905277,8.89926206
33,1436625829000,49.44910056,8.8992628
34,1436625841000,49.44906955,8.89938708
35,1436625852000,49.44893828,8.89950045
36,1436625863000,49.44891711,8.89952938
37,1436625873000,49.44886252,8.89959846
38,1436625884000,49.44884101,8.89957544
39,1436625895000,49.44905275,8.89984138
40,1436625905000,49.44912118,8.89991154
41,1436625916000,49.44892432,8.89980063
42,1436625927000,49.44885093,8.89990853
43,1436625937000,49.44886996,8.89981203
44,1436625948000,49.44891412,8.89978399
45,1436625958000,49.44889272,8.89982221
46,1436625969000,49.44889073,8.89983361
47,1436625978000,49.44888294,8.89985253
