id,attr_time,attr_lat,attr_lng
1,1436625487000,49.44974006,8.8982678
2,1436625516000,49.44974538,8.89828435
3,1436625586000,49.44974032,8.89830809
4,1436625606000,49.44972989,8.89830296
5,1436625618000,49.44968371,8.89833563
6,1436625627000,49.4496521,8.89833715
7,1436625637000,49.44964162,8.89835218
8,1436625648000,49.44963516,8.89835666
9,1436625659000,49.44949837,8.89836893
10,1436625670000,49.44913213,8.89831735
11,1436625679000,49.44905821,8.8984313
12,1436625694000,49.44887288,8.89857227
13,1436625699000,49.44880914,8.89859731
14,1436625718000,49.44885824,8.89901149
15,1436625723000,49.44880357,8.89851178
16,1436625735000,49.44866357,8.89861402
17,1436625744000,49.44860742,8.89874499
18,1436625752000,49.44865208,8.8987085
19,1436625765000,49.44875923,8.89865037
20,1436625774000,49.44882858,8.89869243
21,1436625784000,49.44889702,8.89876213
22,1436625795000,49.44896225,8.89881961
23,1436625806000,49.44879056,8.89905045
24,1436625816000,49.44892999,8.89912269
25,1436625826000,49.44896836,8.89918619
26,1436625835000,49.44898624,8.89926326
27,1436625845000,49.44901136,8.89930999
28,1436625856000,49.44903517,8.89932919
29,1436625867000,49.44904308,8.89932299
30,1436625876000,49.44904727,8.89931608
31,1436625888000,49.44905538,8.8993766
32,1436625898000,49.44905528,8.89940609
33,1436625907000,49.44904471,8.8994584
34,1436625928000,49.44905449,8.89948285
35,1436625945000,49.44907347,8.89950898
36,1436625949000,49.4490734,8.89951689
37,1436625961000,49.44907689,8.89952111
38,1436625973000,49.44907474,8.89953781
