id,attr_time,attr_lat,attr_lng
1,1436619045000,49.44868805,8.9001474
2,1436619055000,49.4486894,8.90014442
3,1436619060000,49.4486894,8.90014441
4,1436619072000,49.44872484,8.900072
5,1436619082000,49.44872482,8.90007263
6,1436619115000,49.4487915,8.89994024
7,1436619133000,49.44879183,8.89993983
8,1436619138000,49.44879175,8.89993992
9,1436619152000,49.44880772,8.89988518
10,1436619160000,49.44883326,8.89984134
11,1436619173000,49.44883105,8.89985101
12,1436619182000,49.44883196,8.89985601
13,1436619191000,49.4488331,8.89985351
14,1436619213000,49.44883464,8.89985039
15,1436619235000,49.44894665,8.89970009
16,1436619256000,49.44899061,8.89964003
17,1436619278000,49.44899938,8.89960144
18,1436619312000,49.44900071,8.89959963
19,1436619332000,49.44900183,8.89959675
20,1436619352000,49.44900918,8.89957818
21,1436619357000,49.44897702,8.89822451
22,1436619368000,49.44938998,8.8983537
23,1436619377000,49.44965142,8.89825099
24,1436619387000,49.44962301,8.89841032
25,1436619403000,49.44949323,8.8984619
26,1436619407000,49.44948079,8.89848828
27,1436619435000,49.44974261,8.89840786
28,1436619515000,49.44982753,8.89827934
29,1436619561000,49.44967691,8.89848782
