id,attr_time,attr_lat,attr_lng
1,1436619020000,49.44875589,8.90003546
2,1436619027000,49.4487561,8.90003496
3,1436619036000,49.44875726,8.90003352
4,1436619046000,49.44875903,8.90002847
5,1436619057000,49.44876146,8.90001732
6,1436619068000,49.44872843,8.89996417
7,1436619078000,49.4488678,8.89966023
8,1436619087000,49.44884737,8.89954137
9,1436619099000,49.44893271,8.89951658
10,1436619108000,49.44878993,8.8994978
11,1436619118000,49.44879177,8.89945643
12,1436619128000,49.44886966,8.89933002
13,1436619138000,49.44891776,8.89933035
14,1436619149000,49.44893024,8.899316
15,1436619159000,49.44895086,8.89928604
16,1436619169000,49.44887944,8.89912985
17,1436619180000,49.44897341,8.89909316
18,1436619190000,49.44894903,8.89909852
19,1436619200000,49.44889527,8.89902009
20,1436619210000,49.44891186,8.89901739
21,1436619220000,49.44873398,8.89881367
22,1436619230214,49.44880444,8.89885862
23,1436619241000,49.4487867,8.89847886
24,1436619251000,49.44875826,8.89853597
25,1436619261000,49.4486652,8.89840213
26,1436619273000,49.44867296,8.89843247
27,1436619282000,49.4487222,8.89837785
28,1436619292000,49.4487931,8.89840061
29,1436619302000,49.44894847,8.89830717
30,1436619313000,49.44900866,8.89834248
31,1436619323000,49.44903999,8.89840227
32,1436619333000,49.4490855,8.89836052
33,1436619343000,49.44913169,8.89834416
34,1436619354000,49.44908167,8.89810922
35,1436619363000,49.44919589,8.89821291
36,1436619374000,49.44935877,8.89822936
37,1436619384000,49.44934914,8.89822027
38,1436619395000,49.44944685,8.89833713
39,1436619405000,49.44952374,8.898376
40,1436619415000,49.44973142,8.89868844
41,1436619426000,49.44963394,8.89829899
42,1436619436000,49.44965403,8.89829008
43,1436619448000,49.4496622,8.89828112
44,1436619457000,49.44966548,8.89832098
45,1436619480000,49.44966472,8.89832411
46,1436619488000,49.44968574,8.89835213
47,1436619509000,49.44973557,8.89839881
48,1436619520000,49.4497506,8.89839583
49,1436619536000,49.44968024,8.89833232
50,1436619551000,49.44979856,8.89837593
51,1436619561000,49.44979064,8.89836094
