id,attr_time,attr_lat,attr_lng
1,1436619021000,49.4488968,8.90006012
2,1436619037000,49.44886332,8.89962407
3,1436619044000,49.44884406,8.89952735
4,1436619063000,49.44866651,8.89989562
5,1436619076000,49.44902618,8.89989499
6,1436619108000,49.44889703,8.8995236
7,1436619112000,49.44886385,8.89951879
8,1436619135000,49.44915122,8.89947132
9,1436619144000,49.44915806,8.89951579
10,1436619156000,49.44907694,8.89944047
11,1436619167000,49.44889892,8.8993533
12,1436619176000,49.44890469,8.89934475
13,1436619188000,49.44898499,8.89915641
14,1436619197000,49.44905854,8.89906869
15,1436619208000,49.44906382,8.89895523
16,1436619219000,49.44901397,8.89902587
17,1436619227000,49.44907741,8.89909154
18,1436619237000,49.44904393,8.89905705
19,1436619247000,49.44893184,8.89889327
20,1436619259000,49.4488171,8.89871184
21,1436619269000,49.44881056,8.89856004
22,1436619289000,49.44870016,8.89826139
23,1436619315000,49.44903523,8.89827858
24,1436619335000,49.44878403,8.89833996
25,1436619346000,49.44910417,8.89826618
26,1436619356000,49.4491228,8.89833046
27,1436619367000,49.44928026,8.89836455
28,1436619376000,49.44935413,8.89831621
29,1436619386000,49.44939228,8.89832274
30,1436619399000,49.44931286,8.89839571
31,1436619407000,49.44956885,8.89830161
32,1436619427000,49.44979244,8.89841572
33,1436619453000,49.44970338,8.89845872
34,1436619508000,49.44982268,8.89835849
35,1436619511000,49.44983191,8.89837183
36,1436619523000,49.44978407,8.89836811
37,1436619559000,49.44965198,8.89819276
