id,attr_time,attr_light
1,1436619017633,10.0
2,1436619017662,10.0
3,1436619017663,10.0
4,1436619017681,10.0
5,1436619017707,10.0
6,1436619017734,10.0
7,1436619017742,10.0
8,1436619017767,10.0
9,1436619017783,10.0
10,1436619017802,10.0
11,1436619017821,10.0
12,1436619017841,10.0
13,1436619017862,10.0
14,1436619017881,10.0
15,1436619017902,10.0
16,1436619017922,10.0
17,1436619017942,10.0
18,1436619017962,10.0
19,1436619017982,10.0
20,1436619018007,10.0
21,1436619018023,10.0
22,1436619018042,10.0
23,1436619018061,10.0
24,1436619018081,10.0
25,1436619018101,10.0
26,1436619018121,10.0
27,1436619018141,10.0
28,1436619018161,10.0
29,1436619018181,10.0
30,1436619018202,10.0
31,1436619018222,10.0
32,1436619018243,10.0
33,1436619018272,10.0
34,1436619018282,10.0
35,1436619018333,10.0
36,1436619018334,10.0
37,1436619018353,10.0
38,1436619018362,10.0
39,1436619018382,10.0
40,1436619018401,10.0
41,1436619018421,10.0
42,1436619018447,10.0
43,1436619018461,10.0
44,1436619018482,10.0
45,1436619018504,10.0
46,1436619018528,10.0
47,1436619018551,10.0
48,1436619018563,10.0
49,1436619018582,10.0
50,1436619018603,10.0
51,1436619018623,10.0
52,1436619018642,10.0
53,1436619018662,10.0
54,1436619018683,10.0
55,1436619018702,10.0
56,1436619018723,10.0
57,1436619018741,10.0
58,1436619018761,10.0
59,1436619018781,10.0
60,1436619018801,10.0
61,1436619018821,10.0
62,1436619018841,10.0
63,1436619018861,10.0
64,1436619018881,10.0
65,1436619018901,10.0
66,1436619018921,10.0
67,1436619018941,10.0
68,1436619018961,10.0
69,1436619018981,10.0
70,1436619019014,10.0
71,1436619019027,10.0
72,1436619019044,10.0
73,1436619019061,10.0
74,1436619019082,10.0
75,1436619019101,10.0
76,1436619019121,10.0
77,1436619019141,10.0
78,1436619019161,10.0
79,1436619019181,10.0
80,1436619019201,10.0
81,1436619019222,10.0
82,1436619019241,10.0
83,1436619019261,10.0
84,1436619019281,10.0
85,1436619019301,10.0
86,1436619019321,10.0
87,1436619019341,10.0
88,1436619019361,10.0
89,1436619019381,10.0
90,1436619019401,10.0
91,1436619019421,10.0
92,1436619019446,10.0
93,1436619019462,10.0
94,1436619019484,10.0
95,1436619019502,10.0
96,1436619019524,10.0
97,1436619019543,10.0
98,1436619019563,10.0
99,1436619019583,10.0
100,1436619019603,10.0
101,1436619019628,10.0
