id,attr_time,attr_light
1,1436619017627,31.0
2,1436619017648,31.0
3,1436619017696,31.0
4,1436619017697,31.0
5,1436619017710,31.0
6,1436619017728,31.0
7,1436619017750,31.0
8,1436619017771,31.0
9,1436619017796,31.0
10,1436619017806,31.0
11,1436619017828,31.0
12,1436619017846,31.0
13,1436619017867,31.0
14,1436619017887,31.0
15,1436619017907,31.0
16,1436619017975,31.0
17,1436619017976,31.0
18,1436619017977,31.0
19,1436619017986,31.0
20,1436619018006,31.0
21,1436619018026,31.0
22,1436619018047,31.0
23,1436619018069,31.0
24,1436619018086,31.0
25,1436619018107,31.0
26,1436619018128,31.0
27,1436619018149,31.0
28,1436619018167,31.0
29,1436619018189,31.0
30,1436619018209,31.0
31,1436619018229,31.0
32,1436619018250,31.0
33,1436619018268,31.0
34,1436619018289,31.0
35,1436619018310,31.0
36,1436619018330,31.0
37,1436619018349,31.0
38,1436619018368,31.0
39,1436619018390,31.0
40,1436619018410,31.0
41,1436619018428,31.0
42,1436619018450,31.0
43,1436619018467,31.0
44,1436619018487,31.0
45,1436619018507,31.0
46,1436619018528,31.0
47,1436619018550,31.0
48,1436619018568,31.0
49,1436619018588,31.0
50,1436619018608,31.0
51,1436619018631,31.0
52,1436619018692,31.0
53,1436619018702,31.0
54,1436619018703,31.0
55,1436619018710,31.0
56,1436619018728,31.0
57,1436619018771,31.0
58,1436619018772,31.0
59,1436619018791,31.0
60,1436619018807,31.0
61,1436619018827,31.0
62,1436619018885,31.0
63,1436619018886,31.0
64,1436619018887,31.0
65,1436619018907,31.0
66,1436619018927,31.0
67,1436619018947,31.0
68,1436619018967,31.0
69,1436619018987,31.0
70,1436619019007,31.0
71,1436619019027,31.0
72,1436619019047,31.0
73,1436619019068,31.0
74,1436619019087,31.0
75,1436619019107,31.0
76,1436619019127,31.0
77,1436619019147,31.0
78,1436619019167,31.0
79,1436619019187,31.0
80,1436619019207,31.0
81,1436619019227,31.0
82,1436619019247,31.0
83,1436619019267,31.0
84,1436619019287,31.0
85,1436619019306,31.0
86,1436619019326,31.0
87,1436619019346,31.0
88,1436619019367,31.0
89,1436619019386,31.0
90,1436619019409,31.0
91,1436619019427,31.0
92,1436619019447,31.0
93,1436619019466,31.0
94,1436619019486,31.0
95,1436619019507,31.0
96,1436619019526,31.0
97,1436619019547,31.0
98,1436619019567,31.0
99,1436619019587,31.0
100,1436619019607,31.0
101,1436619019627,31.0
102,1436619019648,31.0
103,1436619019672,31.0
104,1436619019688,31.0
105,1436619019711,31.0
106,1436619019729,31.0
107,1436619019750,31.0
108,1436619019769,31.0
109,1436619019792,31.0
110,1436619019809,31.0
111,1436619019830,31.0
112,1436619019849,31.0
113,1436619019872,31.0
114,1436619019890,32.0
115,1436619019910,32.0
116,1436619019944,31.0
117,1436619019948,31.0
118,1436619019979,31.0
119,1436619019996,31.0
120,1436619020007,31.0
121,1436619020029,31.0
122,1436619020047,32.0
123,1436619020067,31.0
124,1436619020087,31.0
125,1436619020107,32.0
126,1436619020127,32.0
127,1436619020147,31.0
128,1436619020167,31.0
129,1436619020187,32.0
130,1436619020208,32.0
131,1436619020227,32.0
132,1436619020247,32.0
133,1436619020267,32.0
134,1436619020287,32.0
135,1436619020307,32.0
136,1436619020331,32.0
137,1436619020350,32.0
138,1436619020370,31.0
139,1436619020391,31.0
140,1436619020409,31.0
141,1436619020430,31.0
142,1436619020452,31.0
143,1436619020472,31.0
144,1436619020490,31.0
145,1436619020510,31.0
146,1436619020531,32.0
147,1436619020552,32.0
148,1436619020569,32.0
149,1436619020597,32.0
150,1436619020611,32.0
151,1436619020628,32.0
152,1436619020648,32.0
153,1436619020668,31.0
154,1436619020688,31.0
155,1436619020708,32.0
156,1436619020729,32.0
157,1436619020750,32.0
158,1436619020772,32.0
159,1436619020791,32.0
160,1436619020808,32.0
161,1436619020833,32.0
162,1436619020850,32.0
163,1436619020871,32.0
164,1436619020892,32.0
165,1436619020911,32.0
166,1436619020933,32.0
167,1436619020950,32.0
168,1436619020972,32.0
169,1436619020993,32.0
170,1436619021010,32.0
171,1436619021032,32.0
172,1436619021050,32.0
173,1436619021073,32.0
174,1436619021090,32.0
175,1436619021111,32.0
176,1436619021130,32.0
177,1436619021150,32.0
178,1436619021171,32.0
179,1436619021189,32.0
180,1436619021223,32.0
181,1436619021229,32.0
182,1436619021249,32.0
183,1436619021270,32.0
184,1436619021294,32.0
185,1436619021309,32.0
186,1436619021330,32.0
187,1436619021391,32.0
188,1436619021404,32.0
189,1436619021405,32.0
190,1436619021428,32.0
191,1436619021429,32.0
192,1436619021449,32.0
193,1436619021474,32.0
194,1436619021489,32.0
195,1436619021511,32.0
196,1436619021529,32.0
197,1436619021554,32.0
198,1436619021569,31.0
199,1436619021590,31.0
200,1436619021609,31.0
201,1436619021629,31.0
202,1436619021651,31.0
203,1436619021670,31.0
204,1436619021698,32.0
205,1436619021710,32.0
206,1436619021730,32.0
207,1436619021750,33.0
208,1436619021772,33.0
209,1436619021790,35.0
210,1436619021809,35.0
211,1436619021829,36.0
212,1436619021849,36.0
213,1436619021871,37.0
214,1436619021890,37.0
215,1436619021927,39.0
216,1436619021938,39.0
217,1436619021956,40.0
218,1436619021969,40.0
219,1436619021992,41.0
220,1436619022011,41.0
221,1436619022031,42.0
222,1436619022051,42.0
223,1436619022073,42.0
224,1436619022093,42.0
225,1436619022114,42.0
226,1436619022129,41.0
227,1436619022153,41.0
228,1436619022174,41.0
229,1436619022194,41.0
230,1436619022213,40.0
231,1436619022234,40.0
232,1436619022254,39.0
233,1436619022270,39.0
234,1436619022294,38.0
235,1436619022314,38.0
236,1436619022332,36.0
237,1436619022352,35.0
238,1436619022373,35.0
239,1436619022394,34.0
240,1436619022414,34.0
241,1436619022435,32.0
242,1436619022452,32.0
243,1436619022473,31.0
244,1436619022491,31.0
245,1436619022512,30.0
246,1436619022540,30.0
247,1436619022597,29.0
248,1436619022598,29.0
249,1436619022599,28.0
250,1436619022616,26.0
251,1436619022632,26.0
252,1436619022653,25.0
253,1436619022672,25.0
254,1436619022691,24.0
255,1436619022713,24.0
256,1436619022732,23.0
257,1436619022752,23.0
258,1436619022772,22.0
259,1436619022794,22.0
260,1436619022811,22.0
261,1436619022833,22.0
262,1436619022854,21.0
263,1436619022874,21.0
264,1436619022894,21.0
265,1436619022914,21.0
266,1436619022934,21.0
267,1436619022954,21.0
268,1436619022971,21.0
269,1436619023017,22.0
270,1436619023018,22.0
271,1436619023049,22.0
272,1436619023051,22.0
273,1436619023071,22.0
274,1436619023091,22.0
275,1436619023111,22.0
276,1436619023131,22.0
277,1436619023151,23.0
278,1436619023171,23.0
279,1436619023191,23.0
280,1436619023211,24.0
281,1436619023231,24.0
282,1436619023251,24.0
283,1436619023293,24.0
284,1436619023294,24.0
285,1436619023317,24.0
286,1436619023333,25.0
287,1436619023351,25.0
288,1436619023371,25.0
289,1436619023391,25.0
290,1436619023411,26.0
291,1436619023431,26.0
292,1436619023452,28.0
293,1436619023471,29.0
294,1436619023496,29.0
295,1436619023511,30.0
296,1436619023531,30.0
297,1436619023551,31.0
298,1436619023574,31.0
299,1436619023593,31.0
300,1436619023615,31.0
301,1436619023634,32.0
302,1436619023654,32.0
303,1436619023674,32.0
304,1436619023694,32.0
305,1436619023716,32.0
306,1436619023732,33.0
307,1436619023754,33.0
308,1436619023773,34.0
309,1436619023793,34.0
310,1436619023813,34.0
311,1436619023833,34.0
312,1436619023852,34.0
313,1436619023872,34.0
314,1436619023893,34.0
315,1436619023912,34.0
316,1436619023934,34.0
317,1436619023954,34.0
318,1436619023973,35.0
319,1436619023992,35.0
320,1436619024061,36.0
321,1436619024062,37.0
322,1436619024063,37.0
323,1436619024072,38.0
324,1436619024104,38.0
325,1436619024114,40.0
326,1436619024132,40.0
327,1436619024154,43.0
328,1436619024172,43.0
329,1436619024193,45.0
330,1436619024213,45.0
331,1436619024236,47.0
332,1436619024253,47.0
333,1436619024275,50.0
334,1436619024295,50.0
335,1436619024314,52.0
336,1436619024335,53.0
337,1436619024355,53.0
338,1436619024372,53.0
339,1436619024396,53.0
340,1436619024412,54.0
341,1436619024434,54.0
342,1436619024456,55.0
343,1436619024475,55.0
344,1436619024496,56.0
345,1436619024514,56.0
346,1436619024535,57.0
347,1436619024555,57.0
348,1436619024576,57.0
349,1436619024596,58.0
350,1436619024616,58.0
351,1436619024636,58.0
352,1436619024656,58.0
353,1436619024675,58.0
354,1436619024701,58.0
355,1436619024796,59.0
356,1436619024797,59.0
357,1436619024798,58.0
358,1436619024799,58.0
359,1436619024800,58.0
360,1436619024837,58.0
361,1436619024838,57.0
362,1436619024859,57.0
363,1436619024874,56.0
364,1436619024903,54.0
365,1436619024913,54.0
366,1436619024933,53.0
367,1436619024959,53.0
368,1436619024977,53.0
369,1436619024993,53.0
370,1436619025016,54.0
371,1436619025050,54.0
372,1436619025055,55.0
373,1436619025076,55.0
374,1436619025093,57.0
375,1436619025113,57.0
376,1436619025134,59.0
377,1436619025154,61.0
378,1436619025175,61.0
379,1436619025195,63.0
380,1436619025216,63.0
381,1436619025236,67.0
382,1436619025255,67.0
383,1436619025276,70.0
384,1436619025295,70.0
385,1436619025316,72.0
386,1436619025337,72.0
387,1436619025357,76.0
388,1436619025377,76.0
389,1436619025396,77.0
390,1436619025415,77.0
