id,attr_time,attr_light
1,1436623618137,259.0
2,1436623618154,259.0
3,1436623618174,259.0
4,1436623618209,259.0
5,1436623618219,259.0
6,1436623618318,259.0
7,1436623618319,258.0
8,1436623618320,258.0
9,1436623618321,258.0
10,1436623618322,258.0
11,1436623618334,257.0
12,1436623618354,257.0
13,1436623618374,257.0
14,1436623618394,257.0
15,1436623618416,257.0
16,1436623618435,256.0
17,1436623618454,256.0
18,1436623618477,255.0
19,1436623618497,255.0
20,1436623618520,255.0
21,1436623618541,255.0
22,1436623618560,256.0
23,1436623618577,256.0
24,1436623618597,256.0
25,1436623618614,256.0
26,1436623618636,256.0
27,1436623618661,256.0
28,1436623618676,256.0
29,1436623618698,256.0
30,1436623618715,256.0
31,1436623618735,256.0
32,1436623618755,256.0
33,1436623618777,257.0
34,1436623618800,257.0
35,1436623618831,257.0
36,1436623618835,257.0
37,1436623618855,258.0
38,1436623618875,258.0
39,1436623618898,258.0
40,1436623618915,258.0
41,1436623618935,258.0
42,1436623618976,258.0
43,1436623618977,258.0
44,1436623618997,258.0
45,1436623619016,258.0
46,1436623619035,257.0
47,1436623619055,257.0
48,1436623619109,257.0
49,1436623619110,257.0
50,1436623619128,257.0
51,1436623619135,257.0
52,1436623619156,257.0
53,1436623619175,256.0
54,1436623619195,256.0
55,1436623619214,255.0
56,1436623619234,255.0
57,1436623619254,255.0
58,1436623619274,255.0
59,1436623619295,255.0
60,1436623619318,255.0
61,1436623619338,255.0
62,1436623619356,255.0
63,1436623619374,255.0
64,1436623619397,254.0
65,1436623619419,254.0
66,1436623619439,253.0
67,1436623619460,253.0
68,1436623619478,252.0
69,1436623619496,251.0
70,1436623619516,251.0
71,1436623619535,250.0
72,1436623619557,250.0
73,1436623619577,249.0
74,1436623619597,249.0
75,1436623619615,247.0
76,1436623619635,247.0
77,1436623619666,246.0
78,1436623619683,246.0
79,1436623619697,244.0
80,1436623619715,242.0
81,1436623619737,242.0
82,1436623619755,241.0
83,1436623619777,241.0
84,1436623619796,240.0
85,1436623619818,240.0
86,1436623619839,244.0
87,1436623619858,244.0
88,1436623619875,253.0
89,1436623619895,253.0
90,1436623619917,243.0
91,1436623619939,216.0
92,1436623619959,216.0
93,1436623619979,206.0
94,1436623620001,206.0
95,1436623620018,216.0
96,1436623620037,216.0
97,1436623620057,219.0
98,1436623620077,219.0
99,1436623620099,207.0
100,1436623620119,207.0
101,1436623620139,209.0
102,1436623620159,232.0
103,1436623620179,232.0
104,1436623620200,252.0
105,1436623620220,252.0
106,1436623620239,257.0
107,1436623620259,257.0
108,1436623620344,278.0
109,1436623620345,278.0
110,1436623620346,301.0
111,1436623620347,301.0
112,1436623620364,310.0
113,1436623620378,299.0
114,1436623620399,299.0
115,1436623620416,292.0
116,1436623620437,292.0
117,1436623620459,316.0
118,1436623620477,316.0
119,1436623620497,336.0
120,1436623620519,336.0
121,1436623620544,256.0
122,1436623620560,256.0
123,1436623620580,239.0
124,1436623620599,242.0
125,1436623620618,242.0
126,1436623620637,252.0
127,1436623620658,252.0
128,1436623620678,264.0
129,1436623620699,264.0
130,1436623620719,262.0
131,1436623620741,262.0
132,1436623620758,265.0
133,1436623620781,260.0
134,1436623620798,260.0
135,1436623620818,267.0
136,1436623620837,267.0
137,1436623620858,247.0
138,1436623620881,247.0
139,1436623620903,253.0
140,1436623620920,253.0
141,1436623620937,302.0
142,1436623620959,302.0
143,1436623620977,339.0
144,1436623620998,344.0
145,1436623621018,344.0
146,1436623621103,264.0
147,1436623621104,264.0
148,1436623621105,242.0
149,1436623621106,242.0
150,1436623621134,254.0
151,1436623621137,254.0
152,1436623621163,261.0
153,1436623621179,261.0
154,1436623621198,269.0
155,1436623621217,280.0
156,1436623621237,280.0
157,1436623621260,275.0
158,1436623621277,275.0
159,1436623621297,309.0
160,1436623621320,309.0
161,1436623621340,317.0
162,1436623621360,317.0
163,1436623621380,302.0
164,1436623621401,302.0
165,1436623621420,302.0
166,1436623621440,307.0
167,1436623621459,307.0
168,1436623621477,328.0
169,1436623621510,328.0
170,1436623621520,351.0
171,1436623621544,351.0
172,1436623621561,343.0
173,1436623621583,343.0
174,1436623621599,248.0
175,1436623621619,248.0
176,1436623621639,227.0
177,1436623621658,242.0
178,1436623621677,242.0
179,1436623621698,265.0
180,1436623621717,265.0
181,1436623621737,269.0
182,1436623621758,269.0
183,1436623621778,270.0
184,1436623621862,270.0
185,1436623621863,273.0
186,1436623621864,273.0
187,1436623621865,314.0
188,1436623621879,313.0
189,1436623621901,313.0
190,1436623621918,311.0
191,1436623621943,311.0
192,1436623621959,303.0
193,1436623621980,303.0
194,1436623621999,303.0
195,1436623622020,303.0
196,1436623622042,316.0
197,1436623622061,272.0
198,1436623622080,272.0
199,1436623622104,257.0
200,1436623622118,257.0
201,1436623622139,262.0
202,1436623622159,262.0
203,1436623622178,259.0
204,1436623622198,259.0
205,1436623622219,267.0
206,1436623622239,267.0
207,1436623622260,282.0
208,1436623622281,283.0
209,1436623622298,283.0
210,1436623622320,284.0
211,1436623622340,284.0
212,1436623622362,322.0
213,1436623622383,322.0
214,1436623622402,333.0
215,1436623622419,333.0
216,1436623622438,362.0
217,1436623622459,362.0
218,1436623622479,362.0
219,1436623622612,366.0
220,1436623622613,366.0
221,1436623622614,368.0
222,1436623622615,368.0
223,1436623622616,319.0
224,1436623622617,319.0
225,1436623622631,282.0
226,1436623622640,282.0
227,1436623622660,268.0
228,1436623622678,268.0
229,1436623622699,267.0
230,1436623622720,279.0
231,1436623622739,279.0
232,1436623622759,293.0
233,1436623622783,293.0
234,1436623622799,286.0
235,1436623622820,286.0
236,1436623622844,270.0
237,1436623622864,270.0
238,1436623622883,339.0
239,1436623622901,339.0
240,1436623622920,345.0
241,1436623622939,335.0
242,1436623622959,335.0
243,1436623622981,370.0
244,1436623623002,370.0
245,1436623623020,377.0
246,1436623623044,377.0
247,1436623623062,406.0
248,1436623623082,406.0
249,1436623623101,410.0
250,1436623623120,410.0
251,1436623623140,310.0
252,1436623623162,280.0
253,1436623623182,280.0
254,1436623623202,284.0
255,1436623623222,284.0
256,1436623623241,287.0
257,1436623623260,287.0
258,1436623623286,290.0
259,1436623623349,290.0
260,1436623623350,301.0
261,1436623623351,301.0
262,1436623623371,298.0
263,1436623623380,317.0
264,1436623623409,317.0
265,1436623623420,343.0
266,1436623623443,343.0
267,1436623623461,368.0
268,1436623623481,368.0
269,1436623623502,329.0
270,1436623623529,329.0
271,1436623623552,297.0
272,1436623623565,293.0
273,1436623623583,293.0
274,1436623623600,335.0
275,1436623623621,335.0
276,1436623623640,319.0
277,1436623623660,319.0
278,1436623623679,275.0
279,1436623623700,275.0
280,1436623623721,258.0
281,1436623623742,258.0
282,1436623623765,285.0
283,1436623623780,299.0
284,1436623623803,299.0
285,1436623623823,313.0
286,1436623623844,313.0
287,1436623623864,312.0
288,1436623623883,312.0
289,1436623623902,330.0
290,1436623623921,330.0
291,1436623623941,317.0
292,1436623623962,317.0
293,1436623623984,315.0
294,1436623624004,307.0
295,1436623624025,307.0
296,1436623624042,305.0
297,1436623624125,305.0
298,1436623624126,307.0
299,1436623624127,307.0
300,1436623624128,287.0
301,1436623624141,287.0
302,1436623624167,312.0
303,1436623624180,312.0
304,1436623624202,336.0
305,1436623624221,267.0
306,1436623624240,267.0
307,1436623624262,248.0
308,1436623624320,248.0
309,1436623624321,282.0
310,1436623624322,282.0
311,1436623624371,297.0
312,1436623624372,297.0
313,1436623624380,322.0
314,1436623624400,322.0
315,1436623624420,323.0
316,1436623624442,296.0
317,1436623624464,296.0
318,1436623624482,291.0
319,1436623624503,291.0
320,1436623624520,298.0
321,1436623624549,298.0
322,1436623624560,272.0
323,1436623624581,272.0
324,1436623624600,266.0
325,1436623624622,266.0
326,1436623624642,269.0
327,1436623624663,341.0
