id,attr_time,attr_light
1,1436623618134,16.0
2,1436623618152,16.0
3,1436623618172,16.0
4,1436623618194,16.0
5,1436623618215,16.0
6,1436623618264,16.0
7,1436623618265,16.0
8,1436623618273,15.0
9,1436623618292,15.0
10,1436623618313,15.0
11,1436623618333,15.0
12,1436623618352,15.0
13,1436623618374,15.0
14,1436623618392,15.0
15,1436623618412,15.0
16,1436623618433,15.0
17,1436623618453,15.0
18,1436623618476,15.0
19,1436623618498,15.0
20,1436623618514,16.0
21,1436623618532,16.0
22,1436623618553,16.0
23,1436623618573,16.0
24,1436623618595,16.0
25,1436623618615,16.0
26,1436623618635,15.0
27,1436623618655,15.0
28,1436623618673,15.0
29,1436623618695,15.0
30,1436623618716,15.0
31,1436623618735,15.0
32,1436623618755,15.0
33,1436623618774,15.0
34,1436623618793,15.0
35,1436623618813,15.0
36,1436623618834,15.0
37,1436623618855,15.0
38,1436623618875,15.0
39,1436623618893,15.0
40,1436623618920,15.0
41,1436623619000,15.0
42,1436623619001,15.0
43,1436623619002,15.0
44,1436623619003,15.0
45,1436623619012,15.0
46,1436623619040,15.0
47,1436623619053,15.0
48,1436623619073,15.0
49,1436623619095,15.0
50,1436623619115,15.0
51,1436623619134,15.0
52,1436623619153,15.0
53,1436623619174,15.0
54,1436623619195,15.0
55,1436623619215,15.0
56,1436623619236,15.0
57,1436623619256,15.0
58,1436623619275,15.0
59,1436623619295,15.0
60,1436623619316,15.0
61,1436623619334,15.0
62,1436623619355,15.0
63,1436623619376,15.0
64,1436623619393,15.0
65,1436623619419,15.0
66,1436623619434,15.0
67,1436623619456,15.0
68,1436623619477,15.0
69,1436623619496,15.0
70,1436623619515,15.0
71,1436623619535,15.0
72,1436623619555,15.0
73,1436623619574,15.0
74,1436623619596,15.0
75,1436623619615,16.0
76,1436623619635,16.0
77,1436623619658,16.0
78,1436623619724,16.0
79,1436623619725,16.0
80,1436623619726,16.0
81,1436623619734,16.0
82,1436623619755,16.0
83,1436623619776,16.0
84,1436623619793,16.0
85,1436623619813,16.0
86,1436623619835,16.0
87,1436623619855,15.0
88,1436623619875,15.0
89,1436623619894,15.0
90,1436623619915,15.0
91,1436623619935,15.0
92,1436623619956,15.0
93,1436623619981,15.0
94,1436623619995,15.0
95,1436623620015,15.0
96,1436623620035,15.0
97,1436623620055,15.0
98,1436623620077,15.0
99,1436623620097,15.0
100,1436623620115,15.0
101,1436623620136,15.0
102,1436623620155,15.0
103,1436623620176,15.0
104,1436623620196,15.0
105,1436623620213,15.0
106,1436623620237,15.0
107,1436623620257,15.0
108,1436623620278,15.0
109,1436623620297,15.0
110,1436623620315,15.0
111,1436623620334,15.0
112,1436623620355,15.0
113,1436623620374,15.0
114,1436623620398,14.0
115,1436623620509,14.0
116,1436623620510,15.0
117,1436623620511,15.0
118,1436623620512,15.0
119,1436623620513,15.0
120,1436623620529,14.0
121,1436623620562,14.0
122,1436623620563,14.0
123,1436623620645,14.0
124,1436623620646,13.0
125,1436623620647,13.0
126,1436623620648,12.0
127,1436623620727,12.0
128,1436623620728,10.0
129,1436623620729,10.0
130,1436623620730,9.0
131,1436623620802,9.0
132,1436623620803,9.0
133,1436623620804,9.0
134,1436623620805,9.0
135,1436623620815,8.0
136,1436623620834,8.0
137,1436623620854,8.0
138,1436623620874,8.0
139,1436623620894,10.0
140,1436623620915,10.0
141,1436623620944,11.0
142,1436623620956,11.0
143,1436623620975,11.0
144,1436623620996,11.0
145,1436623621040,12.0
146,1436623621041,12.0
147,1436623621055,13.0
148,1436623621075,13.0
149,1436623621095,12.0
150,1436623621115,12.0
151,1436623621135,7.0
152,1436623621160,7.0
153,1436623621176,2.0
154,1436623621195,2.0
155,1436623621214,2.0
156,1436623621234,2.0
157,1436623621254,2.0
158,1436623621275,2.0
159,1436623621317,4.0
160,1436623621318,4.0
161,1436623621334,34.0
162,1436623621359,34.0
163,1436623621374,55.0
164,1436623621397,55.0
165,1436623621416,19.0
166,1436623621435,19.0
167,1436623621455,11.0
168,1436623621476,11.0
169,1436623621498,19.0
170,1436623621515,19.0
171,1436623621538,29.0
172,1436623621555,29.0
173,1436623621576,13.0
174,1436623621599,13.0
175,1436623621617,4.0
176,1436623621639,4.0
177,1436623621656,3.0
178,1436623621675,3.0
179,1436623621699,2.0
180,1436623621715,2.0
181,1436623621736,2.0
182,1436623621755,2.0
183,1436623621775,2.0
184,1436623621795,4.0
185,1436623621815,4.0
186,1436623621837,8.0
187,1436623621855,8.0
188,1436623621876,13.0
189,1436623621900,13.0
190,1436623621916,19.0
191,1436623621936,19.0
192,1436623621959,22.0
193,1436623622024,22.0
194,1436623622025,26.0
195,1436623622026,26.0
196,1436623622036,26.0
197,1436623622061,26.0
198,1436623622079,35.0
199,1436623622095,35.0
200,1436623622118,18.0
201,1436623622136,18.0
